Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Melatonin Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Endolysosome
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, APP Metabolism
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Metabolism, Glycan Metabolism
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Immune Response
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Hyaluronan Metabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Carbohydrate Metabolism, Cell Communication, Tissue Development
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Apoptosis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Erythrocyte Differentiation -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Platelet Formation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Vasculature, Proteostasis
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, APP Metabolism
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Cell Cycle
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, RNA Spliceosome, Autophagy
GO Term: Male Sex Determination -> Biodomain: Cell Cycle, Apoptosis, Synapse, Structural Stabilization, Epigenetic
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Structural Stabilization, Autophagy
GO Term: Polysaccharide Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Cell Cycle
GO Term: Growth Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Proteostasis, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lim Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Immune Response
GO Term: Lrr Domain Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Immune Response, Vasculature
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Ossification -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Immune Response, Metal Binding and Homeostasis
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Hormone Signaling, Oxidative Stress, Proteostasis
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Myelination
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Cell Cycle
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Protein Kinase Activator Activity -> Biodomain: Cell Cycle, Immune Response, Synapse, Apoptosis, Autophagy
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Signal Transduction, Receptor Signaling, Kinase Activity, Cell Growth & Proliferation, Oncogenesis
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Deoxynucleotide Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Glycosylation, Immune Response, Cell Adhesion, Extracellular Matrix Organization
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Mitochondrial Metabolism
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Melanocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
GO Term: Stabilization Of Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Lung Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Adrenal Gland Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Structural Stabilization, Cell Cycle
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Apoptosis
GO Term: Syntaxin-3 Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Molybdopterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Serine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Signal Transduction, Neuropeptide Signaling, Receptor Signaling, Neurotransmitter Systems
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Lactose Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Defecation -> Biodomain: Excretion, Muscle Contraction, Rhythmic Process, Vasculature, Structural Stabilization
GO Term: Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Autophagy, Cell Cycle
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Tau Homeostasis, Lipid Metabolism
GO Term: Site Of Polarized Growth -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Lipid Metabolism
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Peristalsis -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Trna Methylation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Hemoglobin Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Apoptosis
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Oxidative Stress
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Cell Cycle
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Epigenetic
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Vasculature
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Structural Constituent Of Chromatin -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, RNA Metabolism, Epigenetic, Proteostasis, DNA Repair
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, RNA Spliceosome
GO Term: Adult Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Vasculature
GO Term: Male Genitalia Development -> Biodomain: Reproductive System, Developmental Process, Sex Differentiation, Organ Development, Cell Differentiation
GO Term: Female Genitalia Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Synapse
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Vasculature
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Neurotransmission, Receptor Signaling, Cellular Response, Neuronal Signaling
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Camp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Epigenetic
GO Term: Cgmp Binding -> Biodomain: Signal Transduction, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Pml Body Organization -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Epigenetic, Cell Cycle
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Proteostasis, Cell Cycle
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
