Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Ubiquitin Proteasome, Apoptosis
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome, Immune Response, Apoptosis, Oxidative Stress
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Ubiquitin Proteasome, Autophagy, Oxidative Stress
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Tau Homeostasis
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Unknown
GO Term: Sumo Transferase Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, DNA Repair, Synapse
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Endolysosome
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Synapse, Oxidative Stress, Proteostasis
GO Term: Polyamine Binding -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Spermidine Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Putrescine Binding -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Unknown
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Immune Response
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cytolysis -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Vitamin Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Rrna Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Iga Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Unknown, APP Metabolism
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Unknown
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Unknown
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Vasculature
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Metal Binding and Homeostasis, Unknown
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Protein Kinase Regulator Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Kinesin Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: APP Metabolism, Synapse, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Extrinsic Component Of Membrane -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Enzyme Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress, Autophagy
GO Term: Kinase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Synapse, Apoptosis
GO Term: Protein Kinase Binding -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Synapse, Immune Response
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Protein Phosphatase Binding -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Immune Response
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis, Epigenetic
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Unknown
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Sexual Reproduction -> Biodomain: Unknown, Immune Response, Epigenetic, DNA Repair, Cell Cycle
GO Term: Cytokine Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Chemokine Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Apoptosis
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Tau Homeostasis
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Synapse, Oxidative Stress
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Unknown
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Unknown
GO Term: Hemoglobin Metabolic Process -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Unknown
GO Term: Neural Fold Elevation Formation -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, Vasculature, Autophagy
GO Term: Neural Fold Bending -> Biodomain: Unknown, Structural Stabilization, Synapse, Proteostasis, Vasculature
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Immune Response
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Unknown, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Myelination
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Unknown
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Tau Homeostasis, Synapse, Cell Cycle, Structural Stabilization, Unknown
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Unknown, Cell Cycle, Endolysosome
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Cell Cycle, Immune Response
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle, Synapse
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Developmental Process, Nervous System Development, Cellular Developmental Process, Structural Stabilization, System Development
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Diencephalon Development -> Biodomain: Synapse, Tau Homeostasis, Immune Response, Endolysosome, Proteostasis
GO Term: Telencephalon Development -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Endolysosome
GO Term: Subthalamus Development -> Biodomain: Synapse, Tau Homeostasis, APP Metabolism, Endolysosome, Structural Stabilization
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Neurogenesis, Tau Homeostasis
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Autophagy
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, APP Metabolism
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Unknown
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Myelination
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Synapse, Unknown, Epigenetic, Cell Cycle
GO Term: Pons Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Immune Response
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Central Nervous System Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Tau Homeostasis, Synapse, Lipid Metabolism
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Endolysosome, Autophagy
GO Term: Optic Nerve Development -> Biodomain: Myelination, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Unknown, Structural Stabilization, Synapse, Cell Cycle, Endolysosome
GO Term: Central Nervous System Formation -> Biodomain: Synapse,Tau Homeostasis,Proteostasis,Endolysosome,Immune Response
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Immune Response, Endolysosome, Structural Stabilization, Autophagy
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Unknown
GO Term: Trigeminal Nerve Development -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Unknown, Vasculature
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Unknown, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Nervous System Development, Immune Response, Proteostasis, Autophagy
GO Term: Rhombomere 2 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Cell Differentiation, Apoptosis
GO Term: Rhombomere 3 Development -> Biodomain: Unknown, Synapse, Structural Stabilization, Endolysosome, Cell Cycle
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Immune Response, Myelination
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Unknown
GO Term: Rhombomere 6 Development -> Biodomain: Unknown, Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Unknown
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Unknown
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Proteostasis
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Abducens Nerve Formation -> Biodomain: Unknown, Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Immune Response, Unknown, Vasculature
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Facial Nerve Structural Organization -> Biodomain: Structural Stabilization, Nervous System Development, Myelination, Synapse, Tau Homeostasis
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Unknown
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Unknown
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Vasculature
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Endolysosome
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Myelination, Synapse, Structural Stabilization, Vasculature, Immune Response
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Tau Homeostasis
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Endolysosome
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Unknown
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Unknown, Synapse, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Unknown, Synapse, Tau Homeostasis, Endolysosome
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Unknown, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Rhombomere 3 Formation -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Unknown, Synapse, Vasculature, Myelination
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Unknown, Cell Cycle, Myelination
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Unknown
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
GO Term: Third Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Unknown
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Cerebellar Granular Layer Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Immune Response
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Unknown
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Neurodevelopment, Synapse, Structural Stabilization, Immune Response, Vasculature
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Unknown
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Tau Homeostasis, Unknown
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Unknown, Structural Stabilization, Synapse, Endolysosome, Vasculature
GO Term: Cerebellar Cortex Formation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Developmental Maturation -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Locus Ceruleus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Immune Response, Endolysosome
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Tau Homeostasis
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Unknown, Endolysosome
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Brain Development, Unknown, Cell Cycle
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization, Unknown, Endolysosome, Immune Response, Synapse
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Unknown
GO Term: Cochlear Nucleus Development -> Biodomain: Unknown, Structural Stabilization, Synapse, Immune Response, Endolysosome
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Unknown, Myelination, Endolysosome
GO Term: Facial Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Striatum Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Caudate Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Unknown, Immune Response, Endolysosome
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization,Synapse,Tau Homeostasis,APP Metabolism,Endolysosome
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Endolysosome
GO Term: Subthalamic Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Endolysosome
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Tau Homeostasis
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
