Running with TEMP=0.9, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Proteostasis
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Histidine Decarboxylase Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Synapse, Autophagy
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism, Myelination
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Synapse, Proteostasis
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Synapse
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, APP Metabolism
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Synapse, Proteostasis
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ketohexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lactose Synthase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, APP Metabolism, Autophagy
GO Term: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Proteostasis, Autophagy
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, DNA Repair
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, RNA Spliceosome, Autophagy
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mevalonate Kinase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Synapse, Apoptosis
GO Term: Tyrosinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Squalene Monooxygenase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Neurotransmission, Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Oxidative Stress, Synapse, Immune Response, APP Metabolism
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Rna Endonuclease Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, RNA Spliceosome
GO Term: Ribonuclease A Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphodiesterase I Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Deoxyribonuclease I Activity -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Immune Response, Autophagy
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: DNA Repair, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Rna Exonuclease Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Oxidative Stress
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Alpha-Amylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Alpha-Galactosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Alpha-Mannosidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Synapse
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Tau Homeostasis, Immune Response
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Beta-Galactosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, APP Metabolism
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Chitinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Synapse
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Tau Homeostasis
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Proteostasis
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Epigenetic
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, APP Metabolism
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Synapse, Immune Response
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Phosphomannomutase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Autophagy
GO Term: Phospholipase C Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Oxidative Stress, Immune Response
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Oxidative Stress, Endolysosome
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Cell Cycle
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Oxidative Stress, Autophagy
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Proteostasis, Cell Cycle
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Synapse
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Prenyltransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Synapse
GO Term: Protein Farnesyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Tau Homeostasis, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
