Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Synapse, Oxidative Stress
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ketohexokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lactose Synthase Activity -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Proteostasis, Synapse, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Endolysosome, Synapse, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Synapse, Proteostasis, Lipid Metabolism
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Synapse, Proteostasis, Autophagy
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, RNA Spliceosome, Lipid Metabolism
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Lipid Metabolism
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Epigenetic, Proteostasis, Synapse
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Epigenetic, Immune Response
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Tyrosinase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Synapse, Epigenetic
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Nuclease Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, DNA Repair, Apoptosis
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Rna Endonuclease Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Ribonuclease A Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Epigenetic, Synapse
GO Term: Ribonuclease Iii Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Ribonuclease P Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Epigenetic, Synapse
GO Term: Phosphodiesterase I Activity -> Biodomain: RNA Spliceosome, Synapse, Endolysosome, Proteostasis, DNA Repair
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Synapse, Cell Cycle
GO Term: Deoxyribonuclease I Activity -> Biodomain: Apoptosis, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: Endolysosome, Autophagy, DNA Repair, Proteostasis, Apoptosis
GO Term: Rna Exonuclease Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Rna Nuclease Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Alpha-Amylase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Alpha-Galactosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Autophagy
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Beta-Galactosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Chitinase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Lipid Metabolism
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Autophagy, Endolysosome
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Synapse
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Cell Cycle
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Synapse
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Epigenetic
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Synapse
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Phosphomannomutase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Synapse
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Cell Cycle
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Immune Response, Endolysosome
GO Term: Phospholipase C Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phospholipase D Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Synapse
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Epigenetic, Lipid Metabolism
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Synapse
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Synapse, Oxidative Stress
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: Synapse, DNA Repair, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, DNA Repair
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, DNA Repair
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Prenyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Immune Response, Autophagy
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Protein Histidine Kinase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
