Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Epigenetic, Unknown
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Mirna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Cell Cycle, Autophagy
GO Term: Mirna Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Proteostasis
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Proteostasis, Synapse
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Immune Response, Oxidative Stress
GO Term: Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Epigenetic
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Structural Stabilization, Autophagy, Endolysosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Vasculature
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Muscle Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Ectodermal Cell Differentiation -> Biodomain: Epigenetic, Unknown, Structural Stabilization, Proteostasis, Synapse
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Acetyltransferase Activator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Autophagy
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Immune Response
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Unknown
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Vasculature
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Autophagy
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Vasculature
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Autophagy, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Immune Response, Vasculature
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Immune Response, Oxidative Stress
GO Term: Protein Kinase A Signaling -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Synapse, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Endolysosome, Oxidative Stress
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Fibroblast Migration -> Biodomain: Cell Motility, Extracellular Matrix Organization, Wound Healing, Cell Adhesion, Cell Proliferation
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Structural Stabilization, Myelination, Proteostasis
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Unknown, Proteostasis
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, DNA Repair
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Substance P Catabolic Process -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Hormone Levels -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Chemotaxis, Inflammation, Cell Migration, Signal Transduction
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Unknown, Apoptosis, Proteostasis
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Autophagy, Proteostasis
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Epigenetic, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis, Autophagy
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Glucose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
