Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Vasculature, Lipid Metabolism, Proteostasis
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Proline:Proton Symporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Proteostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Oxidative Stress, Proteostasis
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Epigenetic
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxygen Carrier Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Endolysosome
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Synapse
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Steroid Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Androgen Binding -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Vitamin D Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Proteostasis, Endolysosome
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Autophagy, Proteostasis
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Epigenetic
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Calcium Ion Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Protein Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Calmodulin Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Lamin Binding -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Profilin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Atp Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gtp Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Macrolide Binding -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Autophagy
GO Term: Fk506 Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Galactose Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Autophagy, Proteostasis
GO Term: D-Glucose Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: D-Mannose Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Glycosaminoglycan Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Hyaluronic Acid Binding -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Folic Acid Binding -> Biodomain: Epigenetic, Synapse, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Endolysosome, Proteostasis
GO Term: Odorant Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Pheromone Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Cellular Component -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Extracellular Region -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Collagen Type Xv Trimer -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Epigenetic
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix, Proteostasis, Cell Cycle, Synapse
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Collagen Type Viii Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Synapse, Immune Response
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Synapse
GO Term: Collagen Type Xii Trimer -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Myelination
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: Collagen Type Xvi Trimer -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Autophagy
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Extracellular Matrix, Cell Adhesion, Synapse, Vasculature
GO Term: Laminin-1 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Laminin-2 Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Laminin-3 Complex -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Laminin-5 Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Cell Adhesion
GO Term: Interstitial Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Space -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nucleus -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Synapse
GO Term: Nuclear Envelope -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Nuclear Inner Membrane -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Synapse
GO Term: Nuclear Outer Membrane -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Annulate Lamellae -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Nuclear Pore -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Nuclear Lamina -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleoplasm -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Replication Fork -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Synapse
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Rna Polymerase Iii Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, DNA Repair
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, DNA Repair
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Synapse, Autophagy
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, Cell Cycle, DNA Repair
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Autophagy
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Cell Cycle
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Synapse, Autophagy, DNA Repair
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Proteostasis, Cell Cycle
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, DNA Repair
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, DNA Repair
GO Term: U6 Snrnp -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, DNA Repair
GO Term: U12-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: U4Atac Snrnp -> Biodomain: RNA Spliceosome, Synapse, Epigenetic, Proteostasis, Cell Cycle
GO Term: U6Atac Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, DNA Repair
GO Term: U11 Snrnp -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Synapse
