Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Actin Polymerization-Dependent Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Cell Cycle
GO Term: Hepatocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Beta-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cellular Heat Acclimation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Immune Response
GO Term: Erk5 Cascade -> Biodomain: Cell Cycle, Structural Stabilization, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Erk5 Cascade -> Biodomain: Signaling Pathway, Oxidative Stress, Apoptosis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Erk5 Cascade -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Oxidative Stress, Immune Response
GO Term: Endosome To Plasma Membrane Transport Vesicle -> Biodomain: Endolysosome, Vasculature, Synapse, Proteostasis, Lipid Metabolism
GO Term: Exocytic Vesicle -> Biodomain: Synapse, Proteostasis, Myelination, Lipid Metabolism, Endolysosome
GO Term: Dna Cytosine Deamination -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Harderian Gland Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Transcription Export Complex 2 -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Detection Of Lipoteichoic Acid -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Nadp+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Nadph Binding -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nad+ Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Nadh Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Oxidation-Dependent Protein Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Carbamoyl Phosphate Biosynthetic Process -> Biodomain: Nitrogen Metabolism, Mitochondrial Metabolism, Metabolism, Nucleotide Metabolism, Lipid Metabolism
GO Term: Co-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Epigenetic, Cell Cycle
GO Term: I-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Autophagy
GO Term: R-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Epigenetic
GO Term: Cellular Response To Cold -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Dna-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Immune Response, Epigenetic, Cell Cycle, Apoptosis
GO Term: Nonhomologous End Joining Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Dna Ligase Iii-Xrcc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Vasculature, Oxidative Stress
GO Term: Shc-Egfr Complex -> Biodomain: Signaling, Receptor, Cell Growth and Proliferation, Signal Transduction, Protein Complex
GO Term: Grb2-Egfr Complex -> Biodomain: Cell Cycle, Endolysosome, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Integrin Alphaiib-Beta3 Complex -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Mad-Max Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Negative Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Apoptosis
GO Term: Positive Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Immune Response
GO Term: Elongin Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Prolactin Secretion -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Thyroid-Stimulating Hormone Secretion -> Biodomain: Hormone Secretion, Endocrine System, Cell Signaling, Regulatory Processes, Organismal Systems
GO Term: Saga-Type Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Plus-End Specific Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Tubulin-Dependent Atpase Activity -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Positive Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rrna Base Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Rrna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Nuclear-Transcribed Mrna Catabolic Process, 3'-5' Exonucleolytic Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Non-Stop Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Detection Of Hypoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response, Apoptosis
GO Term: Leukocyte Aggregation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Monocyte Aggregation -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Neutrophil Aggregation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: T Cell Aggregation -> Biodomain: Immune Response, Synapse, Apoptosis, Vasculature, Structural Stabilization
GO Term: Oligosaccharide Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: High-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Calcium Ion Import -> Biodomain: Signal Transduction, Calcium Homeostasis, Ion Transport, Cellular Response to Stimulus, Membrane Potential Regulation
GO Term: Death Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Cak-Ercc2 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Ercc4-Ercc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Immune Response
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Trna Threonylcarbamoyladenosine Metabolic Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Unknown
GO Term: Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Protein Kinase C Signaling -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: K63-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, DNA Repair
GO Term: Brca1-A Complex -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Brca1-B Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Brca1-C Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Protein K63-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Immune Response, DNA Repair, Apoptosis
GO Term: Oleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Linoleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Platinum Ion -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Linoleic Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Pebow Complex -> Biodomain: Cell Cycle, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Endoribonuclease Activity, Cleaving Sirna-Paired Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Autophagy, Proteostasis
GO Term: Brisc Complex -> Biodomain: Proteostasis, DNA Repair, Immune Response, Autophagy, Apoptosis
GO Term: Nicotinic Acid Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Epigenetic, Oxidative Stress
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-3-Complexin Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Interleukin-1 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pcna-P21 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Protein Secretion By Platelet -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Apoptosis
GO Term: Vitamin D Receptor Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Lipid Metabolism, Epigenetic
GO Term: Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Unknown
GO Term: Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Metallodipeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cadmium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Vitamin D 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown, Oxidative Stress
GO Term: Risc-Loading Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Dna 5-Methylcytosine Dioxygenase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cell-Cell Adhesion Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Dendrite Self-Avoidance -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Cell Cycle
GO Term: Regulation Of Centromeric Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Unknown
GO Term: Histone H3R2 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H2Ar3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Grb2-Sos Complex -> Biodomain: Signal Transduction, Receptor Tyrosine Kinase Signaling, Cellular Proliferation, Cellular Growth, Intracellular Signaling
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Complex -> Biodomain: Endolysosome, Proteostasis, Lysosomal Enzyme Metabolism, Glycosylation, Post-translational Modification
GO Term: Zymogen Granule Exocytosis -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Oxidative Stress
GO Term: (S)-2-(5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamido) Succinate Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Autophagy
GO Term: Proteasome Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Transepithelial Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Transepithelial Ammonium Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Vitamin D3 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Vitamin D Response Element Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Protein Modification By Small Protein Removal -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Formin-Nucleated Actin Cable Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Endolysosome
GO Term: Nonfunctional Rrna Decay -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Haus Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: High-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: Sensory Epithelium Regeneration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Response To Interleukin-2 -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Autophagy
GO Term: Response To Interleukin-4 -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Endolysosome
GO Term: Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Response To Interleukin-15 -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Response To Interleukin-18 -> Biodomain: Immune Response, Inflammation, Oxidative Stress, Apoptosis, Autophagy
GO Term: Hypoxanthine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Hypoxanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Inositol 1,4,5 Trisphosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Glutaminyl-Trnagln Biosynthesis Via Transamidation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Proteasome Regulatory Particle Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Seminal Clot Liquefaction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Oxidative Stress
GO Term: Macropinocytic Cup -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: P-Tefb Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, RNA Spliceosome
GO Term: 5-Hydroxymethyl-Dump N-Hydrolase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Unknown
GO Term: Fhf Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Activin Receptor Binding -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Unknown
GO Term: Type I Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Endolysosome
GO Term: Type Ii Activin Receptor Binding -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Epigenetic
GO Term: Bmp Receptor Binding -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Inner Mucus Layer -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Outer Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Sodium-Dependent Organic Cation Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Mismatch Repair Involved In Maintenance Of Fidelity Involved In Dna-Dependent Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Isgf3 Complex -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Cholesterol -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Bmp Receptor Complex -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: L-Leucine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cyclic Nucleotide Transport -> Biodomain: Vasculature, Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Camp Transport -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Autophagy
GO Term: Cgmp Transport -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Ampylase Activity -> Biodomain: Proteostasis, Autophagy, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein-Glycine Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Protein-Glycine Ligase Activity, Initiating -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Protein-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Tubulin-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Epigenetic
GO Term: Response To Interleukin-6 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: C2H2 Zinc Finger Domain Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, DNA Repair, Immune Response, Cell Cycle
GO Term: Interleukin-23 Complex -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Interleukin-35 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Cell Cycle
GO Term: Interleukin-35-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Pre-Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Nuclear Pore Transmembrane Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Epigenetic
