Running with TEMP=0.1, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Box C/D Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Embryonic Axis Specification -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Autophagy
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Epigenetic
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Meiotic Joint Molecule Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, DNA Metabolism, Structural Stabilization, Epigenetic
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Photoreactive Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Autophagy
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Telomere Maintenance -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, DNA Metabolism, DNA Recombination, DNA Replication, Genome Stability
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Lipid Metabolism
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Oxidative Stress
GO Term: Chromosome, Centromeric Region -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Chromosome, Telomeric Region -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Nuclear Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Autophagy
GO Term: Nucleosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Euchromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Oxidative Stress
GO Term: Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Condensed Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Condensed Nuclear Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Synaptonemal Complex -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Condensin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Lateral Element -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Central Element -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, DNA Repair, Proteostasis
GO Term: Transverse Filament -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Synapse
GO Term: Sex Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: X Chromosome -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Y Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Origin Recognition Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Gins Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Swr1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, DNA Repair, Autophagy, Epigenetic
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Epigenetic, Autophagy, Proteostasis
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Epigenetic, DNA Repair, Cell Cycle
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome, Immune Response
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Cell Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Gamma-Tubulin Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: P-Body -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Garp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Inner Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Outer Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, RNA Metabolism, Metabolism, Mitochondrial Biogenesis
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, DNA Repair
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, DNA Repair
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase I Core Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Regulatory Region Rna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Immune Response
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, DNA Repair
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Epigenetic, Autophagy
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Mitochondrial Metabolism, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, RNA Spliceosome
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Rna-Templated Transcription -> Biodomain: Immune Response, RNA Spliceosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Synapse
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Coregulator Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Transcription Corepressor Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Transcription Coactivator Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Dna-Binding Transcription Repressor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, DNA Repair
GO Term: Dna-Binding Transcription Activator Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Sam Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Pam Complex, Tim23 Associated Import Motor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Guanine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Skeletal System Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Cartilage Condensation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Acetylcholine Catabolic Process In Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Action Potential -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Rna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Dihydronicotinamide Riboside Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Selenocysteine Incorporation -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Opioid Peptide Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine 6-O-Sulfotransferase Activity -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Voltage-Gated Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Peptide Amidation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Outer Dense Fiber -> Biodomain: Structural Stabilization, Cell Motility, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Retinoid Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Cell Cycle, Epigenetic
GO Term: Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Microfibril -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Immune Response
GO Term: Lipopolysaccharide Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Interleukin-21 Receptor Activity -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cornified Envelope -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Radial Spoke -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Radial Spoke Head -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Radial Spoke Stalk -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
