Running with TEMP=0.9, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Protein Transport From Ciliary Membrane To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Androst-4-Ene-3,17-Dione Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Lactate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Okazaki Fragment Processing Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Mitotic Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Lactation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature, Structural Stabilization
GO Term: Positive Regulation Of Lactation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Epigenetic
GO Term: Positive Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Dehydroepiandrosterone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cellular Response To Dehydroepiandrosterone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To 11-Deoxycorticosterone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Phytanic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum -> Biodomain: Proteostasis, Apoptosis, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Calcium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Blood Circulation -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Negative Regulation Of Blood Circulation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Membrane Tubulation -> Biodomain: Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy, Myelination
GO Term: Positive Regulation Of Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Secretion By Cell -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Secretion By Cell -> Biodomain: Vasculature, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Structural Stabilization
GO Term: Regulation Of Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, Reproductive System, Developmental Processes, Chromatin Organization, Regulation of Gene Expression
GO Term: Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Establishment Of Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Autophagy
GO Term: Negative Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Autophagy
GO Term: Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Epigenetic, Immune Response, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Protein Localization To Photoreceptor Outer Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Extracellular Exosome Assembly -> Biodomain: Vesicle Trafficking, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Extracellular Exosome Assembly -> Biodomain: Extracellular Vesicles, Vesicle Trafficking, Cell Communication, Regulation, Secretory Pathway
GO Term: Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Extracellular Vesicle -> Biodomain: Endolysosome, Immune Response, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Positive Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Cornified Envelope Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cellular Response To L-Arginine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Negative Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cytochrome Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Cytochrome C Metabolic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Localization To Cytoplasmic Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Calcium-Dependent Atpase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Transdifferentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, RNA Spliceosome
GO Term: Protein Localization To Photoreceptor Connecting Cilium -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Negative Regulation Of Gastrin-Induced Gastric Acid Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Proteostasis
GO Term: Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Mitotic Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Cap-Independent Translational Initiation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Tarsal Gland Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Substantia Propria Of Cornea Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Enterocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Uterine Gland Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Spermine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Spermidine Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cysteine Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Asparagine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Guanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of I-Kappab Phosphorylation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Myelination
GO Term: Regulation Of Plasma Membrane Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Proteostasis
GO Term: Cortical Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Gap Junction Channel Activity Involved In Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Vasculature, Immune Response, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Sweet Taste Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Beta-Galactosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Viral Budding Via Host Escrt Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Protein Localization To Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Structural Stabilization, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Myelination, Cell Cycle, Oxidative Stress
GO Term: L-Valine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Guanine Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Uracil Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, RNA Spliceosome, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Monoatomic Anion Transport -> Biodomain: Endolysosome, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: L-Leucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic
GO Term: L-Glutamine Import Across Plasma Membrane -> Biodomain: Immune Response, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Glycine Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: L-Isoleucine Import Across Plasma Membrane -> Biodomain: Amino Acid Metabolism, Membrane Transport, Nutrient Uptake, Small Molecule Transport, Cellular Homeostasis
GO Term: L-Histidine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: L-Asparagine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Serine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Collecting Lymphatic Vessel Constriction -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Telomere Single Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Organic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: L-Arginine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Magnesium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Arsenite(3-) -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Cellular Response To Arsenite Ion -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Activation, Signal Transduction
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 20 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Positive Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Positive Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Regulation Of Plasma Membrane Raft Polarization -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Negative Regulation Of Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Positive Regulation Of Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Processing In Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Estradiol Binding -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Bisphenol A -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Cellular Response To Bisphenol A -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Primary Palate Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, DNA Repair
GO Term: Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Sodium Arsenite -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Metal Binding and Homeostasis
