Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Intracellularly Cyclic Nucleotide-Activated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Intracellularly Camp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intracellularly Cgmp-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Volume-Sensitive Anion Channel Activity -> Biodomain: Oxidative Stress, Endolysosome, Apoptosis, Structural Stabilization, Vasculature
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Immune Response, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Structural Stabilization
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Myelination
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Endolysosome, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Immune Response, Myelination
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Cellular Processes, Membrane Biology, Metabolic Processes, Cellular Homeostasis
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Lipid Metabolism
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Membrane Transport, Organic Cation Transport, Aromatic Amino Acid Transport, Basic Amino Acid Transport
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Membrane Trafficking and Transport, Nutrient Uptake, Metabolic Processes, Cellular Processes
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Myelination, Structural Stabilization
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Amino Acid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxygen Carrier Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Cell Cycle, RNA Spliceosome, DNA Repair, Mitochondrial Metabolism, Autophagy
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Endolysosome
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Carbohydrate Metabolism,Metal Binding and Homeostasis,Mitochondrial Metabolism,Vasculature,Lipid Metabolism
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Synapse, Mitochondrial Metabolism
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Synapse, Myelination
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Myelination, Vasculature, Structural Stabilization
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Endolysosome, Autophagy
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Cell Cycle, DNA Repair
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Vasculature
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Vasculature, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, APP Metabolism, Structural Stabilization
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Androgen Binding -> Biodomain: Hormone Activity, Lipid Metabolism, Steroid Hormone Activity, Molecular Function, Cellular Signaling
GO Term: Vitamin D Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Epigenetic, Autophagy
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Vitamin Binding, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Calcium Ion Binding -> Biodomain: Synapse, Apoptosis, Vasculature, Proteostasis, Structural Stabilization
GO Term: Detection Of Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Protein Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Apoptosis, Immune Response
GO Term: Calmodulin Binding -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Collagen Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: Cell Cycle, Synapse, Autophagy, Immune Response, Proteostasis
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Profilin Binding -> Biodomain: Structural Stabilization, Cell Motility, Proteostasis, Immune Response, Autophagy
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Gtp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Macrolide Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Immune Response, Lipid Metabolism
GO Term: Fk506 Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Galactose Binding -> Biodomain: Carbohydrate Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: D-Mannose Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Glycosaminoglycan Binding -> Biodomain: Carbohydrate Metabolism, Proteostasis, Extracellular Matrix Organization, Lipid Metabolism, Cell Adhesion
GO Term: Hyaluronic Acid Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Folic Acid Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Myelination
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Odorant Binding -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Pheromone Binding -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Cell Cycle, Proteostasis
GO Term: Cellular Component -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Extracellular Region -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Synapse, Structural Stabilization
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Collagen Type Xv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Fibrillar Collagen Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type Ii Trimer -> Biodomain: Structural Stabilization, Extracellular Matrix Organization, Proteostasis, Vasculature, Cell Adhesion
GO Term: Collagen Type Iii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type Iv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Collagen Type V Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Collagen Type Vi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Collagen Type Vii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Collagen Type Viii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Collagen Type Ix Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Collagen Type Xii Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type Xiv Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Autophagy
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Basement Membrane -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Cell Adhesion, Tissue Development
GO Term: Laminin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Laminin-2 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Laminin-3 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Synapse
GO Term: Laminin-5 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Extracellular Space -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Nucleus -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Nuclear Envelope -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Nuclear Inner Membrane -> Biodomain: Structural Stabilization, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Lamin Filament -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Nuclear Outer Membrane -> Biodomain: Structural Stabilization  
Lipid Metabolism  
Proteostasis  
Endolysosome  
Mitochondrial Metabolism
GO Term: Nuclear Envelope Lumen -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Annulate Lamellae -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Nuclear Lamina -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Nucleoplasm -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase Iii Complex -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Structural Stabilization, RNA Spliceosome
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
