Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Processing, Ribosome Biogenesis, Translation Machinery, Nucleic Acid Binding, Cellular Structure
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Box C/D Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Immune Response, Cell Cycle
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Embryonic Axis Specification -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Meiotic Joint Molecule Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle, Epigenetic
GO Term: Photoreactive Repair -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Proteostasis, Epigenetic
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Nucleotide-Excision Repair, UV Response, Genome Integrity, Cell Cycle
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Chromosome, Telomeric Region -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Telomere Cap Complex -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Nuclear Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Nucleosome -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Euchromatin -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Condensed Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Synaptonemal Complex -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Condensin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Lateral Element -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Central Element -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Transverse Filament -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Sex Chromosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Immune Response, Structural Stabilization
GO Term: X Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Y Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Synapse
GO Term: Origin Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Gins Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Swr1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Epigenetic
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis, Endolysosome
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Gamma-Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: P-Body -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Garp Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Inner Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Outer Kinetochore -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Oxidative Stress, Immune Response, Autophagy, Proteostasis
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, DNA Repair, Cell Cycle
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Cell Cycle
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Autophagy
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase I Core Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Regulatory Region Rna Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, APP Metabolism, Autophagy
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: Proteostasis, DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Proteostasis, Cell Cycle
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, DNA Repair, Proteostasis
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Rna-Templated Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Transcription Coregulator Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Transcription Corepressor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Coactivator Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Dna-Binding Transcription Repressor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Dna-Binding Transcription Activator Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Sam Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Pam Complex, Tim23 Associated Import Motor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Guanine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Skeletal System Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cartilage Condensation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Ossification -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Neurotransmitter Uptake -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Acetylcholine Catabolic Process In Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Action Potential -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Vasculature
GO Term: Rna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Dihydronicotinamide Riboside Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Selenocysteine Incorporation -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Opioid Peptide Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine 6-O-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Voltage-Gated Sodium Channel Complex -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Peptide Amidation -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Outer Dense Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Retinoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Autophagy
GO Term: Microfibril -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Lipopolysaccharide Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-21 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Cornified Envelope -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Radial Spoke -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
