Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gtp Cyclohydrolase I Regulator Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Vasculature
GO Term: Elastin Catabolic Process -> Biodomain: Proteostasis, Vasculature, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Elastin Catabolic Process -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Definitive Erythrocyte Differentiation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Head Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Head Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Face Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Face Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Immune Response
GO Term: Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Cytoplasmic Actin-Based Contraction Involved In Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Photoreceptor Inner Segment Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Spleen Trabecula Formation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Bone Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Heart Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Bone Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Epigenetic
GO Term: Positive Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cranial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Frontal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Lambdoid Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Sagittal Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Susceptibility To T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mast Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Brood Size -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Immune Response
GO Term: Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Axonogenesis Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Synapse Assembly Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Smad Protein Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, DNA Repair
GO Term: Negative Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: Smad Protein Signal Transduction -> Biodomain: Signal Transduction, Transcription Regulation, Cell Growth and Differentiation, Intracellular Signaling, Pathways in Cancer
GO Term: Growth Hormone Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Growth Hormone Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Signal Transduction, Cellular Response, Metabolism, Receptor Signaling, Protein Modification
GO Term: Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Signal Transduction, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Calcium Ion Transport Into Cytosol -> Biodomain: Oxidative Stress, Apoptosis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Axonemal Microtubule Depolymerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Penile Erection -> Biodomain: Vasculature, Synapse, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Penile Erection -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Acetylcholine Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Cardiac Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Ventricular Septum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Atrial Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Muscle System, Cardiovascular, Tissue Development
GO Term: Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Growth Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Heart Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Heart Growth -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Proteostasis
GO Term: Peptidyl-Dipeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Lung Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Lung Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Cell Cycle
GO Term: Lung Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Lung Saccule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Primary Lung Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Bronchus Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Bronchus Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Immune Response
GO Term: Bronchiole Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bronchiole Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Lung Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Trachea Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Trachea Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Trachea Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Mammary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Bud Outgrowth Involved In Lung Branching -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Bud Elongation Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hindgut Contraction -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Myelination, Epigenetic
GO Term: Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Regulation Of Gastric Acid Secretion -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Gastric Acid Secretion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Digestive System Process -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Right Lung Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Apoptosis
GO Term: Left Lung Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Left Lung Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Right Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Lung Lobe Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Immune Response
GO Term: Activation Of Meiosis Involved In Egg Activation -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Epigenetic
GO Term: Prevention Of Polyspermy -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Egg Activation -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cortical Granule Exocytosis -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Cortical Granule -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Positive Regulation Of Flagellated Sperm Motility Involved In Capacitation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acrosomal Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Lung Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Lung Goblet Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Lobar Bronchus Epithelium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Lobar Bronchus Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lung-Associated Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Club Cell Differentiation -> Biodomain: Structural Stabilization, Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Lung Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Orthogonal Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Planar Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Lateral Sprouting Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cell Projection Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Lung Induction -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Lung Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Proteostasis
GO Term: Bud Dilation Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Smoothened Signaling Pathway Involved In Lung Development -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Type I Pneumocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Type Ii Pneumocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: Prostate Gland Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Structural Stabilization, Epigenetic
GO Term: Prostatic Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Prostate Induction -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Primary Prostatic Bud Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Epithelial Cell Proliferation Involved In Prostatic Bud Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Prostate Epithelial Cord Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Prostate Epithelial Cord Arborization Involved In Prostate Glandular Acinus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Secretory Columnal Luminar Epithelial Cell Differentiation Involved In Prostate Glandular Acinus Development -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Squamous Basal Epithelial Stem Cell Differentiation Involved In Prostate Gland Acinus Development -> Biodomain: Stem Cell Population Maintenance, Development, Cell Differentiation, Tissue Morphogenesis, Epithelial Cell Development
GO Term: Bronchus Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Trachea Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, DNA Repair, Cell Cycle
GO Term: Trachea Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Skeletal Muscle Organ Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Diaphragm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Respiratory System Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Positive Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Developmental Growth Involved In Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Epithelial Tube Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Myelination
GO Term: Positive Regulation Of Termination Of Dna-Templated Transcription -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Morphogenesis Of An Epithelial Fold -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Intestinal Epithelial Cell Maturation -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis, Epigenetic
GO Term: Intestinal Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Vasculature
GO Term: Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Pulmonary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Superior Vena Cava Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Mitochondrial Metabolism
GO Term: Ventral Spinal Cord Interneuron Fate Commitment -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Ventral Spinal Cord Interneuron Fate Determination -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Multicellular Organismal-Level Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Nucleoside-Triphosphatase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Atpase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Chondroblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Mammary Gland Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Mammary Gland Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Immune Response
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Mammary Gland Specification -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Vasculature, Epigenetic
GO Term: Mammary Placode Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Lateral Sprouting Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Lateral Sprouting From An Epithelium -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Branch Elongation Of An Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Tube Closure -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Cell Cycle
GO Term: Mammary Gland Fat Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Adipose Tissue Development -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Structural Stabilization, Cell Cycle
