Running with TEMP=0.5, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Apoptosis
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Endolysosome, Autophagy
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, APP Metabolism, Synapse
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Immune Response, Proteostasis
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Melatonin Receptor Activity -> Biodomain: Oxidative Stress, Tau Homeostasis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Signaling Pathways, APP Metabolism, Lipid Metabolism
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome, APP Metabolism
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, APP Metabolism, Proteostasis, Endolysosome
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Endolysosome
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Visual Learning -> Biodomain: Cognition, Synapse, Nervous System, Behavior, Learning or Memory
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Vasculature
GO Term: Epidermis Development -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Tau Homeostasis, Immune Response, Proteostasis
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Male Gonad Development -> Biodomain: Endolysosome, Immune Response, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Female Gonad Development -> Biodomain: Immune Response, Endolysosome, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Proteostasis, Synapse, Autophagy, Cell Cycle, APP Metabolism
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Proteostasis
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Myelination, Autophagy, Endolysosome
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Oxidative Stress
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, APP Metabolism
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Chrac -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, APP Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Methionine Synthase Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: 4-Phytase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Immune Response
GO Term: Agmatinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Synapse
GO Term: Arginine Decarboxylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, APP Metabolism
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Proteostasis, DNA Repair, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Immune Response
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Choline Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism
GO Term: Datp Diphosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Exoribonuclease Ii Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, DNA Repair, Epigenetic
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glutamate Racemase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Immune Response, Endolysosome
GO Term: Phosphopentomutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Tau Homeostasis
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Tau Homeostasis, Epigenetic, Proteostasis, APP Metabolism, Synapse
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Ribonuclease E Activity -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, Apoptosis
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, APP Metabolism, Autophagy
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Immune Response, Apoptosis
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, APP Metabolism, Immune Response, Oxidative Stress, DNA Repair
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Thymidine Phosphorylase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Amino Acid Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Tau Homeostasis, Synapse
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: L-Methionine Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Glycoprotein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
