Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Epigenetic, Proteostasis, Endolysosome
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Immune Response, Cell Cycle
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Synapse, Myelination, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, DNA Repair
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Developmental Biology
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Immune Response, Synapse
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Immune Response
GO Term: Epithelial Cell Migration -> Biodomain: Cell Motility, Development, Cytoskeleton Organization, Extracellular Matrix Organization, Cell Adhesion
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Immune Response, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Endolysosome, Apoptosis
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Immune Response, Apoptosis, Vasculature, Cell Cycle
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Cell Communication -> Biodomain: Immune Response, Cell Cycle, Vasculature, Synapse, Lipid Metabolism
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Myelination
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Vasculature
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Ectodermal Cell Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Acetyltransferase Activator Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Synapse, Myelination, Structural Stabilization, Endolysosome
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Autophagy
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Extracellular Matrix Organization, Vasculature, Immune Response
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Extracellular Matrix Organization, Endolysosome
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Immune Response
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cell Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Vasculature, Apoptosis
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Protein Kinase A Signaling -> Biodomain: Cell Signaling, cAMP-mediated Signaling, Transcriptional Regulation, Cellular Processes, Metabolic Pathways
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Autophagy, Apoptosis
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fibroblast Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Epigenetic
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Oxidative Stress
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Synapse
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Neuropeptide Catabolic Process -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Substance P Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Oxidative Stress
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Lipid Metabolism
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Hormone Levels -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Endolysosome, Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Immune Response, Proteostasis
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Oxidative Stress, Epigenetic
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Epigenetic, Synapse, Mitochondrial Metabolism, Myelination, Lipid Metabolism
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Neurogenesis, Vasculature
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Signal Transduction, Ion Channel, GPCR Signaling, Synapse, Vasculature
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Autophagy
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Vasculature, Autophagy
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Myelination, Mitochondrial Metabolism
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Udp-Glucose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
