Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nuclear Speck -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Growth Hormone-Releasing Hormone Activity -> Biodomain: Endocrine Signaling, Neurotransmitter Signaling, Receptor Signaling, Cell Growth and Proliferation, Metabolic Processes
GO Term: Oxidoreductase Activity, Acting On Ch-Oh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 4-Oxoproline Reductase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Hydroxypyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Nad(P)H -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Heme Protein As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Quinone Or Similar Compound As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Oxidoreductase Activity, Acting On Other Nitrogenous Compounds As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Nad(P) As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Peroxide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 2-Oxoglutarate-Dependent Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Nad(P)H As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Flavonoid 3'-Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Pteridine As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Ascorbate As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Oxidoreductase Activity, Acting On Metal Ions -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Ch Or Ch2 Groups, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Transferase Activity, Transferring One-Carbon Groups -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Carboxyl- Or Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Transketolase Or Transaldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Aminoacyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Vasculature
GO Term: Hexosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Pentosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Transferase Activity, Transferring Alkyl Or Aryl (Other Than Methyl) Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Spermine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Transferase Activity, Transferring Phosphorus-Containing Groups -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Epigenetic, Synapse
GO Term: Phosphotransferase Activity, Alcohol Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Phosphotransferase Activity, Phosphate Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, Immune Response
GO Term: Nucleotidyltransferase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phosphotransferase Activity, For Other Substituted Phosphate Groups -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: 3-Mercaptopyruvate Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Hydrolase Activity, Acting On Ester Bonds -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Thiolester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: Triphosphoric Monoester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Hydrolase Activity, Acting On Glycosyl Bonds -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Hydrolyzing N-Glycosyl Compounds -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Endolysosome, Autophagy
GO Term: Ether Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cysteine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amidines -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines -> Biodomain: Proteostasis, Endolysosome, Autophagy, Epigenetic, Apoptosis
GO Term: Hydrolase Activity, Acting On Acid Anhydrides, In Phosphorus-Containing Anhydrides -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Carbon-Carbon Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Carboxy-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Aldehyde-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Oxo-Acid-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydro-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Carbon-Sulfur Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 1-Aminocyclopropane-1-Carboxylate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy, Immune Response
GO Term: Phosphorus-Oxygen Lyase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Racemase And Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intramolecular Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Intramolecular Oxidoreductase Activity, Transposing C=C Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Intramolecular Transferase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Intramolecular Phosphotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Ligase Activity, Forming Carbon-Sulfur Bonds -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Acid-Thiol Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Ligase Activity, Forming Carbon-Nitrogen Bonds -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Acid-Amino Acid Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Carbon-Nitrogen Ligase Activity, With Glutamine As Amido-N-Donor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Ligase Activity, Forming Carbon-Carbon Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ligase Activity, Forming Phosphoric Ester Bonds -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Atp Hydrolysis Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Dna Endonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dna Endonuclease Activity, Producing 3'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Endonuclease Activity Producing 5'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rna Endonuclease Activity Producing 3'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Rna Exonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: G Protein-Coupled Acetylcholine Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Follicle-Stimulating Hormone Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Follicle-Stimulating Hormone Complex -> Biodomain: Endocrine, Reproductive System, Developmental Processes, Structural Stabilization, Cellular Signaling
GO Term: Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization, Oxidative Stress
GO Term: Pyroglutamyl-Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Nuclear Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Protein Desumoylation -> Biodomain: Proteostasis, Epigenetic, APP Metabolism, Autophagy, Synapse
GO Term: Desumoylase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Extracellularly Glycine-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Extracellularly Glycine-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Glycine-Gated Chloride Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Galactoside Binding -> Biodomain: Glycosylation, Immune Response, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Short-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Kinesin I Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Kinesin Ii Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Natriuretic Peptide Receptor Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Binding Protein Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Alpha-2 Macroglobulin Receptor Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Flavin-Dependent Sulfhydryl Oxidase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Thiol Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Poly(A)+ Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Lipoate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Alpha-Sialidase Activity -> Biodomain: Glycosphingolipid Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Synapse
GO Term: Antibiotic Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, DNA Repair
GO Term: Activin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Cytochrome Complex Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: 3'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Map Kinase Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Myosin Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Synapse, Metal Binding and Homeostasis
GO Term: Myosin Phosphatase Regulator Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Myosin Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Cell Cycle
GO Term: Myosin I Binding -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Tbp-Class Protein Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Import -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: N-Acylsphingosine Amidohydrolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Cell Cycle
GO Term: Glycosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Corticotropin-Releasing Hormone Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Synapse, Vasculature
GO Term: Peptide Hormone Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Transcription Repressor Complex -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Cofactor 2 Complex -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Structural Constituent Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: 6-Phosphogluconolactonase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle, Autophagy
GO Term: Serine Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: 3-Galactosyl-N-Acetylglucosaminide 4-Alpha-L-Fucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Structural Stabilization, Vasculature
GO Term: S-Methyl-5-Thioadenosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fatty Acid Amide Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Single-Strand Selective Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: U6 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Intracellular Cyclic Nucleotide Activated Cation Channel Complex -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Oxidative Stress
GO Term: Syntaxin-1 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Purine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Oxidative Phosphorylation Uncoupler Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Sodium Channel Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
