Running with TEMP=0.9, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Brown Fat Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: White Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Immune Response, Apoptosis
GO Term: Positive Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Actin Polymerization-Dependent Cell Motility -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Hepatocyte Differentiation -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Hepatocyte Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Beta-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cellular Heat Acclimation -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Synapse
GO Term: Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Negative Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Signaling, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Erk5 Cascade -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Erk5 Cascade -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Erk5 Cascade -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Oxidative Stress, Autophagy
GO Term: Endosome To Plasma Membrane Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Exocytic Vesicle -> Biodomain: Synapse, Immune Response, Myelination, Structural Stabilization, Proteostasis
GO Term: Dna Cytosine Deamination -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Harderian Gland Development -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Transcription Export Complex 2 -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Detection Of Lipoteichoic Acid -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Nadp+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Nadph Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nad+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nadh Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Oxidation-Dependent Protein Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Carbamoyl Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Co-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: I-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: R-Smad Binding -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cellular Response To Cold -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dna-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Nonhomologous End Joining Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Dna Ligase Iii-Xrcc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Inflammation, Signal Transduction, Apoptosis, Pathogen Defense
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Inflammation, Autophagy, Proteostasis, Endolysosome
GO Term: Shc-Egfr Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Endolysosome, Immune Response
GO Term: Grb2-Egfr Complex -> Biodomain: Signaling, Cellular Response, Receptor Mediated Signaling, Protein Complex Assembly, Molecular Adapter Activity
GO Term: Integrin Alphaiib-Beta3 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Synapse, Proteostasis
GO Term: Mad-Max Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Oligodendrocyte Progenitor Proliferation -> Biodomain: Cell Cycle, Myelination, Synapse, Structural Stabilization, Epigenetic
GO Term: Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Apoptosis, Synapse
GO Term: Positive Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Elongin Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Prolactin Secretion -> Biodomain: Synapse, Immune Response, Autophagy, Epigenetic, Proteostasis
GO Term: Thyroid-Stimulating Hormone Secretion -> Biodomain: Synapse, Proteostasis, Vasculature, Epigenetic, RNA Spliceosome
GO Term: Saga-Type Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Plus-End Specific Microtubule Depolymerization -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Tubulin-Dependent Atpase Activity -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Rrna Base Methylation -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Rrna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Nuclear-Transcribed Mrna Catabolic Process, 3'-5' Exonucleolytic Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Non-Stop Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Metal Binding and Homeostasis
GO Term: Detection Of Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Leukocyte Aggregation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Monocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Vasculature, Endolysosome
GO Term: Neutrophil Aggregation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, DNA Repair, Structural Stabilization
GO Term: T Cell Aggregation -> Biodomain: Immune Response, Structural Stabilization, Synapse, Apoptosis, Proteostasis
GO Term: Oligosaccharide Binding -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: High-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Calcium Ion Import -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Death Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, DNA Repair
GO Term: Cak-Ercc2 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Ercc4-Ercc1 Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Immune Response
GO Term: Trna Threonylcarbamoyladenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Protein Kinase C Signaling -> Biodomain: Synapse, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: K63-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Immune Response, DNA Repair, Endolysosome
GO Term: Brca1-A Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Brca1-B Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Brca1-C Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Protein K63-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Oleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Myelination
GO Term: Linoleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Platinum Ion -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Linoleic Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Pebow Complex -> Biodomain: Cell Cycle, Proteostasis, RNA Spliceosome, Structural Stabilization, Epigenetic
GO Term: Endoribonuclease Activity, Cleaving Sirna-Paired Mrna -> Biodomain: Immune Response, RNA Spliceosome, Epigenetic, Autophagy, Proteostasis
GO Term: Brisc Complex -> Biodomain: Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response
GO Term: Nicotinic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-3-Complexin Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Response To Interleukin-1 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pcna-P21 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Protein Secretion By Platelet -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Vitamin D Receptor Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Vasculature, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Vitamin Metabolism, Nuclear Receptor Signaling, Calcium Homeostasis, Epigenetic, Immune Response
GO Term: Negative Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Metal Binding and Homeostasis, Immune Response, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Epigenetic, RNA Spliceosome, DNA Repair, Mitochondrial Metabolism
GO Term: Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Neuron Projection Regeneration -> Biodomain: Myelination, Structural Stabilization, Apoptosis, Synapse, Oxidative Stress
GO Term: Metallodipeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Cadmium Ion Transmembrane Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Vitamin D 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Risc-Loading Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Dna 5-Methylcytosine Dioxygenase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Cell-Cell Adhesion Involved In Gastrulation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Dendrite Self-Avoidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Regulation Of Centromeric Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Histone H3R2 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Histone H2Ar3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Grb2-Sos Complex -> Biodomain: Signal Transduction, Receptor Signaling, GTPase Regulation, Cell Signaling, Intracellular Signaling
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Complex -> Biodomain: Endolysosome, Glycosylation, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Zymogen Granule Exocytosis -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: (S)-2-(5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamido) Succinate Lyase (Fumarate-Forming) Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Proteasome Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Transepithelial Transport -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Transepithelial Ammonium Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Vitamin D3 Metabolic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Epigenetic, Vasculature
GO Term: Vitamin D Response Element Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Immune Response, Cell Cycle
GO Term: Protein Modification By Small Protein Removal -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Formin-Nucleated Actin Cable Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Nonfunctional Rrna Decay -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Haus Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: High-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Sensory Epithelium Regeneration -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Negative Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Interleukin-2 -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Response To Interleukin-4 -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Interleukin-15 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Response To Interleukin-18 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Hypoxanthine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Hypoxanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Inositol 1,4,5 Trisphosphate Binding -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Cell Cycle, Vasculature
GO Term: Glutaminyl-Trnagln Biosynthesis Via Transamidation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Proteasome Regulatory Particle Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Seminal Clot Liquefaction -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress
GO Term: Macropinocytic Cup -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: P-Tefb Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: 5-Hydroxymethyl-Dump N-Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Fhf Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Type I Activin Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Immune Response
GO Term: Type Ii Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Bmp Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Vasculature, Epigenetic
GO Term: Mucus Layer -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Inner Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Outer Mucus Layer -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Sodium-Dependent Organic Cation Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Mismatch Repair Involved In Maintenance Of Fidelity Involved In Dna-Dependent Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Isgf3 Complex -> Biodomain: Immune Response, Epigenetic, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Response To Cholesterol -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Bmp Receptor Complex -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Vasculature, Immune Response
GO Term: L-Leucine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cyclic Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response, Vasculature
GO Term: Camp Transport -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Cgmp Transport -> Biodomain: Vasculature, Endolysosome, Synapse, Lipid Metabolism, Proteostasis
GO Term: Ampylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Protein-Glycine Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein-Glycine Ligase Activity, Initiating -> Biodomain: Proteostasis, Amino Acid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Tubulin-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis
GO Term: Response To Interleukin-6 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, DNA Repair, Epigenetic
GO Term: C2H2 Zinc Finger Domain Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, DNA Repair, Cell Cycle, Immune Response
GO Term: Interleukin-23 Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Interleukin-35 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-35-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Pre-Snornp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
