Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Maternal Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Sperm Ejaculation -> Biodomain: Reproduction, Muscle Contraction, Neuromuscular, Hormone Signaling, Vasculature
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Ph Domain Binding -> Biodomain: Signal Transduction, Cytoskeleton, Membrane Trafficking, Lipid Metabolism, Apoptosis
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Apoptosis, Immune Response
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Lipid Metabolism, Autophagy, Immune Response, Oxidative Stress
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Circadian Rhythm, Neurophysiology, Sleep Regulation, Brain Function, Neurodegeneration
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Lipid Metabolism, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Synapse
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Autophagy, Cell Cycle, Lipid Metabolism, Synapse
GO Term: Eating Behavior -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Immune Response, Synapse
GO Term: Drinking Behavior -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Trna 3'-End Processing -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, Autophagy
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Autophagy
GO Term: Fucose Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Cell Cycle
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Wnt Receptor Activity -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Pyridoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Tap Complex -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Platelet Dense Granule -> Biodomain: Vasculature, Immune Response, Endolysosome, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Cysteine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Amide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Tubulin Deacetylase Activity -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Xenobiotic Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Neuromedin U Binding -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Enterobactin Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Endolysosome, Oxidative Stress
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Endolysosome
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dipeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Glucoside Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Vasculature
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Vasculature, Immune Response
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Immune Response
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Autophagy
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Cell Projection -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Lipid Metabolism, Autophagy
GO Term: Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Atp-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Chordate Embryonic Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism, Structural Stabilization
GO Term: Camera-Type Eye Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Gamma-Tubulin Binding -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis
GO Term: Nadph Oxidase Complex -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Endolysosome, Apoptosis
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Ribosome Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Synapse, Autophagy
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy, Epigenetic
GO Term: Neuronal Cell Body -> Biodomain: Proteostasis, Autophagy, Endolysosome, RNA Spliceosome, Epigenetic
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Vasculature
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Isoamylase Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Costamere -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Structural Stabilization
GO Term: Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, APP Metabolism
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Otic Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Thermotaxis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Extracellular Structure Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Intercellular Bridge Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Germ Cell Nucleus -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Megasporocyte Nucleus -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Amino Acid Import -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Synapse, Mitochondrial Metabolism
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Replication Fork Arrest -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Apoptosis
GO Term: Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Neurotrophin Binding -> Biodomain: Apoptosis, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Synapse, Proteostasis
GO Term: Surfactant Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Erythrocyte Enucleation -> Biodomain: Apoptosis, Autophagy, Endolysosome, Cell Cycle, Structural Stabilization
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, Synapse
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Epigenetic, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Acrosomal Matrix -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Acrosomal Lumen -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Apoptosis, Endolysosome
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Anion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Nucleoside Salvage -> Biodomain: Nucleotide Metabolism, Metabolism, DNA Repair, Cell Cycle, Epigenetic
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Amine Binding -> Biodomain: Synapse, Immune Response, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Alcohol Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Apoptosis, Proteostasis, Cell Cycle, Immune Response
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
