Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Tau Homeostasis, Apoptosis
GO Term: Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Golgi Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Golgi Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Cytoplasmic Side Of Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Otolith Morphogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Otolith Formation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Cell Cycle
GO Term: Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Heterotetrameric Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Epigenetic, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Rab Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Rab Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ral Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Ral Protein Signal Transduction -> Biodomain: Autophagy, Endolysosome, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Rap Protein Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Rap Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Vasculature
GO Term: Cdc42 Protein Signal Transduction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Synapse, Autophagy
GO Term: Detection Of Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Detection Of Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Bacterial Lipoprotein -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Response To Peptidoglycan -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Muramyl Dipeptide -> Biodomain: Immune Response, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Detection Of Lipopolysaccharide -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Detection Of Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Detection Of Peptidoglycan -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Muramyl Dipeptide Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Developmental Process -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Apoptosis
GO Term: Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Maintenance Of Protein Location In Cell -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Endosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Somite Rostral/Caudal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Response To Retinoic Acid -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Microvillus Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Regulation Of Microvillus Length -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Cellular Component Size -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Cell Projection Size -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Cortical Endoplasmic Reticulum -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Sulfiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Curi Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Ribonucleoside Binding -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Purine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair, Epigenetic
GO Term: Pyrimidine Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, APP Metabolism
GO Term: Pyrimidine Ribonucleotide Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Adenyl Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Adenyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Guanyl Ribonucleotide Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Datp Binding -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Apoptosis
GO Term: Dgtp Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Response To Progesterone -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Response To Vitamin K -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: 5'-3' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Golgi Cisterna Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Er-Dependent Peroxisome Organization -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Growth Cone Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Multivesicular Body Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Ruffle Membrane -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Trans-Golgi Network Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Neuron Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Dendrite Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendritic Spine Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin-Responsive Compartment -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Protein Transport Into Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: B Cell Receptor Transport Into Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse
GO Term: Chemokine Receptor Transport Out Of Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Regulation Of Chemokine Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Inflammation, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Cytokine Signaling, Innate Immunity, Cell Communication, Inflammation
GO Term: Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Cellular Response
GO Term: Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Chemokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Hepatocyte Growth Factor Production -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Negative Regulation Of Interleukin-27 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-7 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Innate Immunity, Inflammatory Response, Cellular Stress Response, Signal Transduction
GO Term: Negative Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chemokine Production -> Biodomain: Immune Response, Inflammatory Response, Cytokine Signaling, Signal Transduction, Cell Communication
GO Term: Positive Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Fractalkine Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Innate Immunity, Viral Response, Cytokine Signaling, Inflammatory Response
GO Term: Positive Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Signaling, Innate Immunity
GO Term: Positive Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Interleukin-15 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Positive Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-22 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Lymphotoxin A Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Copper-Dependent Protein Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Piccolo Histone Acetyltransferase Complex -> Biodomain: Epigenetic, Chromatin Organization, Transcriptional Regulation, Protein Modification, DNA Repair
GO Term: Negative Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Bile Acid Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Structural Stabilization
GO Term: Super Elongation Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Regulation Of Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Negative Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Saturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Unsaturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ribosome Disassembly -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome, Cell Cycle
GO Term: Lead Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Creb Transcription Factor Activity -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Gtpase Activating Protein Binding -> Biodomain: Signal Transduction, Cell Cycle, Structural Stabilization, Proteostasis, Synapse
GO Term: Heterotrimeric G-Protein Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Uropod Organization -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Synapse
GO Term: Smn Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Swi5-Sfr1 Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Low-Density Lipoprotein Receptor Particle Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Receptor Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dna Ligase Iv Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Lacrimal Gland Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neuronal Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Sterol Response Element Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Epinephrine Secretion -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Epinephrine Secretion -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Tumor Necrosis Factor Receptor Superfamily Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Synapse, Epigenetic, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
