Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Cell Cycle, Developmental Process, Biological Regulation, Cellular Homeostasis
GO Term: Mesodermal-Endodermal Cell Signaling -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Endodermal-Mesodermal Cell Signaling -> Biodomain: Signaling, Cell Communication, Developmental Processes, Regulation of Biological Process, Cellular Process
GO Term: Primary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Secondary Heart Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Determination Of Left/Right Asymmetry In Lateral Mesoderm -> Biodomain: Developmental Process, Pattern Specification, Anatomical Structure Development, Cell Differentiation, Tissue Development
GO Term: Cardiogenic Plate Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Embryonic Heart Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Embryonic Heart Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Neural Crest Cell Migration Involved In Heart Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Outflow Tract Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Membranous Septum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Muscular Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Heart Development, Developmental Process, Circulatory System Development
GO Term: Regulation Of Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Endocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Endocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cardiac Conduction System Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Atrioventricular Node Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, DNA Repair, Autophagy
GO Term: Sinoatrial Node Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Purkinje Myocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Bundle Of His Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Atrioventricular Bundle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Purkinje Myocyte Differentiation -> Biodomain: Structural Stabilization  
Vasculature  
Cell Cycle  
Autophagy  
Proteostasis
GO Term: Coronary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle
GO Term: Heart Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Atrioventricular Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Endolysosome
GO Term: Sinoatrial Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Mitral Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Tricuspid Valve Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Aortic Valve Development -> Biodomain: Vasculature, Structural Stabilization, Heart Development, Circulatory System Development, Anatomical Structure Development
GO Term: Pulmonary Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Heart Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Circulatory System Development, Developmental Process, Anatomical Structure Morphogenesis
GO Term: Aortic Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Atrioventricular Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Coronary Sinus Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Mitral Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Pulmonary Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Cell Cycle
GO Term: Sinoatrial Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tricuspid Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Aortic Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Atrioventricular Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitral Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Pulmonary Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Tricuspid Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Anatomical Structure Morphogenesis, Developmental Process, Cell Cycle
GO Term: Endocardial Cushion Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Endolysosome, Autophagy
GO Term: Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Differentiation, Developmental Process, Epigenetic
GO Term: Endocardial Cushion Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Cardiac Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiac Atrium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cardiac Atrium Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cardiac Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Cardiac Right Atrium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiac Left Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Cardiac Right Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Cardiac Left Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Heart Development, Developmental Process, Circulatory System Development
GO Term: Cardiac Right Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Left Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Right Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Ventricular Trabecula Myocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Ventricular Compact Myocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Myelination
GO Term: Right Ventricular Compact Myocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Atrial Cardiac Muscle Tissue Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Ventricular Cardiac Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Sinus Venosus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Cardiac Chamber Ballooning -> Biodomain: Vasculature, Structural Stabilization, Developmental Process, Heart Development, Circulatory System
GO Term: Cardiac Muscle Tissue Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Regulation Of Membrane Depolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Cardioblast Anterior-Lateral Migration -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Cardioblast Migration -> Biodomain: Vasculature, Developmental Process, Cell Motility, Anatomical Structure Morphogenesis, Circulatory System Development
GO Term: Regulation Of Cardioblast Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Developmental Process, Regulation of Cellular Process
GO Term: Notch Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Endocardial Cushion Formation -> Biodomain: Heart Development, Vasculature, Structural Stabilization, Cell Cycle, Tissue Development
GO Term: Cell Migration Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Endocardial Cushion Fusion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle
GO Term: Apoptotic Process Involved In Endocardial Cushion Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cardiac Septum Development -> Biodomain: Cardiovascular, Structural Stabilization, Vasculature, Developmental Biology, Organogenesis
GO Term: Ventricular Septum Development -> Biodomain: Vasculature, Structural Stabilization, Developmental Process, Organ Development, Cardiovascular
GO Term: Atrial Septum Development -> Biodomain: Vasculature, Structural Stabilization, Heart Development, Cardiac Chamber Development, Anatomical Structure Development
GO Term: Septum Primum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Septum Secundum Development -> Biodomain: Vasculature, Structural Stabilization, Developmental Process, Heart Development, Organ Development
GO Term: Atrial Septum Primum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Atrial Septum Secundum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Atrial Ventricular Junction Remodeling -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Type B Pancreatic Cell Differentiation -> Biodomain: Pancreas, Endocrine, Cell Cycle, Development, Epigenetic
GO Term: Pancreatic A Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Pancreatic D Cell Differentiation -> Biodomain: Cell Cycle, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Pancreatic A Cell Development -> Biodomain: Endocrine System, Developmental Biology, Cell Differentiation, Pancreas Development, Organ Development
GO Term: Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Pancreatic A Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Type B Pancreatic Cell Fate Commitment -> Biodomain: Endocrine System, Developmental Biology, Pancreas, Cell Differentiation, Tissue Development
GO Term: Pancreatic Pp Cell Fate Commitment -> Biodomain: Endocrine System Development, Epigenetic, Cell Cycle, Developmental Process, Cellular Process
GO Term: Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Autophagy
GO Term: Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Keratinocyte Development -> Biodomain: Epigenetic, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Corneocyte Development -> Biodomain: Skin Development, Cell Differentiation, Structural Stabilization, Cellular Process, Epithelial Function
GO Term: Corneocyte Desquamation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Metanephros Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization  
Cell Cycle  
Epigenetic  
Proteostasis  
Vasculature
GO Term: Negative Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Cilium Movement -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Proepicardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Proepicardium Cell Migration Involved In Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Pulmonary Myocardium Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Epithelial Cilium Movement Involved In Extracellular Fluid Movement -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Microtubule Dynamics, Cellular Motility, Cellular Organization, Regulation of Cellular Processes
GO Term: Regulation Of Cilium Beat Frequency -> Biodomain: Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Noradrenergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Proteostasis
GO Term: Noradrenergic Neuron Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Noradrenergic Neuron Fate Commitment -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Myelination
GO Term: Brainstem Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Lamellipodium Assembly Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Establishment Of Cell Polarity Involved In Ameboidal Cell Migration -> Biodomain: Cell Motility, Cell Polarity, Cytoskeleton Organization, Cell Migration, Intracellular Organization
GO Term: Cell-Matrix Adhesion Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Sphingosine-1-Phosphate Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Apical Constriction -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Optic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Retinal Pigment Epithelium Development -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Optic Cup Formation Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Optic Cup Structural Organization -> Biodomain: Structural Stabilization  
Cell Cycle  
Apoptosis  
Vasculature  
Epigenetic
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity Involved In Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization  
Cell Differentiation  
Developmental Process  
Connective Tissue  
Bone Development
GO Term: Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Proteostasis
GO Term: Endochondral Bone Growth -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Vasculature
GO Term: Growth Plate Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Structural Stabilization  
Cell Cycle  
Skeletal System Development  
Developmental Processes  
Tissue Development
GO Term: Growth Plate Cartilage Axis Specification -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Growth -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Skeletal Development, Cell Differentiation, Developmental Biology, Connective Tissue, Morphogenesis
GO Term: Molecular Function -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nucleic Acid Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle
GO Term: Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Metal Binding and Homeostasis
GO Term: Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Minor Groove Of Adenine-Thymine-Rich Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Bent Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Damaged Dna Binding -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Dna Replication Origin Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna Clamp Loader Activity -> Biodomain: DNA Repair, Catalytic Activity, DNA Replication, DNA Binding, Cell Cycle
GO Term: Double-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Double-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Left-Handed Z-Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, APP Metabolism
GO Term: Satellite Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Nuclear Steroid Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Transcription Elongation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Coregulator Activity -> Biodomain: Epigenetic, Transcription Regulator, Chromatin Remodeling, Chromatin Organization, Nuclear Processes
GO Term: Transcription Coactivator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Corepressor Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Telomerase Activity -> Biodomain: DNA Repair, Catalytic Activity, Cell Cycle, Apoptosis, Proteostasis
GO Term: Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Rna Helicase Activity -> Biodomain: RNA Spliceosome, Immune Response, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Double-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response
GO Term: Double-Stranded Rna Adenosine Deaminase Activity -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Synapse, Apoptosis
GO Term: Single-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Proteostasis
GO Term: Mrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Mrna 3'-Utr Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Structural Constituent Of Ribosome -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Translation Initiation Factor Activity -> Biodomain: Proteostasis, Protein Synthesis, RNA Processing, Epigenetic, DNA Repair
GO Term: Translation Elongation Factor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Translation Release Factor Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Peptidyl-Prolyl Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Structural Stabilization, Tau Homeostasis
GO Term: Protein Disulfide Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Synapse, Immune Response
GO Term: Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Microtubule Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Actin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Actin Monomer Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Immune Response
GO Term: Actin Monomer Sequestering Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Lysozyme Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Antigen Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Catalytic Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation,Protein Modification,Endolysosome,Proteostasis,Lipid Metabolism
GO Term: Alpha-N-Acetylneuraminate Alpha-2,8-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
