Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Translational Termination -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Negative Regulation Of Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Vasoconstriction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Immune Response, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Dna Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Catecholamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Exocytosis -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Exocytosis -> Biodomain: Synapse, Immune Response, Myelination, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Female Receptivity -> Biodomain: Epigenetic, Synapse, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Female Receptivity -> Biodomain: Epigenetic, Lipid Metabolism, Synapse, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Growth -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Growth -> Biodomain: Cell Cycle, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Muscle Contraction -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Muscle Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, APP Metabolism
GO Term: Negative Regulation Of Phosphate Metabolic Process -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Transcription By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mitotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mitotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Calcium Ion-Dependent Exocytosis -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Complement Activation, Classical Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Growth Rate -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mitotic Cell Cycle, Embryonic -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Contraction -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Striated Muscle Contraction -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Striated Muscle Contraction -> Biodomain: Muscle Function, Signaling, Cardiovascular, Cellular Processes, Structural Stabilization
GO Term: Carbon Catabolite Regulation Of Transcription -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Embryonic Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Translational Initiation By Iron -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Embryonic Development -> Biodomain: Developmental Biology, Cell Differentiation, Morphogenesis, Cell Proliferation, Cell Signaling
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Autophagy, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of T Cell Homeostatic Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Transcription By Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Transcription By Glucose -> Biodomain: Epigenetic,Lipid Metabolism,Mitochondrial Metabolism,Proteostasis,Oxidative Stress
GO Term: Phospholipid:Diacylglycerol Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Inositol Trisphosphate Phosphatase Activity -> Biodomain: Signaling, Lipid Metabolism, Calcium Homeostasis, Phosphatase Activity, Metabolic Processes
GO Term: Adp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Adp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Amp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Ctp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Gmp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Gmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gtp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Imp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Itp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Itp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Nucleotide Metabolism, Purine Metabolism, RNA Metabolism, DNA Repair
GO Term: Ump Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis
GO Term: Utp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Utp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, RNA Spliceosome, Lipid Metabolism
GO Term: Dgmp Metabolic Process -> Biodomain: Nucleotide Metabolism, DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Dgmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Cell Cycle, Endolysosome
GO Term: Dadp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Camp Metabolic Process -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Damp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Endolysosome
GO Term: Datp Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Mitochondrial Metabolism, Epigenetic
GO Term: Datp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dgdp Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Cgmp Metabolic Process -> Biodomain: Vasculature, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Cgmp Catabolic Process -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dgtp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Immune Response, Epigenetic
GO Term: Dtmp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Dttp Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Dump Catabolic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Dutp Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Adenine Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Adenine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Adenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Adenosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Deoxycytidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Guanine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Hypoxanthine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Hypoxanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Inosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Thymidine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Apoptosis, Autophagy
GO Term: Thymidine Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Uridine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, RNA Spliceosome, Oxidative Stress, Proteostasis
GO Term: Xanthine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Deoxyribonucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Proteostasis, Endolysosome
GO Term: Purine Deoxyribonucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Autophagy
GO Term: Purine Ribonucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, RNA Spliceosome, Immune Response
GO Term: Pyrimidine Nucleoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Tetrahydrobiopterin Metabolic Process -> Biodomain: Oxidative Stress, Vasculature, Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Alcohol Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Glycerol-3-Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycerol-3-Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Aldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Spermidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Nor-Spermidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Spermine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Nitric Oxide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Nitric Oxide Catabolic Process -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Indolalkylamine Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Aflatoxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Aflatoxin Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Coumarin Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Stilbene Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Formaldehyde Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Formaldehyde Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycolate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphocreatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Gluconokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of D-Glucose Import -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Cell Cycle
GO Term: Glycerol Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Jnk Cascade -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Jnk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Lateral Inhibition -> Biodomain: Signaling, Cell Differentiation, Developmental Patterning, Cell Communication, Neurogenesis
GO Term: Smad Binding -> Biodomain: Signal Transduction, Cell Growth and Differentiation, Transcriptional Regulation, Cellular Communication, Protein Binding
GO Term: Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Myelination, Structural Stabilization
GO Term: Phosphatidylethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Diacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cdp-Diacylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Disaccharide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Acetyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Butyrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: 2-Oxobutyrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-L-Fucose Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Fructose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Arabinose Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: N-Acetylneuraminate Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Immune Response, Autophagy
GO Term: Cmp-N-Acetylneuraminate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Deoxyribose Phosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Ribose Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: Carboxylic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Carboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Udp-Glucuronate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Immune Response
GO Term: Polynucleotide 3'-Phosphatase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Atp-Dependent Polydeoxyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Urate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: D-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Organophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Creatinine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress
GO Term: Dihydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Icosanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Prostanoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Hexadecanal Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Short-Chain Fatty Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Acylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Membrane Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Platelet Activating Factor Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Autophagy
GO Term: Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Phosphatidylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Phosphatidic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glycerophospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Structural Stabilization, Autophagy
GO Term: Glycerophospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Glycosphingolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
