Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Embryonic Heart Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Neural Crest Cell Migration Involved In Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Outflow Tract Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Membranous Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Muscular Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Regulation Of Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Endocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Endothelium Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Endocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Cardiac Conduction System Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Vasculature, Cell Cycle, Synapse
GO Term: Atrioventricular Node Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Sinoatrial Node Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Purkinje Myocyte Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Mitochondrial Metabolism
GO Term: Bundle Of His Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Atrioventricular Bundle Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Purkinje Myocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Coronary Vein Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Heart Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Atrioventricular Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Sinoatrial Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitral Valve Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Tricuspid Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Aortic Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Autophagy, Proteostasis
GO Term: Pulmonary Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Apoptosis
GO Term: Heart Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Aortic Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Atrioventricular Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Coronary Sinus Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Mitral Valve Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Pulmonary Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Sinoatrial Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Tricuspid Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Aortic Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Atrioventricular Valve Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitral Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Pulmonary Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Tricuspid Valve Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Endocardial Cushion Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cardiac Chamber Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Cardiac Atrium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Cardiac Atrium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiac Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiac Right Atrium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Cardiac Left Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Cardiac Right Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Cardiac Left Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Cardiac Right Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Left Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Right Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Ventricular Trabecula Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Right Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Atrial Cardiac Muscle Tissue Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Ventricular Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Vasculature, Proteostasis, Autophagy
GO Term: Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Sinus Venosus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiac Chamber Ballooning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Cardiac Muscle Tissue Growth Involved In Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Epigenetic, Structural Stabilization
GO Term: Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Regulation Of Membrane Depolarization -> Biodomain: Synapse, Vasculature, Myelination, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cardioblast Anterior-Lateral Migration -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Cardioblast Migration -> Biodomain: Developmental Processes, Vasculature, Cell Adhesion and Migration, Structural Stabilization, Epigenetic
GO Term: Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Vasculature
GO Term: Notch Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Proteostasis, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Vasculature
GO Term: Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cell Migration Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Endocardial Cushion Fusion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Apoptotic Process Involved In Endocardial Cushion Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Cardiac Septum Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Ventricular Septum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Atrial Septum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Septum Primum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Septum Secundum Development -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Atrial Septum Primum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Atrial Septum Secundum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Atrial Ventricular Junction Remodeling -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Vasculature
GO Term: Type B Pancreatic Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Pancreatic A Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Pancreatic D Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pancreatic A Cell Development -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pancreatic A Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Type B Pancreatic Cell Fate Commitment -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Pancreatic Pp Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Immune Response
GO Term: Amino Acid Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Keratinocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Epigenetic, Cell Cycle
GO Term: Corneocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Corneocyte Desquamation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Epithelial Mesenchymal Transition, Kidney Development, Cell Differentiation, Morphogenesis, Regulation Of Developmental Process
GO Term: Negative Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Cilium Movement -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Immune Response
GO Term: Proepicardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Pericardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Proepicardium Cell Migration Involved In Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Pulmonary Myocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Epithelial Cilium Movement Involved In Extracellular Fluid Movement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Regulation Of Cilium Beat Frequency -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Noradrenergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Noradrenergic Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Noradrenergic Neuron Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Brainstem Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Lamellipodium Assembly Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome
GO Term: Establishment Of Cell Polarity Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Cell-Matrix Adhesion Involved In Ameboidal Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Sphingosine-1-Phosphate Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Apical Constriction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Regulation Of Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Axis Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Optic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Retinal Pigment Epithelium Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Neural Retina Development -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Optic Cup Formation Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Optic Cup Structural Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity Involved In Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Cell Cycle, Proteostasis
GO Term: Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Endochondral Bone Growth -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Growth Plate Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Autophagy, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Growth Plate Cartilage Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Growth Plate Cartilage Chondrocyte Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Growth Plate Cartilage Chondrocyte Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Growth Plate Cartilage Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Autophagy
GO Term: Molecular Function -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Nucleic Acid Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Minor Groove Of Adenine-Thymine-Rich Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Bent Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Damaged Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Replication Origin Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Clamp Loader Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Double-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Double-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Left-Handed Z-Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Satellite Dna Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Binding -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Nuclear Steroid Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Transcription Elongation Factor Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Transcription Coregulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Coactivator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Transcription Corepressor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Telomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Rna Helicase Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Double-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Double-Stranded Rna Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Single-Stranded Rna Binding -> Biodomain: RNA Metabolism, Transcription, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Mrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Mrna 3'-Utr Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Structural Constituent Of Ribosome -> Biodomain: Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Translation Initiation Factor Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Myelination, RNA Spliceosome
GO Term: Translation Elongation Factor Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Translation Release Factor Activity -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, DNA Repair
GO Term: Peptidyl-Prolyl Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, APP Metabolism, Mitochondrial Metabolism
GO Term: Protein Disulfide Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Microtubule Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Actin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Actin Monomer Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Actin Monomer Sequestering Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Lysozyme Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Vasculature, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Catalytic Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosylation, Protein Processing, Post-Translational Modification, Metabolism, Enzyme Activity
GO Term: Alpha-N-Acetylneuraminate Alpha-2,8-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis, Immune Response
GO Term: Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, Vasculature
GO Term: Beta-1,4-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Immune Response
GO Term: Beta-N-Acetylglucosaminylglycopeptide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Glycosylation, Protein Processing, Enzyme Activity, Metabolism, Post-translational Modification
GO Term: Beta-Carotene 15,15'-Dioxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
