Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Transmembrane Signaling Receptor Activity, Immunoglobulin Receptor Activity, Molecular Transducer Activity
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Epigenetic
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, DNA Repair, Apoptosis, Epigenetic
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Epigenetic
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Oxidative Stress
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Autophagy, Epigenetic
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Oxidative Stress
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis, Epigenetic
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Apoptosis
GO Term: Aspartoacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Myelination, Proteostasis, Autophagy
GO Term: Polyamine Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Spermidine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Putrescine Binding -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Lipid Metabolism
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Vasculature, Synapse
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cytolysis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Growth Factor Binding -> Biodomain: Cell Cycle, Vasculature, Synapse, Proteostasis, Myelination
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Vasculature, Immune Response
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Rrna Binding -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, DNA Repair
GO Term: Cytosine Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Nucleobase-containing Compound Metabolic Process, Small Molecule Metabolic Process, Metal Binding and Homeostasis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Ige Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Myelination
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Cell Cycle, DNA Repair
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Autophagy, Proteostasis
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Vasculature
GO Term: Extrinsic Component Of Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Myelination, Endolysosome
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Protein Kinase Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Epigenetic, Apoptosis
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Camp-Mediated Signaling -> Biodomain: Signal Transduction, Metabolism, Response to Stimulus, Regulation of Biological Process, Intracellular Signaling
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Epigenetic, Apoptosis, DNA Repair
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Cytokine Binding, Growth Factor Binding, Proteostasis, Apoptosis
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Lipid Metabolism
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Hemoglobin Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Myelination
GO Term: Neural Fold Elevation Formation -> Biodomain: Developmental Biology, Neuroscience, Cell Adhesion and Migration, Cytoskeleton Organization, Tissue Morphogenesis
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization  
Synapse  
Proteostasis  
Epigenetic  
Cell Cycle
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization  
Epigenetic  
Synapse  
Myelination  
Cell Cycle
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Spinal Cord Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Synapse, Myelination, Cell Cycle, Apoptosis, Epigenetic
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Vasculature
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Myelination, Cell Cycle, Apoptosis, Epigenetic
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse  
Structural Stabilization  
Cell Cycle  
Immune Response  
Apoptosis
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse  
Structural Stabilization  
Myelination  
Cell Cycle  
Autophagy
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Neuron Differentiation, Neurogenesis, Axon Guidance, Cell Differentiation
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Myelination
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination  
Structural Stabilization  
Cell Cycle  
Autophagy  
Lipid Metabolism
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination  
Lipid Metabolism  
Structural Stabilization  
Cell Cycle  
Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Vasculature
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Cell Cycle
GO Term: Diencephalon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Apoptosis, Vasculature
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Cell Cycle  
Immune Response
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Pallium Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cranial Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Cell Cycle
GO Term: Rhombomere Development -> Biodomain: Epigenetic
Cell Cycle
Structural Stabilization
Synapse
Myelination
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Autophagy  
Apoptosis
GO Term: Pons Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Endolysosome
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Optic Nerve Development -> Biodomain: Nervous System Development, Myelination, Structural Stabilization, Synapse, Cellular Component Organization
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Trochlear Nerve Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Nervous System Development, Developmental Process, Myelination, Cell Cycle
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Apoptosis, Vasculature
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Autophagy
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Rhombomere 3 Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Synapse, Myelination
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Apoptosis
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Abducens Nerve Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Endolysosome
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Facial Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Nervous System Development, Anatomical Structure Development
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Cell Cycle
GO Term: Optic Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Cell Cycle
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Vasculature
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Myelination
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Autophagy
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Myelination
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Synapse
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Cell Cycle
GO Term: Rhombomere 5 Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Lateral Ventricle Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Nerve Development -> Biodomain: Synapse, Nervous System Development, Cell Differentiation, Cell Migration, Axon Guidance
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Tau Homeostasis
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization  
Synapse  
Nervous System Development  
Cerebellum Development  
Neurogenesis
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Neuronal Signaling, Structural Stabilization, Neuronal Development, Vasculature
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse  
Structural Stabilization  
Myelination  
Cell Cycle  
Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Neurogenesis and Neuronal Development, Brain Development, Developmental Biology, Cell Differentiation and Development, Synapse
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse  
Structural Stabilization  
Myelination  
Cell Cycle  
Autophagy
GO Term: Developmental Maturation -> Biodomain: Epigenetic, Proteostasis, Autophagy, RNA Spliceosome, Structural Stabilization
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Myelination, Epigenetic, Synapse, Cell Cycle
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization  
Myelination  
Cell Cycle  
Autophagy  
Apoptosis
GO Term: Hypoglossal Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Epigenetic, Synapse
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
