Running with TEMP=0.1, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Transport From Ciliary Membrane To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Androst-4-Ene-3,17-Dione Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Lactate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Okazaki Fragment Processing Involved In Mitotic Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Mitotic Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Lactation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Lactation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Dehydroepiandrosterone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Dehydroepiandrosterone -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To 11-Deoxycorticosterone -> Biodomain: Vasculature, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Phytanic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum -> Biodomain: Calcium Signaling, Signal Transduction, Ion Homeostasis, Cell Stress Response, Metabolism
GO Term: Calcium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Single Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Blood Circulation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Blood Circulation -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Membrane Tubulation -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Immune Response
GO Term: Negative Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Secretion By Cell -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Regulation Of Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Establishment Of Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, APP Metabolism
GO Term: Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Exosomal Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Apoptosis
GO Term: Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Immune Response, Autophagy
GO Term: Cellular Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Protein Localization To Photoreceptor Outer Segment -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Extracellular Exosome Assembly -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Extracellular Exosome Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Vasculature, Immune Response
GO Term: Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Inflammation, Cell Death, Signal Transduction
GO Term: Extracellular Vesicle -> Biodomain: Immune Response, Endolysosome, Synapse, Autophagy, Vasculature
GO Term: Regulation Of Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Autophagy
GO Term: Negative Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cornified Envelope Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Cellular Response To L-Arginine -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Epigenetic
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Endolysosome
GO Term: Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Gap Junction Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Cell Cycle
GO Term: Negative Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Positive Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cytochrome Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytochrome C Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Protein Localization To Cytoplasmic Stress Granule -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Positive Regulation Of Calcium-Dependent Atpase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Transdifferentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Protein Localization To Photoreceptor Connecting Cilium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Gastrin-Induced Gastric Acid Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Mitotic Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Synapse
GO Term: Positive Regulation Of Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Positive Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Tarsal Gland Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Substantia Propria Of Cornea Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Epigenetic
GO Term: Enterocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Uterine Gland Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Spermine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Spermidine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Cysteine Transmembrane Transport -> Biodomain: Amino Acid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Asparagine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Regulation Of Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Guanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of I-Kappab Phosphorylation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Plasma Membrane Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Cortical Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Gap Junction Channel Activity Involved In Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Myelination, Structural Stabilization
GO Term: Negative Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Immune Response, Myelination, Structural Stabilization
GO Term: Sweet Taste Receptor Complex -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Beta-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Viral Budding Via Host Escrt Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein Localization To Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Positive Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: L-Valine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Guanine Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Uracil Transmembrane Transport -> Biodomain: Cell Cycle, Endolysosome, Autophagy, RNA Spliceosome, DNA Repair
GO Term: Positive Regulation Of Monoatomic Anion Transport -> Biodomain: Endolysosome, Vasculature, Immune Response, Synapse, Oxidative Stress
GO Term: Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: Negative Regulation Of Mirna Processing -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Immune Response
GO Term: L-Leucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: L-Glutamine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Glycine Import Across Plasma Membrane -> Biodomain: Amino Acid Transport, Amino Acid Metabolism, Small Molecule Transport, Neurotransmitter Transport, Membrane Trafficking
GO Term: L-Isoleucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: L-Histidine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Asparagine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: L-Serine Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Collecting Lymphatic Vessel Constriction -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Telomere Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Organic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: L-Arginine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Immune Response, Synapse, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Positive Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Magnesium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Arsenite(3-) -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Arsenite Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 20 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Plasma Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Negative Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Protein Processing In Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Estradiol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Response To Bisphenol A -> Biodomain: Endocrine, Epigenetic, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Cellular Response To Bisphenol A -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Endolysosome, Immune Response
GO Term: Primary Palate Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Response To Acrylamide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
