Running with TEMP=0.5, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Brown Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Protein Transport From Ciliary Membrane To Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Androst-4-Ene-3,17-Dione Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Autophagy
GO Term: Positive Regulation Of G1 To G0 Transition -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Lactate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Synapse, Immune Response
GO Term: Okazaki Fragment Processing Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mitotic Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Mitotic Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Lactation -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Vasculature, RNA Spliceosome
GO Term: Positive Regulation Of Lactation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Dehydroepiandrosterone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Cellular Response To Dehydroepiandrosterone -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Response To 11-Deoxycorticosterone -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Phytanic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Calcium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Regulation Of Blood Circulation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Blood Circulation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Membrane Tubulation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Secretion By Cell -> Biodomain: Synapse, Immune Response, Proteostasis, APP Metabolism, Vasculature
GO Term: Negative Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Secretion By Cell -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Meiotic Cell Cycle Process Involved In Oocyte Maturation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Establishment Of Protein Localization To Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Exosomal Secretion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Exosomal Secretion -> Biodomain: Exosome Secretion, Vesicle Trafficking, Cell Communication, Immune Response, Autophagy
GO Term: Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Immune Response, Autophagy
GO Term: Cellular Response To Butyrate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Protein Localization To Photoreceptor Outer Segment -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Extracellular Exosome Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Extracellular Exosome Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Negative Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Extracellular Vesicle -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Protein Localization To Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Cilium -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of Protein Localization To Ciliary Membrane -> Biodomain: Cilia, Protein Trafficking, Subcellular Organization, Regulation of Transport, Signal Transduction
GO Term: Negative Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Cornified Envelope Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Cellular Response To L-Arginine -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Atp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Gap Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Autophagy Of Mitochondrion -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cytochrome Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Cytochrome C Metabolic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Localization To Cytoplasmic Stress Granule -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Positive Regulation Of Calcium-Dependent Atpase Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Transdifferentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Protein Localization To Photoreceptor Connecting Cilium -> Biodomain: Cilium Organization, Sensory System, Cellular Organization, Subcellular Organization, Neuronal Function
GO Term: Negative Regulation Of Gastrin-Induced Gastric Acid Secretion -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Complement-Dependent Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Sprouting Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Mitotic Cleavage Furrow Formation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Cell Cycle
GO Term: Tarsal Gland Development -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis, RNA Spliceosome
GO Term: Substantia Propria Of Cornea Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Enterocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Regulation Of Hemopoiesis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Hemopoiesis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Uterine Gland Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Spermine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Spermidine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cysteine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Asparagine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Guanine Transmembrane Transport -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of I-Kappab Phosphorylation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Centriole Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Plasma Membrane Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Anterograde Synaptic Vesicle Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Establishment Of Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of P38Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Cortical Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Gap Junction Channel Activity Involved In Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Oxidative Stress, Structural Stabilization
GO Term: Sweet Taste Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Beta-Galactosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Viral Budding Via Host Escrt Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Regulation Of Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Protein Localization To Vacuolar Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Synapse, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Cardiac Conduction -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Myelination, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Sodium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: L-Valine Transmembrane Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Glutathione Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Guanine Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Uracil Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Monoatomic Anion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Mirna Processing -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: L-Leucine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: L-Glutamine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Glycine Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: L-Isoleucine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: L-Histidine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response, Synapse
GO Term: L-Asparagine Import Across Plasma Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle
GO Term: L-Serine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Collecting Lymphatic Vessel Constriction -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Telomere Single Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Organic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Arginine Transmembrane Transport -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Positive Regulation Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Magnesium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Arsenite(3-) -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Endolysosome
GO Term: Cellular Response To Arsenite Ion -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Positive Regulation Of Aorta Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cristae Formation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Oxidative Phosphorylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 20 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Viral Life Cycle -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: Negative Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Synapse, Proteostasis
GO Term: Positive Regulation Of Establishment Of T Cell Polarity -> Biodomain: Immune Response, Structural Stabilization, Synapse, Cell Cycle, Vasculature
GO Term: Regulation Of Plasma Membrane Raft Polarization -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Immune Response, Proteostasis
GO Term: Regulation Of Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Eif2 Alpha Phosphorylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Fusion Of Virus Membrane With Host Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton Organization, Cell Cycle, Synapse
GO Term: Positive Regulation Of Actin Filament Severing -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Protein Processing In Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Estradiol Binding -> Biodomain: Hormone, Lipid Metabolism, Transcription Regulation, Development, Cell Signaling
GO Term: Response To Bisphenol A -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Cellular Response To Bisphenol A -> Biodomain: Oxidative Stress, Apoptosis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Primary Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cellular Response To Sodium Arsenite -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism
