Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Gtp Cyclohydrolase I Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Elastin Catabolic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Elastin Catabolic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Blood Vessel Remodeling -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Negative Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Definitive Erythrocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Head Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Myelination, Epigenetic
GO Term: Head Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, DNA Repair
GO Term: Face Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Face Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization, Vasculature
GO Term: Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Apoptosis
GO Term: Cytoplasmic Actin-Based Contraction Involved In Cell Motility -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Response To Type Ii Interferon -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Type Ii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Type I Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Photoreceptor Inner Segment Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Spleen Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Bone Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Heart Trabecula Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Bone Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Cartilage Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Cell Adhesion Molecule Production -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Synapse
GO Term: Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Negative Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cell Adhesion Molecule Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Response To Ammonium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cranial Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Immune Response
GO Term: Frontal Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Lambdoid Suture Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Endolysosome, Proteostasis
GO Term: Sagittal Suture Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Susceptibility To T Cell Mediated Cytotoxicity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Regulation Of Atrial Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Regulation Of Ventricular Cardiac Muscle Cell Membrane Depolarization -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Mast Cell Differentiation -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Epigenetic, Vasculature
GO Term: Negative Regulation Of Mast Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Hematological System, Inflammation, Vasculature
GO Term: Regulation Of Brood Size -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Dna Strand Elongation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Axonogenesis Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Synapse Assembly Involved In Innervation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Smad Protein Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Smad Protein Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Smad Protein Signal Transduction -> Biodomain: Apoptosis, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Growth Hormone Receptor Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Growth Hormone Receptor Signaling Pathway Via Jak-Stat -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Growth Hormone Receptor Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Calcium Ion Transport Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Axonemal Microtubule Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Negative Regulation Of Penile Erection -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Acetylcholine Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Cardiac Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Cell Cycle
GO Term: Ventricular Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Atrial Septum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Aorta Smooth Muscle Tissue Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Growth Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Heart Growth -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Heart Growth -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Peptidyl-Dipeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Lung Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Lung Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Lung Connective Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Lung Epithelium Development -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy
GO Term: Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Lung Saccule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Primary Lung Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Bronchus Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Bronchus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Bronchiole Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Bronchiole Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Lung Growth -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Trachea Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Trachea Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Trachea Formation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Epithelial Tube Branching Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Autophagy
GO Term: Branching Involved In Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Mammary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Branching Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Epigenetic
GO Term: Branching Involved In Salivary Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Bud Outgrowth Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Bud Elongation Involved In Lung Branching -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Hindgut Contraction -> Biodomain: Muscle System, Gastrointestinal System, Digestion, Cell Signaling, Metabolism
GO Term: Positive Regulation Of Cardiac Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Gastric Acid Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Gastric Acid Secretion -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Digestive System Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Right Lung Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Left Lung Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Left Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Right Lung Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Lung Lobe Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Activation Of Meiosis Involved In Egg Activation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Apoptosis
GO Term: Prevention Of Polyspermy -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Cytosolic Calcium Ion Concentration Involved In Egg Activation -> Biodomain: Calcium Signaling, Cell Signaling, Reproduction, Ion Homeostasis, Developmental Processes
GO Term: Cortical Granule Exocytosis -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cortical Granule -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Flagellated Sperm Motility Involved In Capacitation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Acrosomal Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Lung Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Immune Response
GO Term: Lung Goblet Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Cell Cycle
GO Term: Lobar Bronchus Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Lobar Bronchus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Lung-Associated Mesenchyme Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Mesenchyme Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Club Cell Differentiation -> Biodomain: Structural Stabilization, Oxidative Stress, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Lung Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Immune Response, Vasculature
GO Term: Orthogonal Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Planar Dichotomous Subdivision Of Terminal Units Involved In Lung Branching Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Lateral Sprouting Involved In Lung Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Cell Projection Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Lung Induction -> Biodomain: Epigenetic, Cell Cycle, Vasculature, RNA Spliceosome, Structural Stabilization
GO Term: Mesenchymal-Epithelial Cell Signaling Involved In Lung Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Autophagy
GO Term: Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Bud Dilation Involved In Lung Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Lung Development -> Biodomain: Vasculature, Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy
GO Term: Type I Pneumocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Type Ii Pneumocyte Differentiation -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Prostate Gland Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Prostatic Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Prostate Induction -> Biodomain: Organ Morphogenesis, Tissue Differentiation, Tissue Morphogenesis, Cell Differentiation, Developmental Specification
GO Term: Primary Prostatic Bud Elongation -> Biodomain: Structural Stabilization, Vasculature, Morphogenesis, Cell Growth and Differentiation, Development
GO Term: Epithelial Cell Proliferation Involved In Prostatic Bud Elongation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Prostate Epithelial Cord Elongation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Prostate Epithelial Cord Arborization Involved In Prostate Glandular Acinus Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: Secretory Columnal Luminar Epithelial Cell Differentiation Involved In Prostate Glandular Acinus Development -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Squamous Basal Epithelial Stem Cell Differentiation Involved In Prostate Gland Acinus Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Bronchus Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Trachea Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Trachea Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cartilage Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Muscle Tissue Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Skeletal Muscle Organ Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Diaphragm Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Myelination
GO Term: Respiratory System Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Vitamin D Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Developmental Growth Involved In Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Epithelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neuroepithelial Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Termination Of Dna-Templated Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Morphogenesis Of An Epithelial Fold -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Synapse
GO Term: Intestinal Epithelial Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Intestinal Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Epigenetic, Vasculature
GO Term: Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Pulmonary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Superior Vena Cava Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Ventral Spinal Cord Interneuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Structural Stabilization
GO Term: Ventral Spinal Cord Interneuron Fate Determination -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Proteostasis
GO Term: Multicellular Organismal-Level Iron Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Nucleoside-Triphosphatase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Atpase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Chondroblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Immune Response
GO Term: Mammary Gland Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Mammary Gland Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Mammary Gland Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Mammary Placode Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Dichotomous Subdivision Of Terminal Units Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Tissue Homeostasis, Cellular Organization, Cell Growth and Proliferation, Epithelial Integrity
GO Term: Lateral Sprouting Involved In Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Lateral Sprouting From An Epithelium -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Branch Elongation Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Mammary Gland Duct Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Tube Closure -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mammary Gland Fat Development -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
