Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Glyceryl-Ether Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Imidazolonepropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Intramolecular Hydroxytransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hyaluronan Synthase Activity -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Glucuronosyl-N-Acetylglucosaminyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycoconjugate Metabolism, Extracellular Matrix Organization, Carbohydrate Metabolism, Cell Surface Interactions, Intracellular Trafficking
GO Term: N-Acetylglucosaminyl-Proteoglycan 4-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: N-Acetylgalactosaminyl-Proteoglycan 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Lactosylceramide 4-Alpha-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Autophagy, Endolysosome, Structural Stabilization
GO Term: Acyloxyacyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Arachidonate Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aspartate-Trna(Asn) Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Glutamate-Trna(Gln) Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Glutaminyl-Trna Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Protein-Glutamine Glutaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: 1,5-Anhydro-D-Fructose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Gdp-L-Fucose Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 4-Hydroxymandelate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Quinine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Methylarsonate Reductase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Delta14-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Delta24-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: Propionyl-Coa C2-Trimethyltridecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acetyl-Coa C-Myristoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: 5-Oxo-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Autophagy
GO Term: 5-Hydroxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: 5(S)-Hydroxyperoxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Testosterone 6-Beta-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Chondroitin Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Dermatan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Chondroitin Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Dermatan Sulfate Proteoglycan Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Rna Transport -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: N-Acetylgalactosamine 4-Sulfate 6-O-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Flavin Adenine Dinucleotide Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nadp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Oxygen As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Hydrogen Peroxide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Autophagy
GO Term: Regulation Of Homocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Homocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Vasculature, Autophagy
GO Term: Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Positive Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Proteostasis
GO Term: Nuclear Androgen Receptor Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Af-2 Domain Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Af-1 Domain Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Regulation Of Mrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Dna Binding Domain Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Lbd Domain Binding -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Galactose 3-O-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Proteoglycan Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
GO Term: Ww Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Card Domain Binding -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Synapse
GO Term: Negative Regulation Of Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Secretion -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Synapse, Autophagy, Vasculature
GO Term: Negative Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Proteostasis, Synapse, Immune Response, Cell Cycle, Apoptosis
GO Term: Rs Domain Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neurogenesis -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Neurogenesis -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Neurogenesis -> Biodomain: Synapse, Cell Cycle, Epigenetic, Immune Response, Autophagy
GO Term: Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Epigenetic, Proteostasis
GO Term: Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Rna Destabilization -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Dopamine Receptor Binding -> Biodomain: Synapse, Neurotransmission, Neuronal Signaling, Proteostasis, Structural Stabilization
GO Term: Cocaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Advanced Glycation End-Product Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Rage Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Detoxification Of Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Developmental Process -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Regulation Of Synapse Structure Or Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gaba Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphoserine Residue Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Tau Homeostasis, Apoptosis
GO Term: Phosphothreonine Residue Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Coagulation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Protein Stabilization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Peptide Antigen Stabilization -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Structural Stabilization
GO Term: Defense Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Defense Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Defense Response To Fungus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cell Adhesion Molecule Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Extracellular Matrix Binding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Progesterone Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Calcium-Mediated Signaling -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Immune Response
GO Term: Positive Regulation Of Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse, Proteostasis
GO Term: Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Synapse, Epigenetic, Apoptosis, Endolysosome
GO Term: T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Regulation of Immune Response, Signal Transduction, Molecular Function, Cell Activation
GO Term: Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Cell Activation -> Biodomain: Immune Response, Vasculature, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Activation -> Biodomain: Immune Response, Synapse, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: White Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Nervous System Process -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Body Fluid Levels -> Biodomain: Vasculature, Immune Response, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Musculoskeletal Movement -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Voluntary Musculoskeletal Movement -> Biodomain: Musculoskeletal System, Neuronal System, Actin Cytoskeleton, Mitochondrial Metabolism, Structural Stabilization
GO Term: Musculoskeletal Movement, Spinal Reflex Action -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Neuromuscular Process Controlling Posture -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Neuromuscular Process Controlling Balance -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Cognition -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Multicellular Organismal-Level Water Homeostasis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Intestinal Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Sensory Processing -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Determination Of Affect -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Cobalt Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Leukocyte Adhesive Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Neuromuscular Process -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Detection Of Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Immune Response
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Light Stimulus Involved In Visual Perception -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Sensory Perception Of Taste -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Signal Transduction, Cell Signaling, Metabolism, Proteostasis
GO Term: Sensory Perception Of Salty Taste -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Sensory Perception Of Sour Taste -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Sensory Perception Of Umami Taste -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Vasculature, Myelination
GO Term: Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Negative Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Induction Of Negative Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature
GO Term: Induction Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Pigment Cell Differentiation -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Pigment Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: Sensory Perception Of Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Sensory Perception Of Light Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Sensory Perception Of Mechanical Stimulus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
