Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Vasculature
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Apoptosis
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Ubiquitin-Protein Ligase Activity, Oxidative Stress, Endolysosome
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Cell Cycle
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Immune Response, DNA Repair, Apoptosis
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Mitochondrial Metabolism, Oxidative Stress
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Oxidative Stress, Apoptosis
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Autophagy, Cell Cycle
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy, Cell Cycle
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Polyamine Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Putrescine Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Cocaine Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Vasculature, Immune Response
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Vasculature
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Cytolysis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Endolysosome
GO Term: Growth Factor Binding -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Vitamin Binding, Small Molecule Binding, Lipid Binding, Metal Binding and Homeostasis
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rrna Binding -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Structural Stabilization
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Vasculature, Proteostasis
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Myelination, Structural Stabilization, Oxidative Stress
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Cell Cycle, Synapse
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Extrinsic Component Of Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Enzyme Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Protein Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Tau Homeostasis
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Epigenetic, Synapse
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Apoptosis, DNA Repair
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Autophagy, Oxidative Stress
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Protein Metabolic Process, Macromolecule Metabolic Process, Autophagy
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Vasculature
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Cytokine Signaling Pathway, Inflammation, Proteostasis, Protein Aggregation
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Cytokine Binding, Endolysosome, Lipid Metabolism
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Growth Factor Binding, Protein Binding, Cell Cycle, Apoptosis
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Epigenetic, Autophagy
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Synapse
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization  
Cell Cycle  
Endolysosome  
Apoptosis  
Lipid Metabolism
GO Term: Neural Fold Bending -> Biodomain: Developmental, Neurogenesis, Cell Morphogenesis, Tissue Morphology, Embryogenesis
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization  
Myelination  
Cell Cycle  
Endolysosome  
Lipid Metabolism
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Vasculature  
Cell Cycle
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Vasculature
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Myelination  
Synapse  
Epigenetic  
Proteostasis  
Cell Cycle
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Epigenetic, Synapse
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Synapse, Proteostasis, Myelination
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Myelination
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair
GO Term: Neural Tube Patterning -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Synapse
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Telencephalon Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Subthalamus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Subpallium Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Sensory, Motor
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Apoptosis  
Cell Cycle
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Pons Development -> Biodomain: Structural Stabilization  
Myelination  
Cell Cycle  
Synapse  
Endolysosome
GO Term: Cerebellum Development -> Biodomain: Myelination
Cell Cycle
Epigenetic
Structural Stabilization
Synapse
GO Term: Central Nervous System Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Nervous System Development, Developmental Process
GO Term: Optic Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Nervous System Development
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Developmental Process, Neural Development, Embryonic Development, Pattern Specification, Structural Stabilization
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Proteostasis
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Vasculature, Structural Stabilization, Myelination, Proteostasis
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization  
Myelination  
Cell Cycle  
Epigenetic  
Synapse
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Synapse, Autophagy
GO Term: Cerebellum Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Endolysosome
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Autophagy
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Apoptosis, Proteostasis
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Autonomic Nervous System, Structural Stabilization, Neurogenesis, Developmental Process
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Olfactory Nerve Maturation -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Optic Nerve Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Cell Cycle
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Cell Cycle
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse  
Structural Stabilization  
Myelination  
Proteostasis  
Autophagy
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization  
Nervous System Development  
Developmental Process  
Synapse  
Myelination
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Autophagy
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization  
Synapse  
Cell Cycle  
Apoptosis  
Autophagy
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Apoptosis
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Proteostasis
GO Term: Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Immune Response
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization  
Synapse  
Cell Cycle  
Myelination  
Vasculature
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Tau Homeostasis
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse  
Structural Stabilization  
Myelination  
Proteostasis  
Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Structural Stabilization, Synapse, Neurogenesis, Developmental Biology, Cellular Differentiation
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Apoptosis, Autophagy
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse  
Myelination  
Structural Stabilization  
Cell Cycle  
Autophagy
GO Term: Developmental Maturation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Proteostasis
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Lipid Metabolism
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Hypoglossal Nucleus Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Cochlear Nucleus Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Epigenetic
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
