Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Unknown, Autophagy, Proteostasis, Epigenetic
GO Term: Maturation Of Lsu-Rrna -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Box C/D Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Cell Cycle, Metal Binding and Homeostasis
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Synapse
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Embryonic Axis Specification -> Biodomain: Morphogenesis, Developmental Signaling, Cell Differentiation, Epigenetic, Cell Cycle
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Meiotic Joint Molecule Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Unknown
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Photoreactive Repair -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Autophagy
GO Term: Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Structural Stabilization
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Lipid Metabolism
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Unknown
GO Term: Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Chromosome, Telomeric Region -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Nuclear Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Nucleosome -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Euchromatin -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, Autophagy, Proteostasis
GO Term: Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Unknown
GO Term: Condensed Chromosome -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Synaptonemal Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Unknown, Epigenetic
GO Term: Condensin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Lateral Element -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Central Element -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Epigenetic
GO Term: Transverse Filament -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Unknown
GO Term: Sex Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: X Chromosome -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Unknown
GO Term: Y Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Unknown, Structural Stabilization
GO Term: Origin Recognition Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Gins Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Swr1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, DNA Repair, Apoptosis
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Immune Response
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Vasculature
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Unknown, Apoptosis
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Septin Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Unknown
GO Term: Gamma-Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Unknown
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: P-Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Garp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Unknown
GO Term: Inner Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Outer Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Autophagy
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Unknown
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Unknown
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Immune Response, Cell Cycle
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Unknown, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle, Unknown
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Unknown, Cell Cycle, Proteostasis
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, Cell Cycle, Immune Response
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, DNA Repair
GO Term: Rna Polymerase I Core Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulatory Region Rna Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Unknown
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Unknown
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Unknown
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Autophagy
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: Proteostasis, Autophagy, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, APP Metabolism
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Unknown, Proteostasis
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Unknown, Unknown, Unknown, Unknown
GO Term: Rna-Templated Transcription -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Autophagy, Unknown
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Unknown
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Protein Synthesis, Transcription Machinery, RNA Metabolism, Nucleic Acid Binding, Epigenetic
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Transcription Coregulator Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Transcription Corepressor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Transcription Coactivator Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Dna-Binding Transcription Repressor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Dna-Binding Transcription Activator Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Sam Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Pam Complex, Tim23 Associated Import Motor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Guanine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, DNA Repair, Apoptosis
GO Term: Skeletal System Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Cartilage Condensation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Ossification -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Neurotransmitter Uptake -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Acetylcholine Catabolic Process In Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Oxidative Stress
GO Term: Rna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Immune Response
GO Term: Dihydronicotinamide Riboside Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Unknown, Apoptosis
GO Term: Selenocysteine Incorporation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Opioid Peptide Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: N-Acetylglucosamine 6-O-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Synapse
GO Term: Voltage-Gated Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Unknown
GO Term: Peptide Amidation -> Biodomain: Proteostasis, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Outer Dense Fiber -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Retinoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Microfibril -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Unknown
GO Term: Lipopolysaccharide Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Interleukin-21 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Cornified Envelope -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Apoptosis, Endolysosome
GO Term: Radial Spoke -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Unknown, Unknown
GO Term: Radial Spoke Head -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Autophagy, Endolysosome
GO Term: Radial Spoke Stalk -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Unknown
GO Term: Dermatan 4-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Endolysosome, Oxidative Stress
GO Term: Amyloid-Beta Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Ovulation From Ovarian Follicle -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Ovarian Follicle Rupture -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
