Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Membranous Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Muscular Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Unknown
GO Term: Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Animal Organ Formation -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Apoptosis, Structural Stabilization
GO Term: Endocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Unknown
GO Term: Endocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Cardiac Conduction System Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Atrioventricular Node Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Unknown
GO Term: Sinoatrial Node Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Purkinje Myocyte Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Bundle Of His Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Atrioventricular Bundle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Muscle Function, Cardiovascular System, Cell Differentiation
GO Term: Purkinje Myocyte Differentiation -> Biodomain: Cardiac Conduction, Cardiac Myocyte, Cardiovascular Development, Regulation of Heart Rate, Calcium Ion Homeostasis
GO Term: Coronary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Heart Valve Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Unknown
GO Term: Atrioventricular Valve Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Sinoatrial Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Unknown
GO Term: Mitral Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Tricuspid Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Aortic Valve Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Pulmonary Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Endolysosome, Unknown
GO Term: Heart Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Aortic Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Atrioventricular Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Coronary Sinus Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Endolysosome, Autophagy
GO Term: Mitral Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Pulmonary Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Sinoatrial Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Tricuspid Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Aortic Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Atrioventricular Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Mitral Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Pulmonary Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Tricuspid Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Unknown
GO Term: Endocardial Cushion Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress, Unknown
GO Term: Cardiac Ventricle Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Cardiac Atrium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cardiac Atrium Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Cardiac Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiac Right Atrium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Cardiac Left Ventricle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Right Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Unknown, Apoptosis
GO Term: Cardiac Left Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Cardiac Right Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Left Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Right Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Ventricular Trabecula Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Right Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Atrial Cardiac Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: Ventricular Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Sinus Venosus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Chamber Ballooning -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Cardiac Muscle Tissue Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Unknown
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Unknown
GO Term: Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Membrane Depolarization -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Structural Stabilization
GO Term: Cardioblast Anterior-Lateral Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Cardioblast Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Unknown
GO Term: Notch Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Proteostasis, Unknown
GO Term: Smoothened Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Endocardial Cushion Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cell Migration Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Endocardial Cushion Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Apoptotic Process Involved In Endocardial Cushion Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle
GO Term: Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cardiac Septum Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Ventricular Septum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Unknown
GO Term: Atrial Septum Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Septum Primum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Septum Secundum Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Unknown
GO Term: Atrial Septum Primum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Atrial Septum Secundum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Atrial Ventricular Junction Remodeling -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Vasculature
GO Term: Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Cell Cycle
GO Term: Type B Pancreatic Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Pancreatic A Cell Differentiation -> Biodomain: Endocrinology, Cell Differentiation, Pancreas Development, Developmental Biology, Regulation of Hormone Levels
GO Term: Pancreatic D Cell Differentiation -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Pancreatic A Cell Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Pancreatic A Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Unknown, Structural Stabilization, Lipid Metabolism
GO Term: Type B Pancreatic Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Pancreatic Pp Cell Fate Commitment -> Biodomain: Unknown, Proteostasis, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Extracellular Matrix Organization, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Keratinocyte Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Corneocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Corneocyte Desquamation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Cell Cycle, Proteostasis
GO Term: Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Endolysosome
GO Term: Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Unknown, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Vasculature
GO Term: Cilium Movement -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Synapse
GO Term: Proepicardium Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Unknown
GO Term: Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Proepicardium Cell Migration Involved In Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Pulmonary Myocardium Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Epithelial Cilium Movement Involved In Extracellular Fluid Movement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cilium Movement -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Immune Response, Structural Stabilization
GO Term: Regulation Of Cilium Beat Frequency -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Noradrenergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Noradrenergic Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Autophagy
GO Term: Noradrenergic Neuron Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Autophagy
GO Term: Brainstem Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Lamellipodium Assembly Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Establishment Of Cell Polarity Involved In Ameboidal Cell Migration -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cell-Matrix Adhesion Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Sphingosine-1-Phosphate Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Vasculature, Autophagy
GO Term: Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis, Vasculature
GO Term: Apical Constriction -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Unknown
GO Term: Regulation Of Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Optic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Retinal Pigment Epithelium Development -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Epigenetic
GO Term: Optic Cup Formation Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Apoptosis
GO Term: Optic Cup Structural Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Unknown
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity Involved In Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Epigenetic, Proteostasis
GO Term: Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Chondrocyte Hypertrophy -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Cell Cycle, Endolysosome
GO Term: Endochondral Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Metal Binding and Homeostasis
GO Term: Growth Plate Cartilage Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Growth Plate Cartilage Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Growth Plate Cartilage Chondrocyte Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Growth Plate Cartilage Chondrocyte Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Growth Plate Cartilage Chondrocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Molecular Function -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nucleic Acid Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Minor Groove Of Adenine-Thymine-Rich Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Bent Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Damaged Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Dna Replication Origin Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Dna Clamp Loader Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Double-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Double-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Left-Handed Z-Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Satellite Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Single-Stranded Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Nuclear Steroid Receptor Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Transcription Elongation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Transcription Coregulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Coactivator Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Transcription Corepressor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Telomerase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Rna Helicase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Double-Stranded Rna Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Double-Stranded Rna Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Proteostasis, Autophagy
GO Term: Single-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Mrna Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Immune Response, Epigenetic, Proteostasis
GO Term: Mrna 3'-Utr Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Structural Constituent Of Ribosome -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Mitochondrial Metabolism, Cell Cycle
GO Term: Translation Initiation Factor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Translation Elongation Factor Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, RNA Spliceosome, Structural Stabilization
GO Term: Translation Release Factor Activity -> Biodomain: Proteostasis, Unknown, Autophagy, Endolysosome, Apoptosis
GO Term: Peptidyl-Prolyl Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Disulfide Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Microtubule Motor Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Actin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Actin Monomer Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Actin Monomer Sequestering Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Endolysosome
GO Term: Lysozyme Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Structural Stabilization, Immune Response, Epigenetic
GO Term: Antigen Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Catalytic Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Alpha-N-Acetylneuraminate Alpha-2,8-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism, Endolysosome
GO Term: Beta-1,4-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Beta-N-Acetylglucosaminylglycopeptide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Endolysosome, Autophagy
GO Term: Beta-Carotene 15,15'-Dioxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Beta-Galactoside Alpha-2,6-Sialyltransferase Activity -> Biodomain: Glycosylation, Lipid Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Beta-Galactoside (Cmp) Alpha-2,3-Sialyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Immune Response
GO Term: Beta-Ureidopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
