Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, APP Metabolism, Endolysosome, Oxidative Stress
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Proteostasis, Immune Response, APP Metabolism, Ubiquitin Proteasome, Endolysosome
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Ubiquitin Proteasome, Autophagy
GO Term: Sumo Transferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Polyamine Binding -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Tau Homeostasis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Putrescine Binding -> Biodomain: Proteostasis, Synapse, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cocaine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Tau Homeostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Cytolysis -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Oxidative Stress, Endolysosome
GO Term: Vitamin Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism, Immune Response
GO Term: Rrna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Iga Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, APP Metabolism
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Apoptosis, Vasculature
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, APP Metabolism, Synapse
GO Term: Protein Kinase Regulator Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Kinesin Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Tau Homeostasis, APP Metabolism
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: APP Metabolism, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Extrinsic Component Of Membrane -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Enzyme Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Synapse, Oxidative Stress
GO Term: Kinase Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Oxidative Stress
GO Term: Protein Kinase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Protein Phosphatase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Protein Domain Specific Binding -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Synapse, Immune Response
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Tau Homeostasis, Epigenetic
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Oxidative Stress, Synapse, Immune Response, Mitochondrial Metabolism
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress, APP Metabolism
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Immune Response, Apoptosis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Inflammation, Proteostasis, Apoptosis, Endolysosome
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Vasculature
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, APP Metabolism
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, APP Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Neural Fold Elevation Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Immune Response
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle, Synapse
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization, Synapse, Immune Response, Tau Homeostasis, Endolysosome
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Tau Homeostasis, Immune Response
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Cell Cycle
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Synapse, Immune Response, Tau Homeostasis, Proteostasis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Cell Cycle
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Immune Response
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Neural Tube Patterning -> Biodomain: Tau Homeostasis, Synapse, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Myelination, Autophagy, Proteostasis, Cell Cycle, Endolysosome
GO Term: Cell Migration In Hindbrain -> Biodomain: Immune Response, Structural Stabilization, Synapse, Myelination, Vasculature
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, APP Metabolism
GO Term: Subthalamus Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Myelination, Autophagy
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Pallium Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Endolysosome
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Rhombomere Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Cell Cycle
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Autophagy, Immune Response
GO Term: Pons Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Endolysosome
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Proteostasis, Structural Stabilization
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Proteostasis
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Nervous System Development, Autonomic Nervous System, Synapse, Structural Stabilization, Immune Response
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Rhombomere 3 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Endolysosome
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Proteostasis, Synapse, Tau Homeostasis
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Myelination
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Ventricular System Development -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Immune Response, Proteostasis
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Synapse
GO Term: Abducens Nerve Formation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Immune Response, Myelination
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Autophagy, Proteostasis
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Tau Homeostasis
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Proteostasis
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Endolysosome, Myelination
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Nervous System Development, Vasculature, Myelination
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Anatomical Structure Morphogenesis, Proteostasis
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Tau Homeostasis
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Immune Response, Autophagy
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Immune Response
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Epigenetic
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Lateral Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Synapse, Tau Homeostasis
GO Term: Nerve Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Synapse, Immune Response
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Nerve Maturation -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Cell Cycle
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Apoptosis, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Developmental Maturation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, CNS Development, Neurogenesis, Neuronal Maintenance
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Tau Homeostasis
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Cell Cycle
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Myelination, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Immune Response, Vasculature
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Cochlear Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Apoptosis, Autophagy
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Striatum Development -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Endolysosome, Immune Response
GO Term: Caudate Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Immune Response
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Immune Response, Tau Homeostasis
