Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Oxidative Stress
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Proteostasis, Synapse
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Cell Cycle
GO Term: Sumo Transferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Epigenetic
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Aspartoacylase Activity -> Biodomain: Myelination, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Polyamine Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Spermidine Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Synapse, Apoptosis
GO Term: Putrescine Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cocaine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Stem Cell Population Maintenance -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Developmental Processes
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Apoptosis
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cytolysis -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Growth Factor Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Vitamin Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Rrna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Immune Response
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, RNA Spliceosome
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Iga Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Epigenetic, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Kinesin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Extrinsic Component Of Membrane -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Enzyme Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Protein Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Protein Domain Specific Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Oxidative Stress
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Apoptosis
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, DNA Repair
GO Term: Sexual Reproduction -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Cytokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Vasculature
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Epigenetic
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cellular Response to Stress, Epigenetic, Cell Cycle, Apoptosis
GO Term: Diacylglycerol Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Symbiont-Containing Vacuole -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Endolysosome, Proteostasis
GO Term: Hemoglobin Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature, Autophagy
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Anatomical Structure Formation, Developmental Process
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Epigenetic, Autophagy
GO Term: Neural Fold Bending -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Endolysosome
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Autophagy
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Cell Cycle
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Epigenetic
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Cell Cycle
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Neurogenesis and Nervous System Development, Glial Cell Differentiation, Epigenetic, Axon Guidance and Synapse
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Endolysosome
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Epigenetic
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Endolysosome
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Rhombomere Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Pons Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Optic Nerve Development -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Myelination, Cell Cycle
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Cell Cycle
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Developmental Process, Epigenetic
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Cell Cycle, Autophagy
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 6 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Hindbrain Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Endolysosome
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Cerebellum Structural Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Cell Cycle
GO Term: Ventricular System Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Immune Response, Vasculature
GO Term: Fourth Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Abducens Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Developmental Process, Cell Cycle
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Endolysosome
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Optic Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Nervous System Development, Cell Adhesion
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Synapse, Nervous System Development, Structural Stabilization, Epigenetic, Cell Cycle
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Endolysosome
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, DNA Repair
GO Term: Lateral Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Epigenetic
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Developmental Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, CNS Development, Structural Stabilization, Neuronal Signaling, Epigenetic
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Epigenetic
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Epigenetic
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
