Running with TEMP=0.9, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Microtubule-Based Transport -> Biodomain: Tau Homeostasis, Synapse, Autophagy, Cell Cycle, Endolysosome
GO Term: Chromosome, Subtelomeric Region -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Trna 5'-End Processing -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Rna Polymerase Ii C-Terminal Domain Binding -> Biodomain: Transcription, Transcription Regulation, Epigenetic, DNA Repair, Cell Cycle
GO Term: Somato-Dendritic Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrial [2Fe-2S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Estrogen Binding -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Presynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, APP Metabolism
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Serotonergic Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Regulation Of Recycling Endosome Localization Within Postsynapse -> Biodomain: Synapse, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Presynaptic Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Synaptic Signaling By Nitric Oxide -> Biodomain: Synapse, Oxidative Stress, Vasculature, Proteostasis, Tau Homeostasis
GO Term: Postsynaptic Specialization Membrane Of Symmetric Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Postsynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Presynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Presynapse Organization -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Tau Homeostasis
GO Term: Postsynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Presynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Postsynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Retrograde Trans-Synaptic Signaling By Endocanabinoid -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Synaptic Membrane Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Zinc Ion Import Into Synaptic Vesicle -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Structural Constituent Of Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Structural Constituent Of Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Intermediate Filament Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Structural Constituent Of Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Presynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Postsynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Postsynaptic Spectrin-Associated Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Trans-Synaptic Signaling By Bdnf -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Cerebellar Golgi Cell To Granule Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Extrinsic Component Of Synaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Caveola Neck -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Vesicle Fusion To Plasma Membrane -> Biodomain: Synapse, Proteostasis, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Secretory Vesicle -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Supramolecular Fiber -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, APP Metabolism, Synapse
GO Term: Polymeric Cytoskeletal Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Vesicle Cytoskeletal Trafficking -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dense Core Granule Cytoskeletal Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Presynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Postsynaptic Cytosol -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: G Protein-Coupled Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Synaptic Vesicle Endosomal Processing -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Presynaptic Cytosolic Calcium Concentration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Calcium Ion Binding Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Synaptic Signaling -> Biodomain: Synapse, Neuronal Signaling, Structural Stabilization, Synaptic Plasticity, Neurotransmission
GO Term: Trans-Synaptic Signaling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Synaptic Signaling Via Neuropeptide -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Perisynaptic Space -> Biodomain: Synapse, Structural Stabilization, Vasculature, Endolysosome, Proteostasis
GO Term: Trans-Synaptic Signaling By Trans-Synaptic Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Trans-Synaptic Signaling, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Trans-Synaptic Signaling By Trans-Synaptic Complex, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Maintenance Of Synapse Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synaptic Membrane Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Maintenance Of Postsynaptic Density Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Modification Of Synaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Chemical Synaptic Transmission, Postsynaptic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Calcium Ion Binding Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Glutamatergic Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Protein Catabolic Process At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Protein Catabolic Process At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Tau Homeostasis
GO Term: Regulation Of Translation At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Translation At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Serotonin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Epigenetic
GO Term: Regulation Of Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Neurotransmitter Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Ligand-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Action Potential Firing Rate -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Microtubule Plus-End Directed Mitotic Chromosome Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Action Potential Firing Pattern -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Microtubule Lateral Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Synapse
GO Term: Action Potential Initiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Action Potential Firing Threshold -> Biodomain: Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Myelination, Structural Stabilization
GO Term: Protein Localization To Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Matrix Side Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Specialization Of Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Postsynaptic Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Postsynaptic Specialization Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Neurotransmitter Receptor Transport, Endosome To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Anterograde Axonal Protein Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Retrograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Cell Cortex Region -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Regulation Of Skeletal Muscle Contraction By Action Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Ficolin-1-Rich Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Cytolytic Granule Membrane -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Protein Histidine Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Nucleolar Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Estrogen 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Estrogen 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, DNA Repair
GO Term: Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Protein Folding Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Acyl-L-Homoserine-Lactone Lactonohydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Proline Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Nadh-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Beta,Beta-Carotene-9',10'-Cleaving Oxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Homocarnosine Synthase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Heparan Sulfate N-Deacetylase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Dermatan 2-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Farnesylcysteine Lyase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Very-Long-Chain (3R)-3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase (Nad+)/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Protein-Ribulosamine 3-Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Protein-Fructosamine 3-Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Cortisol Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Trna-Dihydrouridine16 Synthase Activity -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, RNA Spliceosome
GO Term: Trna-Dihydrouridine17 Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Trna-Dihydrouridine20 Synthase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna-Dihydrouridine47 Synthase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Trna-Dihydrouridine20A Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Trna-Dihydrouridine20B Synthase Activity -> Biodomain: Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: 1,8-Cineole 2-Exo-Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: 11-Cis-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Polyprenol Reductase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Mycophenolic Acid Acyl-Glucuronide Esterase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Decanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trna-4-Demethylwyosine Synthase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Trna 4-Demethylwyosine Alpha-Amino-Alpha-Carboxypropyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Trna(Phe) (7-(3-Amino-3-Carboxypropyl)Wyosine37-C2)-Hydroxylase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Peptide Chain Release Factor N(5)-Glutamine Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: [Protein]-3-O-(N-Acetyl-D-Glucosaminyl)-L-Serine/L-Threonine O-N-Acetyl-Alpha-D-Glucosaminase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-Man:Man(2)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Nadph Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Very-Long-Chain Enoyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Sphingolipid C4-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Alcohol-Forming Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 16-Hydroxypalmitate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Trna-Uridine 2-Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, RNA Spliceosome
GO Term: Itpase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Fructose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Leukotriene C4 Gamma-Glutamyl Transferase Activity -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 17-Hydroxyprogesterone 21-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism
GO Term: Intestinal Hexose Absorption -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Mcrd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Amyloid-Beta Complex -> Biodomain: APP Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Trna (Guanine-N7)-Methylation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Rna 5'-Cap (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cytoskeletal Protein-Membrane Anchor Activity -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Vasculature
GO Term: 2-Oxoglutaramate Amidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: (4S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Positive Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol-3,5-Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Positive Regulation Of Vesicle Docking -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Gly-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Neuron Projection Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Neuron Projection Retraction -> Biodomain: Synapse, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Trna Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Neuron Projection Fasciculation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Myelination
GO Term: Regulation Of Gaba-A Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Guanine Deglycation -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Epigenetic
