Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Maturation Of Ssu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization
GO Term: Maturation Of Lsu-Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Maturation Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Exonucleolytic Trimming To Generate Mature 3'-End Of 5.8S Rrna From Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Box C/D Snornp Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Autophagy
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, DNA Repair
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Embryonic Axis Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Meiotic Joint Molecule Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Photoreactive Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Telomere Maintenance Via Recombination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Telomere Maintenance -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Chromosome, Telomeric Region -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nuclear Telomere Cap Complex -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Chromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Nucleosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Euchromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Condensed Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Synaptonemal Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Condensin Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Lateral Element -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Central Element -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Transverse Filament -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis, Synapse
GO Term: Sex Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: X Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Y Chromosome -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Origin Recognition Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Gins Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Swr1 Complex -> Biodomain: Epigenetic, Chromatin Organization, ATP-dependent Chromatin Remodeling, Histone Variant, Nucleosome Assembly
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Oxidative Stress, Apoptosis
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Epigenetic, DNA Repair, Cell Cycle
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, DNA Repair, Apoptosis, Autophagy, Endolysosome
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Cell Morphogenesis -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Synapse, Proteostasis
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Septin Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Gamma-Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: P-Body -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Epigenetic
GO Term: Garp Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Inner Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Outer Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, DNA Repair
GO Term: Rna Polymerase I Core Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Regulatory Region Rna Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, RNA Spliceosome
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: Proteostasis, DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Rna-Templated Transcription -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, DNA Repair
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Proteostasis
GO Term: Transcription Coregulator Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, DNA Repair
GO Term: Transcription Corepressor Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Transcription Coactivator Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna-Binding Transcription Repressor Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Dna-Binding Transcription Activator Activity, Rna Polymerase Ii-Specific -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Sam Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Pam Complex, Tim23 Associated Import Motor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Guanine Nucleotide Transmembrane Transporter Activity -> Biodomain: Membrane Transport, Signal Transduction, Nucleotide Metabolism, Membrane Biology, Cellular Energetics
GO Term: Skeletal System Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Cartilage Condensation -> Biodomain: Structural Stabilization, Skeletal System, Developmental Biology, Cell Adhesion, Morphogenesis
GO Term: Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Epigenetic
GO Term: Neurotransmitter Uptake -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Acetylcholine Catabolic Process In Synaptic Cleft -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Action Potential -> Biodomain: Synapse, Myelination, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Rna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Dihydronicotinamide Riboside Quinone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Selenocysteine Incorporation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Opioid Peptide Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Prostaglandin Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: N-Acetylglucosamine 6-O-Sulfotransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Vasculature, Immune Response
GO Term: Voltage-Gated Sodium Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptide Amidation -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Outer Dense Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Pseudouridine Synthesis -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Retinoid Metabolic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Epigenetic, Synapse
GO Term: Angiogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Microfibril -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Lipopolysaccharide Binding -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Interleukin-21 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Cornified Envelope -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
