Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Epigenetic, Metal Binding and Homeostasis
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Translation Activator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Endolysosome, Autophagy
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Synapse
GO Term: Ammonium Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Immune Response
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, APP Metabolism, Autophagy
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Epigenetic
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Endolysosome
GO Term: Visual Learning -> Biodomain: Synapse, Cognition, Learning or Memory, Nervous System Process, Behavior
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Jun Kinase Kinase Activity -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Vasculature
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Developmental, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Male Gonad Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Female Gonad Development -> Biodomain: Reproductive Process, Developmental Process, Sex Differentiation, Multicellular Organismal Process, Anatomical Structure Development
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Autophagy, Structural Stabilization
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diuretic Hormone Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Guanosine Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Cell Cycle
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Synapse, Cell Cycle
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Synapse, Proteostasis, Endolysosome, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Synapse, Cell Cycle
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Carbohydrate Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hexose Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methionine Synthase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: 4-Phytase Activity -> Biodomain: Synapse, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Agmatinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Arginine Decarboxylase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Apoptosis
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome, Epigenetic
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Choline Dehydrogenase Activity -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Datp Diphosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Apoptosis, Epigenetic
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Exoribonuclease Ii Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Glutamate Racemase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphopentomutase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Synapse, Structural Stabilization, Autophagy
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Synapse, Cell Cycle, RNA Spliceosome
GO Term: Ribonuclease E Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Synapse, Autophagy, Cell Cycle
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Proteostasis, Cell Cycle, DNA Repair
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Thymidine Phosphorylase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Synapse, Oxidative Stress
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Cell Cycle
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Synapse
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Synapse, Epigenetic
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Lipid Metabolism
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Amino Acid Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism, Synapse
GO Term: L-Methionine Catabolic Process -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Epigenetic
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Xanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Nucleoside Metabolic Process -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Nucleotide Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Oxidative Stress, Autophagy
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
