Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Brown Fat Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: White Fat Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Negative Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Epigenetic, Immune Response
GO Term: Positive Regulation Of White Fat Cell Proliferation -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Actin Polymerization-Dependent Cell Motility -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Hepatocyte Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Hepatocyte Differentiation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Hepatocyte Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Beta-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Cellular Heat Acclimation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Positive Regulation Of Erk1 And Erk2 Cascade -> Biodomain: Signal Transduction, Cell Cycle, Oxidative Stress, Immune Response, Epigenetic
GO Term: Erk5 Cascade -> Biodomain: Cell Cycle, Oxidative Stress, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Erk5 Cascade -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Erk5 Cascade -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Endosome To Plasma Membrane Transport Vesicle -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Vasculature
GO Term: Exocytic Vesicle -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Dna Cytosine Deamination -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Harderian Gland Development -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Transcription Export Complex 2 -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Detection Of Lipoteichoic Acid -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Nadp+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nadph Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nad+ Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Nadh Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidation-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Carbamoyl Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Co-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: I-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: R-Smad Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Cellular Response To Cold -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Dna-Dependent Protein Kinase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Nonhomologous End Joining Complex -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Dna Ligase Iii-Xrcc1 Complex -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 1 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Nucleotide-Binding Oligomerization Domain Containing 2 Signaling Pathway -> Biodomain: Immune Response, Signal Transduction, Inflammatory Response, Apoptosis, Intracellular Trafficking
GO Term: Shc-Egfr Complex -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Cellular Response to Stimuli, Apoptosis, Structural Stabilization
GO Term: Grb2-Egfr Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Integrin Alphaiib-Beta3 Complex -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Mad-Max Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Negative Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Positive Regulation Of Oligodendrocyte Progenitor Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Immune Response
GO Term: Elongin Complex -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Heme Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Cellular Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Prolactin Secretion -> Biodomain: Exocytosis, Cell Signaling, Cell Communication, Synapse, Endocrine Processes
GO Term: Thyroid-Stimulating Hormone Secretion -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Saga-Type Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Plus-End Specific Microtubule Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Tubulin-Dependent Atpase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Uterine Smooth Muscle Contraction -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Rrna Base Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Rrna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Nuclear-Transcribed Mrna Catabolic Process, 3'-5' Exonucleolytic Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Autophagy, Epigenetic
GO Term: Nuclear-Transcribed Mrna Catabolic Process, Non-Stop Decay -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Response To Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Detection Of Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Leukocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Monocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome
GO Term: Neutrophil Aggregation -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Structural Stabilization
GO Term: T Cell Aggregation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Oligosaccharide Binding -> Biodomain: Carbohydrate Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Thrombin-Activated Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: High-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Regulation Of Microtubule Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Cholesterol Import -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Vasculature, Autophagy
GO Term: Calcium Ion Import -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Death Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Cak-Ercc2 Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Ercc4-Ercc1 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 11-Beta-Hydroxysteroid Dehydrogenase (Nadp+) Activity -> Biodomain: Steroid Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metabolic Pathways
GO Term: Trna Threonylcarbamoyladenosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Protein Kinase C Signaling -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Synapse, Epigenetic
GO Term: K63-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Apoptosis
GO Term: Brca1-A Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Brca1-B Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Brca1-C Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Immune Response, Autophagy
GO Term: Protein K63-Linked Deubiquitination -> Biodomain: Proteostasis, DNA Repair, Immune Response, Autophagy, Apoptosis
GO Term: Oleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Linoleic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Platinum Ion -> Biodomain: Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Linoleic Acid -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Pebow Complex -> Biodomain: Cell Cycle, Proteostasis, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Endoribonuclease Activity, Cleaving Sirna-Paired Mrna -> Biodomain: Epigenetic, Immune Response, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Brisc Complex -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Protein Complex Assembly, Immune Response, Cell Cycle
GO Term: Nicotinic Acid Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Immune Response
GO Term: Synaptobrevin 2-Snap-25-Syntaxin-3-Complexin Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Interleukin-1 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Pcna-P21 Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Protein Secretion By Platelet -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Vitamin D Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Vitamin D Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, DNA Repair, Metal Binding and Homeostasis
GO Term: Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Uridylyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, DNA Repair
GO Term: Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neuron Projection Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Metallodipeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Cadmium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vitamin D 24-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Risc-Loading Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response
GO Term: Dna 5-Methylcytosine Dioxygenase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Protein Localization To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cell-Cell Adhesion Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Calcium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Dendrite Self-Avoidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Centromeric Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Histone H3R2 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H2Ar3 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Grb2-Sos Complex -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Udp-N-Acetylglucosamine-Lysosomal-Enzyme N-Acetylglucosaminephosphotransferase Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Zymogen Granule Exocytosis -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: (S)-2-(5-Amino-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamido) Succinate Lyase (Fumarate-Forming) Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Proteasome Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Protein Degradation, Endolysosome
GO Term: Transepithelial Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Transepithelial Ammonium Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Vitamin D3 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Vitamin D Response Element Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Protein Modification By Small Protein Removal -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Formin-Nucleated Actin Cable Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Endolysosome
GO Term: Nonfunctional Rrna Decay -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, RNA Spliceosome
GO Term: Haus Complex -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: High-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Immune Response, Metal Binding and Homeostasis
GO Term: Sensory Epithelium Regeneration -> Biodomain: Structural Stabilization, Autophagy, Cell Cycle, Proteostasis, Immune Response
GO Term: Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Mast Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Leukocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Mast Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Interleukin-2 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Response To Interleukin-4 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Synapse, Epigenetic
GO Term: Response To Interleukin-15 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Response To Interleukin-18 -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cellular Response to Cytokine Stimulus, Innate Immune Response
GO Term: Hypoxanthine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Hypoxanthine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Inositol 1,4,5 Trisphosphate Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Synapse, Vasculature
GO Term: Glutaminyl-Trnagln Biosynthesis Via Transamidation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Proteasome Regulatory Particle Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Seminal Clot Liquefaction -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Macropinocytic Cup -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Structural Stabilization
GO Term: P-Tefb Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: 5-Hydroxymethyl-Dump N-Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Autophagy
GO Term: Fhf Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Type I Activin Receptor Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Type Ii Activin Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Bmp Receptor Binding -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Vasculature, Epigenetic
GO Term: Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Inner Mucus Layer -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Outer Mucus Layer -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Oxidative Stress
GO Term: Sodium-Dependent Organic Cation Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Mismatch Repair Involved In Maintenance Of Fidelity Involved In Dna-Dependent Dna Replication -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Isgf3 Complex -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Cholesterol -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Bmp Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: L-Leucine Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cyclic Nucleotide Transport -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Camp Transport -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Cgmp Transport -> Biodomain: Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Ampylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Protein-Glycine Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Protein-Glycine Ligase Activity, Initiating -> Biodomain: Proteostasis, Amino Acid Metabolism, Protein Modification, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Protein-Glutamic Acid Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Tubulin-Glutamic Acid Ligase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Response To Interleukin-6 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: C2H2 Zinc Finger Domain Binding -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Interleukin-23 Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-35 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
