Running with TEMP=0.9, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Microtubule-Dependent Intracellular Transport Of Viral Material Towards Nucleus -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Ires-Dependent Viral Translational Initiation -> Biodomain: Proteostasis, Immune Response, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Viral Translational Frameshifting -> Biodomain: Viral Processes, Proteostasis, RNA Spliceosome, Immune Response, Epigenetic
GO Term: Viral Translational Termination-Reinitiation -> Biodomain: Proteostasis, RNA Spliceosome, Immune Response, Autophagy, Apoptosis
GO Term: Transport Of Viral Material Towards Nucleus -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Establishment Of Integrated Proviral Latency -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, RNA Spliceosome
GO Term: Viral Penetration Into Host Nucleus -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Intracellular Transport Of Virus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: S-Nitrosoglutathione Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cul4-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Autophagy, Epigenetic
GO Term: Alcohol-Forming Very Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-3,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Gdp-D-Glucose Phosphorylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cellobiose Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Primary Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Caax-Box Protein Maturation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Epigenetic
GO Term: Amp Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Amp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Proteasome Core Complex Assembly -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Cellular Response To Stress -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intracellular Amino Acid Homeostasis -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: L-Cysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Fertilization -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Hydrogen Peroxide Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Phenylpropanoid -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Entry Into Host Cell By A Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Protein K6-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Cardiac Muscle Cell Action Potential Involved In Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Cardiac Muscle Cell Contraction -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Calcium Homeostasis, Signal Transduction, Mitochondrial Metabolism, Ion Channel Activity, Proteostasis
GO Term: Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Voltage-Gated Calcium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Electrical Excitability, Ion Homeostasis, Membrane Transport, Cardiac Function, Channels and Transporters
GO Term: Membrane Repolarization -> Biodomain: Ion Channel, Synapse, Neuronal Signaling, Cardiac Function, Cell Membrane Properties
GO Term: Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Membrane Repolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Synapse
GO Term: Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Vasculature
GO Term: Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Cardiac, Ion Homeostasis, Electrophysiology, Signaling, Cardiovascular
GO Term: Sa Node Cell Action Potential -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Av Node Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Signaling -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gap Junction Channel Activity Involved In Sa Node Cell-Atrial Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Av Node Cell To Bundle Of His Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Signaling -> Biodomain: Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Calcium:Sodium Antiporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Depolarization -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Vasculature
GO Term: Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Membrane Depolarization During Sa Node Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Membrane Depolarization During Purkinje Myocyte Cell Action Potential -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Membrane Depolarization During Bundle Of His Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Membrane Repolarization During Bundle Of His Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Membrane Repolarization During Sa Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Av Node Cell To Bundle Of His Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Voltage-Gated Calcium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Voltage-Gated Calcium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Calcium Channel Activity Involved Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Voltage-Gated Sodium Channel Activity Involved In Purkinje Myocyte Action Potential -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Synapse, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Sa Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Cell Communication Involved In Cardiac Conduction -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Immune Response
GO Term: Av Node Cell To Bundle Of His Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Av Node Cell-Bundle Of His Cell Adhesion Involved In Cell Communication -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Bundle Of His Cell-Purkinje Myocyte Adhesion Involved In Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Gap Junction Channel Activity Involved In Cardiac Conduction Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Gap Junction Channel Activity Involved In Atrial Cardiac Muscle Cell-Av Node Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Gap Junction Channel Activity Involved In Av Node Cell-Bundle Of His Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gap Junction Channel Activity Involved In Bundle Of His Cell-Purkinje Myocyte Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Gap Junction Channel Activity Involved In Purkinje Myocyte-Ventricular Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Protein Binding Involved In Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Cell Adhesive Protein Binding Involved In Av Node Cell-Bundle Of His Cell Communication -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Cell Adhesive Protein Binding Involved In Bundle Of His Cell-Purkinje Myocyte Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Voltage-Gated Potassium Channel Activity Involved In Bundle Of His Cell Action Potential Repolarization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity Involved In Atrial Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Repolarization -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Heart Rate By Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of The Force Of Heart Contraction By Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Phospholipase C-Activating Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Angiotensin-Activated Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Endothelin Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Immune Response
GO Term: G Protein-Coupled Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: U2Af Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: L-Histidine Transmembrane Export From Vacuole -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: L-Histidine Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Trna (L-Threonylcarbamoyladenosine(37)-C2) Methyltransferase Activity -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Amino Acid Import Across Plasma Membrane -> Biodomain: Nutrient Uptake, Protein Synthesis Regulation, Plasma Membrane Transport, Amino Acid Metabolism, Cellular Metabolism
GO Term: Caspase Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Primitive Streak Formation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Inflammation, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Tubulin Deacetylation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: Regulation Of Thalamus Size -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Positive Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Relaxation Of Muscle -> Biodomain: Structural Stabilization, Vasculature, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Relaxation Of Skeletal Muscle -> Biodomain: Muscle System, Ion Homeostasis, Energy Metabolism, Calcium Signaling, Structural Stabilization
GO Term: Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of Mapkkk Cascade By Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Epigenetic
GO Term: Negative Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Ubiquitin Proteasome, Endolysosome
GO Term: Negative Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Signaling, Transcriptional Regulation, Cell Cycle, Proteostasis, Cellular Response
GO Term: Positive Regulation Of Extracellular Matrix Disassembly -> Biodomain: Extracellular Matrix Organization, Proteostasis, Structural Stabilization, Cell Adhesion, Apoptosis
GO Term: Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Immune Response
GO Term: Metanephric Cap Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Vasculature
GO Term: Positive Regulation Of Metanephric Cap Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Autophagy
GO Term: Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Signal Transduction, Kinase Signaling, Cell Growth and Proliferation, Cell Differentiation, Developmental Processes
GO Term: Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Cochlea Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Autophagy
GO Term: Cochlea Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Synapse
GO Term: Pancreatic Epsilon Cell Differentiation -> Biodomain: Endocrine, Stem Cell, Development, Cell Differentiation, Tissue Morphogenesis
GO Term: Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Copii-Coated Vesicle Cargo Loading -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Copii-Coated Vesicle Budding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endosome To Lysosome Transport Of Low-Density Lipoprotein Particle -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Vasculature
GO Term: Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Vesicle-Mediated Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cholesterol Ester Hydrolysis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein-Containing Complex Assembly Involved In Synapse Maturation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Autophagy
GO Term: Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mesenchyme Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Epithelium Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Mesendoderm Migration -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Cell Migration Involved In Mesendoderm Migration -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Proteostasis, Cell Cycle
GO Term: Actin Filament Branching -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Epithelial Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Actin Cytoskeleton Organization By Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Membrane Fission -> Biodomain: Autophagy, Endolysosome, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Mitochondrial Membrane Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Establishment Of Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane Involved In Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Sphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
