Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Neuroinflammation, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Multiple Spine Synapse Organization, Single Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Amyloid-Beta Clearance By Transcytosis -> Biodomain: Vasculature, Proteostasis, Endolysosome, APP Metabolism, Synapse
GO Term: Amyloid-Beta Clearance By Cellular Catabolic Process -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Immune Response, Autophagy
GO Term: Glial Cell-Neuron Signaling -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Neuron-Glial Cell Signaling -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Regulation Of Microtubule Anchoring At Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Monocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Reactive Gliosis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Vasculature
GO Term: Regulation Of Transepithelial Transport -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Regulation Of Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Inflammation, Cell Signaling, Gene Expression, Cellular Stress Response
GO Term: Negative Regulation Of Interleukin-37 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cell-Cell Junction Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-34 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-32 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Extrasynaptic Signaling Via Gaba -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Poly-Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Fc Receptor-Mediated Immune Complex Endocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glutathione Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Decrotonylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Protein De-2-Hydroxyisobutyrylase Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Nad-Dependent Protein Decrotonylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Nad-Dependent Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
GO Term: Ccacca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Maternal-To-Zygotic Transition Of Gene Expression -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Sneeze Reflex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Leydig Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Sensory Perception Of Itch -> Biodomain: Immune Response, Synapse, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Somatic Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Mitocytosis -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Neuropeptide Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Purine Nucleotide Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Synapse, Lipid Metabolism
GO Term: Sulfate:Chloride Antiporter Activity -> Biodomain: Endolysosome, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Tmem240-Body -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Muramyl Dipeptide Kinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Microfibril Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix Organization, Connective Tissue Disorders
GO Term: Macropinosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multi-Pass Transmembrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Multi-Pass Translocon Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Surfactant Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Ubiquitin Ligase Complex Scaffold Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Molecular Scaffolding, Autophagy
GO Term: Non-Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Negative Regulation Of Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: G Protein-Coupled Glycine Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Iodide Channel Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Immune Response, Endolysosome
GO Term: Hypoxia-Inducible Factor-Proline Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Spermatid Cytoplasm Removal During Spermiation Of Flagellated Sperm -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Internal N(7)-Methylguanine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Internal Mrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Spliceosome-Depend Formation Of Circular Rna -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Chordate Pharynx Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Trna (Guanine(10)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna (Guanine(26)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Trna (Adenine(9)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, RNA Spliceosome
GO Term: Trna (Adenine(58)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Axonemal Microtubule Doublet Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Axonemal A Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Axonemal B Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Trna (Guanine(6)-N2)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna (Guanine(7)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Bis(Monoacylglycero)Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Structural Constituent Of Nuclear Lamina -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Ph-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Protein-Rna Covalent Cross-Linking Repair -> Biodomain: Proteostasis, RNA Spliceosome, DNA Repair, Apoptosis, Autophagy
GO Term: Ph-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Proteostasis, Immune Response
GO Term: Protein-Dna Covalent Cross-Linking Activity -> Biodomain: DNA Repair, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Apoptosis
GO Term: Mrna Cap Methyltransferase Rnmt:Ramac Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Sperm Migration Through The Uterotubal Junction -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Bicarbonate Channel Activity -> Biodomain: Vasculature, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Protein-Rna Sequence-Specific Adaptor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Phospholipase C-Activating Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Gdf15-Gfral Signaling Pathway -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Gdf15-Gfral Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Trna Pseudouridine(38-40) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Trna Pseudouridine(55) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna Pseudouridine(13) Synthase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Structural Stabilization
GO Term: Trna Pseudouridine(38/39) Synthase Activity -> Biodomain: RNA Processing, RNA Binding, Protein Synthesis, Metal Binding and Homeostasis, Proteostasis
GO Term: Branched-Chain Alpha-Ketoacid Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Cd27 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: S-Nitrosoglutathione Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Chromatin Looping -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: 2-Oxoadipate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Oxoadipate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Magnesium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Dipeptide Uniporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Intestinal Iron Absorption -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Paracellular Transport -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Endolysosome
GO Term: Phospholipase C Activator Activity -> Biodomain: Lipid Metabolism, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Paracellular Tight Junction Channel Activity -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Autophagosome-Dependent Secretion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Vesicle Trafficking, Cellular Component Organization
GO Term: L-Lactate Dehydrogenase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Stereocilium Bundle Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response
GO Term: Polyprenol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Dolichal Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Polyprenal Reductase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Mitochondrial Disulfide Relay System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrion-Mitochondrion Outer Membrane Tether Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Glycine-Gated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Beta-Arrestin-Dependent Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum-Plasma Membrane Adaptor Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Deacylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
GO Term: Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, Transcriptional Regulation, DNA Repair, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Metabolic Process, Regulation of Metabolic Process, Carbohydrate Metabolism, Metabolite Synthesis
GO Term: Rho-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Synapse
GO Term: 3-Demethoxyubiquinone 3-Hydroxylase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: G-Quadruplex Unwinding Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Oligosaccharyltransferase Complex A -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Oligosaccharyltransferase Complex B -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Bile Acid-Gated Sodium Channel Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: U6 Snrna (Guanine-N(2))-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Intac Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Integrator Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Trna 5-Taurinomethyluridine Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Transcription Pausing By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Rna Polymerase Ii Transcription Initiation Surveillance -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Nadph-Iron-Sulfur [2Fe-2S] Protein Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Trna (Guanine(27)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Complement Activation, Gzmk Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Stalled Ribosome Sensor Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ankyrin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Ska Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: L-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Proteinogenic Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Virus-Like Capsid -> Biodomain: Structural Stabilization, Synapse, Proteostasis, RNA Spliceosome, Immune Response
GO Term: Rna Ligase (Gtp) Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Lysosome Fission -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Histone Methyltransferase Inhibitor Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Autophagy, Apoptosis
GO Term: S-Adenosyl-L-Methionine:S-Adenosyl-L-Homocysteine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S2 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Phosphatase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S7 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Broad Specificity Neutral L-Amino Acid:Basic L-Amino Acid Antiporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Co-Transcriptional Mrna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Cytosolic Mrna Polyadenylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Co-Transcriptional Rna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Nucleoside Import Across Plasma Membrane -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: K11-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Knl1/Spc105 Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Membrane Bending Activity -> Biodomain: Endolysosome, Autophagy, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: U6 Snrna 2'-O-Ribose Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Rqc-Trigger Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair
GO Term: Mitochondrial Small Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Inositol Phosphate Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Endolysosome, Autophagy, Apoptosis
GO Term: Co-Transcriptional Lncrna 3' End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Lncrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Dol-P-Man:Glcn-Acyl-Pi Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Glycosylphosphatidylinositol (GPI) Anchor Biosynthesis, Glycosylation, Glycolipid Metabolism, Secretory Pathway, Protein Anchoring to Membrane
GO Term: Gpi Anchored Protein Biosynthesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Dolichol Phosphate Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Protein Kinase C Activity -> Biodomain: Signal Transduction, Cell Signaling, Cell Growth and Survival, Immune Response, Synapse
GO Term: Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Apoptosis, Vasculature
