Running with TEMP=0.9, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Hydroxypyruvate Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycogenin Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: [Heparan Sulfate]-Glucosamine 3-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Synapse, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Amino Acid Metabolism, Flavin Metabolism, One-Carbon Metabolism
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sulfite Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Myelination, Metal Binding and Homeostasis, Autophagy
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Epigenetic, DNA Repair
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, Translation, RNA Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Myelination
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Vasculature, Endolysosome, Autophagy
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Inorganic Molecular Entity Transmembrane Transporter Activity, Mitochondrial Metabolism, Vasculature
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Immune Response
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Structural Stabilization
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Visual Learning -> Biodomain: Synapse, Cognition, Behavior, Learning, Nervous System Process
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Cell Cycle
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Tau Homeostasis, Autophagy
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Proteostasis
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Autophagy
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Endolysosome  
Autophagy
GO Term: Male Gonad Development -> Biodomain: Reproductive Process, Developmental Process, Sex Differentiation, Anatomical Structure Development, Multicellular Organism Development
GO Term: Female Gonad Development -> Biodomain: Reproductive Process, Sex Differentiation, Anatomical Structure Development, Multicellular Organism Development, Developmental Process
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Response to Stimulus, Oxidative Stress, Signal Transduction, Cellular Process
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Synapse, Immune Response, Cell Cycle, Proteostasis, Vasculature
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Lipid Metabolism, Autophagy
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Immune Response, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Receptor Signaling, Endocrine System, Metabolism, Proteostasis
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, DNA Repair
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Autophagy
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Rrna Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Methionine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: 4-Phytase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Immune Response, Proteostasis
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Epigenetic
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Agmatinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Arginine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Tau Homeostasis, Autophagy
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Choline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Datp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Dgtpase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glutamate Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, APP Metabolism, Metal Binding and Homeostasis
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Mitochondrial Metabolism  
Endolysosome  
Metal Binding and Homeostasis  
Oxidative Stress  
Autophagy
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Nitrate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis, Cell Cycle
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Autophagy, Endolysosome
GO Term: Phosphopentomutase Activity -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ribonuclease E Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Selenocysteine Lyase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Thymidine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Immune Response, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Heterochromatin Formation, Negative Regulation of Gene Expression, Chromatin Organization, DNA Repair
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Cell Cycle, DNA Repair
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
