Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glutamine Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Mirna Metabolic Process -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Cell Cycle, Autophagy
GO Term: Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Epigenetic
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Angiogenesis, Cytoskeleton, Signal Transduction, Cell Adhesion
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Proteostasis, Synapse, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, RNA Spliceosome, Immune Response, Autophagy, Proteostasis
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Developmental Processes, Autophagy, Proteostasis
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, Immune Response, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Immune Response, Cell Cycle
GO Term: Epithelial Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Endolysosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Apoptosis
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Ectodermal Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Synapse, Myelination, RNA Spliceosome
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Acetyltransferase Activator Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Protein Kinase A Signaling -> Biodomain: Signal Transduction, Transcription, Cell Signaling, Metabolism, Molecular Regulation
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Proteostasis, Synapse, Autophagy, Tau Homeostasis, Immune Response
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Cell Cycle
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Apoptosis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Cell Response, Inflammatory Response, Cell Motility, Signaling
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Vasculature, Synapse, APP Metabolism, Epigenetic, Lipid Metabolism
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Apoptosis
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Immune Response, Vasculature
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, APP Metabolism
GO Term: Substance P Catabolic Process -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Calcitonin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Hormone Levels -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature, Autophagy
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Signal Transduction, Neurotransmission, Metabolism, Cell Signaling, Calcium Signaling
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Signal Transduction, Metabolism, Synapse, Immune Response, Epigenetic
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Synapse
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
