Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Response to Wounding, Immune Response, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Structural Stabilization, Synapse
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Unknown
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Unknown
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Unknown
GO Term: Hyaluronan Metabolic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Carbohydrate Metabolism, Metabolism, Extracellular Matrix, Macromolecule Metabolism, Glycan Metabolism
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Immune Response, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Semaphorin Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Structural Stabilization
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Platelet Formation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Vasculature
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Endolysosome, Autophagy
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Unknown
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Female Sex Determination -> Biodomain: Epigenetic,Unknown,Unknown,Unknown,Unknown
GO Term: Male Sex Determination -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis, Unknown
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Polysaccharide Binding -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Growth Hormone Secretion -> Biodomain: Proteostasis,Hormone Secretion,Cell Signaling,Transport,Regulation of Biological Process
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Cell Cycle, Epigenetic
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Lim Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Apoptosis, Metal Binding and Homeostasis
GO Term: Lrr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Unknown
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Vasculature
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Tissue Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Proteostasis, Vasculature
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Vasculature, Proteostasis
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Lipid Metabolism
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Apoptosis, Proteostasis
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Digestion, Metabolism, Intestinal Function, Cholesterol Homeostasis
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Immune Response, Proteostasis
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Deoxynucleotide Transport -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Melanocyte Differentiation -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Stabilization Of Membrane Potential -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Lung Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Adrenal Gland Development -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cell Cycle
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle, Unknown
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Binding, Apoptosis
GO Term: Regulation Of Cell Migration -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Vasculature, Immune Response, Synapse, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Extracellular Matrix, Teeth, Development, Cell Adhesion
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Molybdopterin Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Cell Adhesion, Receptor, Cell Surface Receptor
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Unknown, DNA Repair
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Signaling, Extracellular Matrix Organization, Immune Response, Cell Adhesion and Migration, Proteostasis
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Signaling, Receptor Binding, Innate Immunity, Cytokine Signaling
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactose Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Defecation -> Biodomain: Digestion, Excretion, Multicellular Organismal Process, System Process, Unknown
GO Term: Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Autophagy, Proteostasis
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Site Of Polarized Growth -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Myelination, Tau Homeostasis
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, APP Metabolism, Apoptosis
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Peristalsis -> Biodomain: Muscle Function, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Unknown
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna Methylation -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Hemoglobin Binding -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Bone Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Inorganic Diphosphate Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Bmp Signaling Pathway -> Biodomain: Growth Factor Signaling, Signal Transduction, Regulation of Biological Process, Cellular Response to Stimulus, Cellular Process
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Epigenetic
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Apoptosis, Autophagy
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Cell Development, Nervous System Development, Neuron Projection Organization
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Apoptosis, Immune Response, Proteostasis
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Cell Cycle
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Unknown
GO Term: Adult Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Unknown
GO Term: Male Genitalia Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Female Genitalia Development -> Biodomain: Reproductive Process,Developmental Process,Multicellular Organismal Process,Anatomical Structure Development,System Development
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Synapse
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Unknown, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Camp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cgmp Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Extracellular Matrix Organization
GO Term: Nuclear Body Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Pml Body Organization -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Signaling, Neuronal Signaling, Postsynaptic, Neurotransmission
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Unknown
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, RNA Metabolism, Transcriptional Regulation, Epigenetic, Unknown
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Unknown, Unknown, Unknown, Unknown
GO Term: U4Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: U5 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Unknown
GO Term: U6Atac Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: U12 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
