Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Unknown
GO Term: Histone Arginine N-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Vasculature, Structural Stabilization
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Vasculature, Autophagy
GO Term: Pyridoxal Kinase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Unknown, Myelination, Immune Response, Structural Stabilization
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: Antibiotic Mechanism, Membrane Trafficking, Bacterial Processes, Drug Metabolism, Cellular Efflux
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Unknown, Endolysosome, Vasculature
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Unknown
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Synapse, Vasculature
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Immune Response
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, Unknown
GO Term: Ammonium Channel Activity -> Biodomain: Unknown, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Unknown, Immune Response, Autophagy
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Taste Receptor Activity -> Biodomain: Sensory Perception, Signal Transduction, Membrane Biology, Neuronal Signaling, Receptor Binding
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Lipid Metabolism
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Unknown
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, DNA Repair
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Visual Learning -> Biodomain: Synapse, Cognition, Nervous System Process, Behavior, Learning or Memory
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Epidermis Development -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Epigenetic, Apoptosis
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Unknown, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Autophagy
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Cell Cycle, Tau Homeostasis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Male Gonad Development -> Biodomain: Reproductive Process, Developmental Process, Cell Differentiation, System Development, Organ Development
GO Term: Female Gonad Development -> Biodomain: Epigenetic,Cell Cycle,Apoptosis,Autophagy,Structural Stabilization
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Developmental Process, Embryonic Development, Pattern Specification, Regionalization, Anatomical Structure Development
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Enzyme Regulation, Signal Transduction, Cell Signaling, Kinase Activity
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Structural Stabilization, Myelination, Mitochondrial Metabolism
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Unknown, Lipid Metabolism
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Endolysosome, Oxidative Stress
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Vasculature
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Epigenetic, Unknown, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Methionine Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: 4-Phytase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Amino Acid Metabolism, Energy Metabolism, Metabolic Processes, Neurotransmitter Regulation, Mitochondrial Metabolism
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Lipid Metabolism, Unknown, Immune Response, Endolysosome, Autophagy
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Apoptosis
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Immune Response, Oxidative Stress
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Proteostasis
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Agmatinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Arginine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Endolysosome, Autophagy
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Apoptosis
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Unknown, Autophagy
GO Term: Choline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Unknown
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Datp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Cell Cycle, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Exoribonuclease Ii Activity -> Biodomain: Autophagy, Apoptosis, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Unknown
GO Term: Glutamate Racemase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Glycerate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Autophagy
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Unknown
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Apoptosis
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response, Unknown
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phosphopentomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Unknown, Unknown
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Immune Response, Cell Cycle, Unknown
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Ribonuclease E Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, APP Metabolism
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Immune Response, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Proteostasis
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Thymidine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Immune Response, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Lipid Metabolism, DNA Repair, Immune Response, Cell Cycle
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Catabolic Process -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Macromolecule Catabolic Process -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, RNA Spliceosome, DNA Repair
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metabolism, Cellular Respiration, Energy Production
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
