Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Nitric Oxide Transmembrane Transporter Activity -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Synapse, Immune Response, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Wound Healing, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Hemostasis, Response to Stimulus, Regulation of Biological Process, Multicellular Organismal Process
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Synapse
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Immune Response, Endolysosome
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Immune Response
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Hyaluronan Metabolic Process -> Biodomain: Glycosaminoglycan Metabolism, Metabolic Signaling, Structural Stabilization, Extracellular Matrix Organization, Cell Adhesion
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Cell Cycle
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Megakaryocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Vasculature
GO Term: Platelet Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Endolysosome
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Hematopoietic System, Cell Cycle, Cell Differentiation, Developmental Processes
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Structural Stabilization
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Apoptosis
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Developmental Regulation, Reproductive System, Gene Regulation, Cellular Differentiation
GO Term: Male Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Synapse, Autophagy
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Muscle Development, Cellular Morphogenesis, Protein Aggregation
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Cytoskeletal Organization, Proteostasis, Organelle Organization, Cell Differentiation
GO Term: Carbohydrate Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Polysaccharide Binding -> Biodomain: Structural Stabilization, Immune Response, APP Metabolism, Endolysosome, Autophagy
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Proteostasis, Vasculature, Oxidative Stress, Synapse, Apoptosis
GO Term: Growth Hormone Secretion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Immune Response
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, DNA Repair
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Signaling Receptor, Peptide Hormone Receptor, GPCR, Stress Response, Energy Metabolism
GO Term: Lim Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Epigenetic
GO Term: Lrr Domain Binding -> Biodomain: Protein Interactions, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Epithelial Structure, Tissue Homeostasis, Digestive System, Barrier Function
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Immune Response
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Cell Cycle
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Synapse, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Vasculature
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Signal Transduction, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Deoxynucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Heparanase Activity -> Biodomain: Endolysosome, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle  
Proteostasis  
Autophagy  
Apoptosis  
Structural Stabilization
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Glycosylation, Carbohydrate Metabolism, Glycan Metabolism, Macromolecule Metabolic Process, Cell Communication
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Autophagy
GO Term: Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Melanocyte Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Stabilization Of Membrane Potential -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Respiratory Tube Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Lung Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Adrenal Gland Development -> Biodomain: Endocrine, Organismal Systems, Organ Development, Developmental Biology, Cell Differentiation
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Developmental Process, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism, DNA Repair
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Tau Homeostasis
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Structural Stabilization
GO Term: Syntaxin-3 Binding -> Biodomain: Synapse, Myelination, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Epigenetic, Autophagy
GO Term: Molybdopterin Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor Activity, Cytokine Signaling, Inflammatory Response, Cell Surface Receptor
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Signaling Receptor, Cell Adhesion, Transmembrane Signaling Receptor, Plasma Membrane
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Serine Racemase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Lactose Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Defecation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Sirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Axon -> Biodomain: Synapse, Myelination, Tau Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Site Of Polarized Growth -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Peristalsis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature, Autophagy
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Tau Homeostasis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Cytoskeleton, Proteostasis, Cell Cycle, Synapse
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Trna Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Hemoglobin Binding -> Biodomain: Vasculature, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization  
Metal Binding and Homeostasis  
Developmental Biology  
Mineral Metabolism  
Lipid Metabolism
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Inorganic Diphosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Proteostasis
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Autophagy
GO Term: Bmp Signaling Pathway -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Developmental Processes, Cell Differentiation, Regulation of Gene Expression
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Structural Stabilization  
Apoptosis  
Cell Cycle  
Autophagy  
Immune Response
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Myelination
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Autophagy
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Immune Response
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Synapse, Vasculature, Structural Stabilization, Proteostasis
GO Term: Structural Constituent Of Chromatin -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, DNA Repair
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, RNA Spliceosome
GO Term: Adult Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Reproductive Process, Developmental Process, Anatomical Structure Morphogenesis, Organ Development, Sex Differentiation
GO Term: Male Genitalia Development -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Female Genitalia Development -> Biodomain: Developmental Process, Reproductive System, Sex Differentiation, Anatomical Structure Development, Organ Development
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Oxidative Stress
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cyclic Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse, Oxidative Stress
GO Term: Camp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cgmp Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Nuclear Body Organization -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Structural Stabilization
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Pml Body Organization -> Biodomain: Proteostasis, Apoptosis, Epigenetic, DNA Repair, Autophagy
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Cellular Process, Metabolic Process, Apoptosis
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Cell Migration, Response to Stimulus, Vasculature, Oxidative Stress
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Oxidative Stress
