Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Nitric Oxide Transport -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Proteostasis
GO Term: Melatonin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Blood Coagulation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Extracellular Matrix Constituent, Lubricant Activity -> Biodomain: Structural Stabilization, Vasculature, Extracellular Matrix Organization, Synapse, Immune Response
GO Term: Extracellular Matrix Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Fibril Organization -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Heparan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Heparan Sulfate Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Immune Response, Vasculature
GO Term: Heparin Proteoglycan Metabolic Process -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Autophagy
GO Term: Glycosaminoglycan Metabolic Process -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Autophagy, Lipid Metabolism
GO Term: Chondroitin Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Dermatan Sulfate Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Heparin Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Glycoprotein Metabolism, Carbohydrate Derivative Metabolism, Extracellular Matrix Organization, Proteostasis
GO Term: Heparin Proteoglycan Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Hyaluronan Metabolic Process -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Hyaluronan Biosynthetic Process -> Biodomain: Glycosaminoglycan Metabolism, Carbohydrate Metabolism, Extracellular Matrix Organization, Connective Tissue Development, Cell Surface Interactions
GO Term: Hyaluronan Catabolic Process -> Biodomain: Endolysosome, Immune Response, Autophagy, Vasculature, Oxidative Stress
GO Term: Semaphorin Receptor Binding -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Keratinocyte Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Epigenetic
GO Term: T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Erythrocyte Differentiation -> Biodomain: Immune Response, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Megakaryocyte Differentiation -> Biodomain: Cell Cycle  
Apoptosis  
Structural Stabilization  
Lipid Metabolism  
Proteostasis
GO Term: Platelet Formation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Basophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Eosinophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Neutrophil Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Monocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Macrophage Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Apolipoprotein Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Very-Low-Density Lipoprotein Particle Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, APP Metabolism
GO Term: Deoxynucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Enzyme Regulator Activity -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Nitric-Oxide Synthase Regulator Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Proteostasis
GO Term: Female Sex Determination -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Male Sex Determination -> Biodomain: Reproductive Biology, Developmental Biology, Organismal Processes, Genetic Mechanisms, Core Processes
GO Term: Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Skeletal Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Skeletal Muscle Myosin Thick Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Carbohydrate Binding -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Polysaccharide Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Proteostasis
GO Term: Guanylate Cyclase Regulator Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Guanylate Cyclase Activator Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Guanylate Cyclase Inhibitor Activity -> Biodomain: Proteostasis, Vasculature, Synapse, Oxidative Stress, Immune Response
GO Term: Growth Hormone Secretion -> Biodomain: Proteostasis, Vasculature, Autophagy, Immune Response, Endolysosome
GO Term: Lipid Modification -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lipid Glycosylation -> Biodomain: Lipid Metabolism, Glycosylation, Structural Stabilization, Immune Response, Myelination
GO Term: Chromosome Condensation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Apoptotic Nuclear Changes -> Biodomain: Apoptosis, Proteostasis, Autophagy, DNA Repair, Cellular Component Organization
GO Term: Apoptotic Chromosome Condensation -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic
GO Term: Nuclear Fragmentation Involved In Apoptotic Nuclear Change -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Glyoxylate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: 5-Formyltetrahydrofolate Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Melanin-Concentrating Hormone Receptor Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lim Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Lrr Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Autophagy, Synapse
GO Term: Clathrin Binding -> Biodomain: Endolysosome, Synapse, Proteostasis, Vasculature, Structural Stabilization
GO Term: Maintenance Of Gastrointestinal Epithelium -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Ossification -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Ossification -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Structural Constituent Of Skin Epidermis -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Vasculature, Epigenetic
GO Term: Testosterone Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nuclear Estrogen Receptor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Dynein Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Protein Phosphatase 4 Complex -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Autophagy, Structural Stabilization
GO Term: Sphingolipid Activator Protein Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine Kinase Inhibitor Activity -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Signal Transduction, Apoptosis, Enzyme Regulation, Immune Response
GO Term: Receptor Signaling Protein Tyrosine Kinase Inhibitor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Protein Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Protein Tyrosine Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Autophagy
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activator Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Receptor Signaling Protein Tyrosine Kinase Activator Activity -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Autophagy
GO Term: Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Intestinal Cholesterol Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Cholesterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Deoxynucleotide Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Heparanase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Autophagy, Vasculature
GO Term: Positive Regulation Of Cell Growth -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Cell Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Poly-N-Acetyllactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response, Autophagy
GO Term: Poly-N-Acetyllactosamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Structural Stabilization, Vasculature, Proteostasis
GO Term: Junctional Membrane Complex -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: T-Tubule -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Osteoclast Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Flagellated Sperm Motility -> Biodomain: Structural Stabilization, Microtubule Cytoskeleton, Reproduction, Cell Motility, Cellular Processes
GO Term: Melanocyte Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Transepithelial Chloride Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Stabilization Of Membrane Potential -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Respiratory Tube Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Lung Development -> Biodomain: Vasculature, Structural Stabilization, Respiratory System, Organ Development, Morphogenesis
GO Term: Adrenal Gland Development -> Biodomain: Vasculature, Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Embryonic Limb Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Prenylated Protein Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Prenylcysteine Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Dna Damage Response, Signal Transduction By P53 Class Mediator -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Nuclear Estrogen Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cyclin Binding -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Dna Polymerase Processivity Factor Activity -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Cmp-N-Acetylneuraminate Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Proteostasis
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 24-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Vitamin D3 25-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Structural Constituent Of Tooth Enamel -> Biodomain: Structural Stabilization, Extracellular Matrix, Mineralization, Metal Binding and Homeostasis, Developmental Biology
GO Term: Protein Phosphatase 2B Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Structural Stabilization
GO Term: Syntaxin-3 Binding -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, APP Metabolism
GO Term: Iron-Responsive Element Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 6-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Melanin-Concentrating Hormone Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis
GO Term: Molybdopterin Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-17 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Icam-3 Receptor Activity -> Biodomain: Immune Response, Cell Adhesion, Signaling Pathways, Cell Surface Receptor, Leukocyte Activation
GO Term: Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Urokinase Plasminogen Activator Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Serine Racemase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Neurotensin Receptor Activity, Non-G Protein-Coupled -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Interleukin-17E Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Sperm Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fructose 1,6-Bisphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fructosamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Fructosamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Fructoselysine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lactose Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Membrane Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Glutamate Formimidoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Formimidoyltetrahydrofolate Cyclodeaminase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Peptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Endolysosome
GO Term: Defecation -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Sirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Myelination
GO Term: Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Site Of Polarized Growth -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Kynureninase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Peristalsis -> Biodomain: Synapse, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Complement Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Complement Activation, Alternative Pathway -> Biodomain: Immune Response, Innate Immune Response, Regulation of Immune Response, Defense Response, Response to Biotic Stimulus
GO Term: Nuclear Migration Along Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Endolysosome
GO Term: Actin Cap -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Smooth Muscle Contractile Fiber -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Trna Methylation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Maturation Of Ssu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Hemoglobin Binding -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Midbody -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Fatty Acid Elongation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Bone Mineralization -> Biodomain: Mineral Homeostasis, Structural Stabilization, Developmental Biology, Tissue Morphogenesis, Regulation
GO Term: Positive Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Bone Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Inorganic Diphosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Inorganic Diphosphate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Ankyrin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, APP Metabolism
GO Term: Spectrin Binding -> Biodomain: Structural Stabilization, Cytoskeleton, Cellular Structure, Protein Complexes, Plasma Membrane
GO Term: Bmp Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Bmp Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle  
Epigenetic  
Vasculature  
Autophagy  
Apoptosis
GO Term: Negative Regulation Of Bmp Signaling Pathway -> Biodomain: Cell Cycle  
Immune Response  
Vasculature  
Proteostasis  
Autophagy
GO Term: Snorna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Axon Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Axon Extension -> Biodomain: Synapse  
Structural Stabilization  
Proteostasis  
Autophagy  
Apoptosis
GO Term: Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Estrogen Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Intracellular Receptor Signaling Pathway -> Biodomain: Epigenetic, Cellular Response, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Granulocyte Macrophage Colony-Stimulating Factor Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Structural Constituent Of Chromatin -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Small Nuclear Ribonucleoprotein Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Triplet Codon-Amino Acid Adaptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Adult Behavior -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Embryonic Genitalia Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Male Genitalia Development -> Biodomain: Reproductive System, Developmental, Hormonal Regulation, Anatomical Structure Morphogenesis, Organ Development
GO Term: Female Genitalia Development -> Biodomain: Developmental Process, Reproductive Process, Multicellular Organismal Process, Anatomical Structure Development, Organ Development
GO Term: Hsp70 Protein Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Signaling Receptor Regulator Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Vasculature, Synapse
GO Term: Signaling Receptor Activator Activity -> Biodomain: Immune Response, Synapse, Autophagy, Apoptosis, Proteostasis
GO Term: Signaling Receptor Inhibitor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Acetylcholine Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Acetylcholine Receptor Activator Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Acetylcholine Receptor Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Cyclic Nucleotide Binding -> Biodomain: Synapse, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Camp Binding -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Lipid Metabolism, Immune Response
GO Term: Cgmp Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Epigenetic
GO Term: Bile Acid Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Collagen Catabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Nuclear Body Organization -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Cajal Body Organization -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Pml Body Organization -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: [Methionine Synthase] Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Dna Adp-Ribosylation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Autophagy
GO Term: Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Neurological Processes, Signal Transduction, Cell Communication
GO Term: Leukocyte Chemotaxis -> Biodomain: Immune Response, Cell Cycle, Vasculature, Oxidative Stress, Autophagy
GO Term: U1 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: U2 Snrna Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: U4 Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
