Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Endocrine System Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Exocrine System Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Unknown
GO Term: Ethanol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Mirna-Mediated Gene Silencing By Inhibition Of Translation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Immune Response, Unknown
GO Term: Mirna-Mediated Gene Silencing By Mrna Destabilization -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Apoptosis, Immune Response
GO Term: Pre-Mirna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Immune Response
GO Term: Segmentation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Unknown, Autophagy
GO Term: Central Nervous System Segmentation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Unknown
GO Term: Brain Segmentation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Myelination
GO Term: Tube Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate 2-Kinase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Wound Healing, Spreading Of Epidermal Cells -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Hair Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Unknown
GO Term: Toll-Like Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Hippo Signaling -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hippo Signaling -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Peptidyl-Tyrosine Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Long-Chain Fatty-Acyl-Coa Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Long-Chain Fatty-Acyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Inosine Transport -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Synapse, Oxidative Stress
GO Term: Hypoxanthine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Acetyl-Coa Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Coenzyme A Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Cell Cycle
GO Term: Fad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Heme Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Nad Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Toll-Like Receptor 1-Toll-Like Receptor 2 Protein Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Toll-Like Receptor 2-Toll-Like Receptor 6 Protein Complex -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Intracellular Triglyceride Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Negative Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Histone Locus Body -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Thymine Transport -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Selenocysteine Insertion Sequence Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Tau Homeostasis
GO Term: Protein Localization To Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Chondroitin Sulfate Proteoglycan Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Chondroitin Sulfate Binding -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Endolysosome, Proteostasis
GO Term: Zymogen Binding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Transepithelial Water Transport -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Carbon Dioxide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Endolysosome, Unknown
GO Term: Carbon Dioxide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Atp-Gated Ion Channel Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sterol Transmembrane Transport -> Biodomain: Lipid Metabolism, Cellular Processes, Membrane Biology, Cellular Homeostasis, Molecular Transport
GO Term: Roundabout Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 9 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Helper T Cell Enhancement Of Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Cell Cycle
GO Term: Histone H3Y41 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3T11 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3T6 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Protein Localization To Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Autocrine Signaling -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Extracellular Matrix-Cell Signaling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Gluconate Transmembrane Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Phosphate Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Maintenance Of Protein Localization In Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Cyclic-Di-Gmp Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis, Unknown
GO Term: Cell Migration Involved In Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Nickel Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Borate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Structural Stabilization, Unknown
GO Term: Response To Interferon-Alpha -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Response To Interferon-Beta -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Interferon-Alpha -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Interferon-Beta -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Vesicle Cargo Loading -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Vitamin Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis
GO Term: Determination Of Pancreatic Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Unknown
GO Term: Positive Regulation Of Vascular Wound Healing -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Choriogonadotropin Hormone Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Epigenetic
GO Term: Lipase Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Chylomicron Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Gastric Emptying -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Adenine/Guanine Mispair Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Positive Regulation Of Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Snare Complex Assembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Cell Cycle
GO Term: Snare Complex Disassembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Unknown
GO Term: Camp Response Element Binding -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Unknown
GO Term: Carnosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Apoptosis
GO Term: Carnosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Synapse
GO Term: Mh2 Domain Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Mh1 Domain Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Unknown
GO Term: Metanephric Part Of Ureteric Bud Development -> Biodomain: Unknown, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Oxidative Rna Demethylation -> Biodomain: Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis
GO Term: Oxidative Rna Demethylase Activity -> Biodomain: Oxidative Stress, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Broad Specificity Oxidative Dna Demethylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Pr-Dub Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Protein K29-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Monoubiquitinated Protein Deubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Protein K29-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Proline Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: Nf-Kappab P50/P65 Complex -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Apoptosis, Proteostasis
GO Term: Retrograde Transport, Plasma Membrane To Golgi -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Nadh Pyrophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Autophagy
GO Term: Carbohydrate Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: 8-Oxo-7,8-Dihydrodeoxyguanosine Triphosphate Pyrophosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Vasculature
GO Term: Positive Regulation Of Snare Complex Assembly -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Snare Complex Assembly -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Oxidative Stress
GO Term: Determination Of Left/Right Asymmetry In Nervous System -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Positive Regulation Of Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Kidney Size -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Pronephros Size -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Metanephros Size -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Unknown
GO Term: Non-Canonical Wnt Signaling Pathway -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Myelination
GO Term: N-Terminal Peptidyl-Serine Dimethylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Unknown
GO Term: N-Terminal Peptidyl-Serine Trimethylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Histone H4K20 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Oxidative Stress
GO Term: Azurophil Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Azurophil Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Specific Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Specific Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Sequestering Of Extracellular Ligand From Receptor -> Biodomain: Immune Response, Proteostasis, Vasculature, Synapse, Structural Stabilization
GO Term: Sequestering Of Bmp In Extracellular Matrix -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Immune Response
GO Term: Sequestering Of Tgfbeta In Extracellular Matrix -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Purinergic Nucleotide Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Signaling Adaptor Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Synapse
GO Term: Establishment Of Protein Localization To Extracellular Region -> Biodomain: Proteostasis, Immune Response, Vasculature, Synapse, Unknown
GO Term: Ganglioside Binding -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: Methylthiotransferase Activity -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, DNA Repair, Mitochondrial Metabolism
GO Term: Trna-2-Methylthio-N(6)-Dimethylallyladenosine(37) Synthase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Trna (N(6)-L-Threonylcarbamoyladenosine(37)-C(2))-Methylthiotransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Trna Methylthiolation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Hemopoiesis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Cysteine S-Nitrosylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Peptidyl-Cysteine S-Trans-Nitrosylation -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Vasculature
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway Involved In Orbitofrontal Cortex Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Protein Deglutamylation -> Biodomain: Proteostasis, Tau Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: C-Terminal Protein Deglutamylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Protein Side Chain Deglutamylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Protein Branching Point Deglutamylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ap-2 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Immune Response
GO Term: Rna Stem-Loop Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Autophagy
GO Term: Clathrin Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Stress Granule Disassembly -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Er To Golgi Ceramide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intrahepatic Bile Duct Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Unknown, Mitochondrial Metabolism
GO Term: Renal D-Glucose Absorption -> Biodomain: Renal System Processes, Glucose Metabolism, Membrane Transport, Ion Homeostasis, Cellular Homeostasis
GO Term: Ceramide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Bone Mineralization Involved In Bone Maturation -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Cd40 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Prohibitin Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Maintenance Of Blood-Brain Barrier -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Response To Stilbenoid -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Lipid Metabolism
GO Term: Purine Ribonucleoside Triphosphate Binding -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Exploration Behavior -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Locomotory Exploration Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Histone H3R17 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: L-Dopa Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphoanandamide Dephosphorylation -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Unknown
GO Term: Enteric Smooth Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Endolysosome
GO Term: Endosome To Melanosome Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Ap-1 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Ap-3 Adaptor Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Clathrin-Coated Vesicle Cargo Loading, Ap-3-Mediated -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Erf1 Methyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Mon1-Ccz1 Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Unknown
GO Term: Toll-Like Receptor 4 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Toll-Like Receptor 2 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Tirap-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Trif-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Trif-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Tram-Dependent Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Oligopeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Oligopeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Tricarboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Posterior Lateral Line Neuromast Hair Cell Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Memory T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Helper T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Autophagy
GO Term: Helper T Cell Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Unknown
GO Term: Sperm Fibrous Sheath -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Chemokine (C-C Motif) Ligand 5 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Macrophage Migration Inhibitory Factor Receptor Complex -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Structural Stabilization
GO Term: Nos2-Cd74 Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Unknown
GO Term: Mitochondrial Protein Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Mitophagy By Internal Vacuole Formation -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Monocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Vasculature
GO Term: T-Helper 17 Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Memory T Cell Activation -> Biodomain: Immune Response, Endolysosome, Synapse, Epigenetic, Cell Cycle
GO Term: Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Vasculature, Proteostasis
