Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Tau Homeostasis, Proteostasis
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Pyridoxal Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Synapse
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Lipid Metabolism, Autophagy
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Synapse
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism, Vasculature
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Synapse, Endolysosome, Oxidative Stress
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, APP Metabolism, Endolysosome
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Immune Response, Synapse
GO Term: Melatonin Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Vasculature, Endolysosome
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Synapse, Tau Homeostasis
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: Vasculature, Synapse, APP Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Lipid Metabolism
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Synapse
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Taste Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Endolysosome, Oxidative Stress
GO Term: Visual Learning -> Biodomain: Cognition, Synapse, Nervous System, Behavior, Learning or Memory
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, APP Metabolism
GO Term: Epidermis Development -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Tau Homeostasis, Apoptosis, Immune Response, Proteostasis
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Structural Stabilization, Endolysosome
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Male Gonad Development -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Epigenetic, Immune Response
GO Term: Female Gonad Development -> Biodomain: Endolysosome, Lipid Metabolism, Immune Response, Epigenetic, Proteostasis
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: APP Metabolism, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Synapse
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: APP Metabolism, Synapse, Immune Response, Proteostasis, Apoptosis
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Developmental Process, Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Autophagy, Synapse, Oxidative Stress
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Tau Homeostasis, Oxidative Stress
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Autophagy
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Myelination, Endolysosome, Proteostasis
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Autophagy, Synapse
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Endolysosome, APP Metabolism
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Immune Response
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Synapse, Lipid Metabolism
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Immune Response
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Synapse
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, Oxidative Stress, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Epigenetic
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, APP Metabolism
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Methionine Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: 4-Phytase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Autophagy
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Lipid Metabolism
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Tau Homeostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, APP Metabolism, Endolysosome
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Agmatinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Apoptosis
GO Term: Arginine Decarboxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Immune Response
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Beta-Lactamase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Choline Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis
GO Term: Datp Diphosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glutamate Racemase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Immune Response
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Endolysosome
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Oxidative Stress
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Vasculature
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Phosphopentomutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, Synapse, Autophagy
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Ribonuclease E Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Epigenetic, DNA Repair
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, Immune Response
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Thymidine Phosphorylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Chromatin Organization, Regulation of Gene Expression, Cellular Component Organization, Biological Regulation
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, DNA Repair
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, APP Metabolism
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Methionine Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Glycoprotein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
