Running with TEMP=0.0, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Histidine Decarboxylase Activity -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Oxidative Stress, Apoptosis
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Structural Stabilization, Endolysosome
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Lipid Metabolism
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, APP Metabolism
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, APP Metabolism, Autophagy, Proteostasis
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Oxidative Stress
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Apoptosis
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Ketohexokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Lactose Synthase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Tau Homeostasis
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Myelination
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Unknown
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Lipid Metabolism, Synapse
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, RNA Spliceosome, Unknown
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Immune Response, Metal Binding and Homeostasis
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Unknown, Synapse
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Unknown
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Epigenetic
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Vasculature, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Synapse, Oxidative Stress
GO Term: Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Tyrosinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Synapse, Endolysosome, Proteostasis
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Immune Response, Endolysosome
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Unknown
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis, Endolysosome
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Proteostasis
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Unknown
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Rna Endonuclease Activity -> Biodomain: RNA Spliceosome, Immune Response, Proteostasis, Unknown, Autophagy
GO Term: Ribonuclease A Activity -> Biodomain: Proteostasis, RNA Spliceosome, Endolysosome, Autophagy, Immune Response
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Unknown, Apoptosis, Cell Cycle
GO Term: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Phosphodiesterase I Activity -> Biodomain: DNA Repair, Endolysosome, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Unknown
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: Endolysosome, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Rna Exonuclease Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Unknown, Synapse
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Tau Homeostasis, Proteostasis
GO Term: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Proteostasis, Tau Homeostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Unknown
GO Term: Alpha-Amylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, APP Metabolism, Oxidative Stress
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Immune Response
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Alpha-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, APP Metabolism
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Beta-Galactosidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Beta-Glucuronidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Chitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Synapse
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Unknown, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Immune Response
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Endolysosome, APP Metabolism, Immune Response
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, APP Metabolism
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Unknown, RNA Spliceosome, Oxidative Stress, DNA Repair, Epigenetic
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Epigenetic, APP Metabolism, Autophagy
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Unknown
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Oxidative Stress, Synapse, Immune Response, Epigenetic, Apoptosis
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Phosphomannomutase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Oxidative Stress, APP Metabolism
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Synapse
GO Term: Phospholipase C Activity -> Biodomain: Lipid Metabolism, Autophagy, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Immune Response
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Cell Cycle
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Unknown, Metal Binding and Homeostasis
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Unknown
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Epigenetic
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Tau Homeostasis
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Prenyltransferase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Tau Homeostasis, Synapse
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Synapse
