Running with TEMP=0.0, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Endolysosome
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Ubiquitin-Proteasome System
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Protein Synthesis, Unknown
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, DNA Repair
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Endolysosome, Unknown
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome Pathway, Endolysosome, Apoptosis
GO Term: Nedd8 Transferase Activity -> Biodomain: Ubiquitin Proteasome Pathway, Proteostasis, Post-Translational Modification, Protein Degradation, Cell Cycle
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Aspartoacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Polyamine Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Putrescine Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cocaine Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Unknown, Lipid Metabolism, Oxidative Stress
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Autophagy
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Cytolysis -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Growth Factor Binding -> Biodomain: Signal Transduction, Cell Proliferation, Protein Binding, Cell Growth, Intracellular Signaling
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Vitamin Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Rrna Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Vasculature, Synapse, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Thymine Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy, Immune Response
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Immune Response
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse,Vasculature,Mitochondrial Metabolism,Oxidative Stress,Immune Response
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Myelination, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Autophagy
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Endolysosome
GO Term: Extrinsic Component Of Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Protein Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Endolysosome
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Synapse, Autophagy
GO Term: Syntaxin Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, DNA Repair, Cell Cycle, Apoptosis
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Apoptosis
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Cytokine Signaling, Protein Binding, Signal Transduction, Inflammation
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Cell Cycle, Autophagy
GO Term: Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Vasculature
GO Term: Heme Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Immune Response
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization  
Synapse  
Vasculature  
Lipid Metabolism  
Cell Cycle
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization  
Synapse  
Proteostasis  
Cell Cycle  
Apoptosis
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Unknown
GO Term: Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Immune Response
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Developmental Process, Nervous System Development, Pattern Specification Process, Regionalization, Anatomical Structure Development
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse
Cell Cycle
Autophagy
Proteostasis
Unknown
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Cell Cycle, Proteostasis, Autophagy
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Unknown
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Autophagy, Proteostasis, Myelination
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Myelination, Epigenetic, Proteostasis
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Unknown
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Autophagy
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Myelination
Synapse
Structural Stabilization
Autophagy
Apoptosis
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Diencephalon Development -> Biodomain: Synapse, Myelination, Endolysosome, Autophagy, Proteostasis
GO Term: Telencephalon Development -> Biodomain: Synapse
Myelination
Structural Stabilization
Cell Cycle
Apoptosis
GO Term: Subthalamus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Cell Differentiation
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Proteostasis
GO Term: Pallium Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Subpallium Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization
Synapse
Myelination
Cell Cycle
Unknown
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization
Epigenetic
Synapse
Vasculature
Immune Response
GO Term: Pons Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Cerebellum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Unknown
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Vasculature
GO Term: Optic Nerve Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Central Nervous System Formation -> Biodomain: Myelination, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Myelination, Lipid Metabolism, Autophagy, Immune Response
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Rhombomere 6 Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Tau Homeostasis
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Apoptosis, Cell Cycle
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization  
Cell Cycle  
Myelination  
Synapse  
Epigenetic
GO Term: Cerebellum Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Immune Response
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Endolysosome, Myelination
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Synapse, Vasculature
GO Term: Abducens Nerve Formation -> Biodomain: Myelination, Structural Stabilization, Vasculature, Proteostasis, Synapse
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Autophagy
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Autophagy
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Peripheral Nervous System, Autonomic Nervous System
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Structural Stabilization  
Myelination  
Lipid Metabolism  
Epigenetic  
Synapse
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Unknown
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Olfactory Nerve Maturation -> Biodomain: Myelination  
Structural Stabilization  
Synapse  
Autophagy  
Proteostasis
GO Term: Optic Nerve Morphogenesis -> Biodomain: Myelination
Structural Stabilization
Synapse
Vasculature
Unknown
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Endolysosome
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Vasculature
GO Term: Trochlear Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Apoptosis, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse
Structural Stabilization
Myelination
Cell Cycle
Autophagy
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Unknown, Structural Stabilization, Cell Cycle, Synapse, Myelination
GO Term: Rhombomere 3 Structural Organization -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Unknown
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Cell Cycle  
Unknown
GO Term: Rhombomere 5 Formation -> Biodomain: Nervous System Development, Brain Development, Structural Stabilization, Cell Cycle, Synapse
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Autophagy
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Unknown
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Unknown
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Epigenetic
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization  
Synapse  
Myelination  
Cell Cycle  
Vasculature
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Vasculature
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Endolysosome
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Developmental Maturation -> Biodomain: Epigenetic,Cell Cycle,Autophagy,Structural Stabilization,Synapse
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Myelination
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Myelination, Proteostasis, Autophagy, Endolysosome
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Epigenetic
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Unknown
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse
Structural Stabilization
Nervous System Development
Cell Cycle
Developmental Process
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Apoptosis
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Putamen Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Unknown
