Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Epigenetic, Synapse, APP Metabolism, Proteostasis, Apoptosis
GO Term: 3-Methylbutanoyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Palmitoyl-(Protein) Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Autophagy
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, RNA Spliceosome
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Tau Homeostasis
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: APP Metabolism,Tau Homeostasis,Proteostasis,Endolysosome,Immune Response
GO Term: Translation Activator Activity -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Melatonin Receptor Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Immune Response, Tau Homeostasis
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Vesicle Trafficking, Ion Homeostasis, Neuronal Signaling, Oxidative Stress
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, APP Metabolism, Proteostasis, Endolysosome
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, APP Metabolism, Lipid Metabolism
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Synapse, Mitochondrial Metabolism
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Taste Receptor Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Synapse, Proteostasis, APP Metabolism, Immune Response, Endolysosome
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Apoptosis
GO Term: Visual Learning -> Biodomain: Cognition, Synapse, Nervous System, Behavior, Learning or Memory
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: Epidermis Development -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis, Apoptosis
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: APP Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse, Structural Stabilization
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Synapse, Structural Stabilization
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Tau Homeostasis, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Male Gonad Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Female Gonad Development -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: APP Metabolism, Synapse, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Structural Stabilization, DNA Repair
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Endolysosome, Proteostasis, Immune Response, Oxidative Stress
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Hormone-Related, Signal Transduction, Cellular Response, Neurodegeneration
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Autophagy
GO Term: Rrna Methyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, APP Metabolism
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: DNA Repair, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Methionine Synthase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: 4-Phytase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, APP Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Immune Response
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Immune Response, Proteostasis
GO Term: Agmatinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response, Apoptosis
GO Term: Arginine Decarboxylase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis, Immune Response
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Apoptosis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Beta-Lactamase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Choline Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Datp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, DNA Repair
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutamate Racemase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Guanine Deaminase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Oxidative Stress
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Immune Response, Endolysosome
GO Term: Phosphopentomutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Ribonuclease E Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Synapse, Immune Response
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Epigenetic
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Metal Binding and Homeostasis
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Proteostasis, Immune Response
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Synapse
GO Term: Thymidine Phosphorylase Activity -> Biodomain: Vasculature, DNA Repair, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, APP Metabolism
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
