Running with TEMP=0.5, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Clathrin-Dependent Endocytosis Of Virus By Host Cell -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Synapse
GO Term: Microtubule-Dependent Intracellular Transport Of Viral Material Towards Nucleus -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Ires-Dependent Viral Translational Initiation -> Biodomain: Immune Response, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Viral Translational Frameshifting -> Biodomain: Immune Response, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: Viral Translational Termination-Reinitiation -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Apoptosis
GO Term: Transport Of Viral Material Towards Nucleus -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Establishment Of Integrated Proviral Latency -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Viral Penetration Into Host Nucleus -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Intracellular Transport Of Virus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: S-Nitrosoglutathione Reductase (Nadh) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cul4-Ring E3 Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Alcohol-Forming Very Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Phosphatidylinositol-3,5-Bisphosphate Binding -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Gdp-D-Glucose Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellobiose Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Primary Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Caax-Box Protein Maturation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Amp Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, DNA Repair, Lipid Metabolism
GO Term: Proteasome Core Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cellular Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Intracellular Amino Acid Homeostasis -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Cysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Fertilization -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Metabolic Process -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Hydrogen Peroxide Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Phenylpropanoid -> Biodomain: Oxidative Stress, Immune Response, Structural Stabilization, Epigenetic, Autophagy
GO Term: Entry Into Host Cell By A Symbiont-Containing Vacuole -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein K6-Linked Ubiquitination -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Extracellular Matrix Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Cardiac Muscle Cell Action Potential Involved In Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Vasculature, Oxidative Stress
GO Term: Cardiac Muscle Cell Contraction -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Cardiac Muscle Cell Contraction -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Voltage-Gated Calcium Channel Activity Involved In Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Membrane Repolarization -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Membrane Depolarization During Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Membrane Repolarization During Action Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: Membrane Depolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Vasculature
GO Term: Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Sa Node Cell Action Potential -> Biodomain: Cardiac Function, Electrophysiology, Cell Membrane Processes, Ion Homeostasis, Signal Transduction
GO Term: Av Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Gap Junction Channel Activity Involved In Sa Node Cell-Atrial Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Av Node Cell To Bundle Of His Cell Signaling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Signaling -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Calcium:Sodium Antiporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Depolarization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Bundle Of His Cell Action Potential -> Biodomain: Cardiac Conduction, Cardiac Physiology, Electrophysiology, Ion Channel Activity, Cardiac Tissue Structure
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Membrane Depolarization During Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Membrane Depolarization During Purkinje Myocyte Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Membrane Depolarization During Bundle Of His Cell Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Membrane Repolarization During Bundle Of His Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Membrane Repolarization During Sa Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Av Node Cell To Bundle Of His Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Purkinje Myocyte To Ventricular Cardiac Muscle Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Voltage-Gated Calcium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Calcium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Synapse, Vasculature
GO Term: Voltage-Gated Calcium Channel Activity Involved Sa Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Av Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Voltage-Gated Sodium Channel Activity Involved In Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Voltage-Gated Sodium Channel Activity Involved In Purkinje Myocyte Action Potential -> Biodomain: Ion Channel, Cardiac Conduction, Membrane Depolarization, Electrophysiology, Cardiovascular
GO Term: Voltage-Gated Sodium Channel Activity Involved In Sa Node Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cell Communication Involved In Cardiac Conduction -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Atrial Cardiac Muscle Cell To Av Node Cell Communication -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Autophagy
GO Term: Av Node Cell To Bundle Of His Cell Communication -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Bundle Of His Cell To Purkinje Myocyte Communication -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sa Node Cell To Atrial Cardiac Muscle Cell Communication -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Av Node Cell-Bundle Of His Cell Adhesion Involved In Cell Communication -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Bundle Of His Cell-Purkinje Myocyte Adhesion Involved In Cell Communication -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Gap Junction Channel Activity Involved In Cardiac Conduction Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Gap Junction Channel Activity Involved In Atrial Cardiac Muscle Cell-Av Node Cell Electrical Coupling -> Biodomain: Structural Stabilization, Synapse, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Gap Junction Channel Activity Involved In Av Node Cell-Bundle Of His Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Oxidative Stress
GO Term: Gap Junction Channel Activity Involved In Bundle Of His Cell-Purkinje Myocyte Electrical Coupling -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Gap Junction Channel Activity Involved In Purkinje Myocyte-Ventricular Cardiac Muscle Cell Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Protein Binding Involved In Heterotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Cell Adhesive Protein Binding Involved In Av Node Cell-Bundle Of His Cell Communication -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Cell Adhesive Protein Binding Involved In Bundle Of His Cell-Purkinje Myocyte Communication -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Voltage-Gated Potassium Channel Activity Involved In Bundle Of His Cell Action Potential Repolarization -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity Involved In Atrial Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: Voltage-Gated Potassium Channel Activity Involved In Sa Node Cell Action Potential Repolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Regulation Of Heart Rate By Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of The Force Of Heart Contraction By Cardiac Conduction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Phospholipase C-Activating Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Angiotensin-Activated Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Epigenetic
GO Term: Endothelin Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: G Protein-Coupled Receptor Signaling Pathway Involved In Heart Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: U2Af Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: L-Histidine Transmembrane Export From Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Histidine Transmembrane Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Trna (L-Threonylcarbamoyladenosine(37)-C2) Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Amino Acid Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Caspase Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Primitive Streak Formation -> Biodomain: Developmental Biology, Morphogenesis, Embryonic Development, Cell Differentiation, Pattern Specification
GO Term: Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Synapse, Vasculature, Proteostasis
GO Term: Positive Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Neutrophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Steroid Hormone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Chaperone-Mediated Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Protein Aggregation, Mitochondrial Metabolism
GO Term: Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Protein Kinase C Signaling -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Cell Death, Cell Differentiation, Kinase Signaling
GO Term: Negative Regulation Of Protein Kinase C Signaling -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Immune Response
GO Term: Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Tubulin Deacetylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Microtubule Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Regulation Of Thalamus Size -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Vasculature
GO Term: Positive Regulation Of Cell Cycle Process -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Ribosome Biogenesis -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Negative Regulation Of Ribosome Biogenesis -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Negative Regulation Of Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Relaxation Of Muscle -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Synapse
GO Term: Relaxation Of Skeletal Muscle -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis
GO Term: Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Mapkkk Cascade By Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Inclusion Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Ubiquitin Proteasome System, Apoptosis
GO Term: Negative Regulation Of Protein Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Canonical Wnt Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Extracellular Matrix Disassembly -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Signal Transduction, Cell Communication, Kinase Activity, Regulation of Signaling, Cell Signaling
GO Term: Metanephric Cap Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Immune Response
GO Term: Positive Regulation Of Metanephric Cap Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Cochlea Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Epigenetic
GO Term: Cochlea Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Myelination
GO Term: Pancreatic Epsilon Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature, Structural Stabilization
GO Term: Copii-Coated Vesicle Cargo Loading -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Copii-Coated Vesicle Budding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Endosome To Lysosome Transport Of Low-Density Lipoprotein Particle -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Vesicle-Mediated Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Cholesterol Ester Hydrolysis Involved In Cholesterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein-Containing Complex Assembly Involved In Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synapse Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Mesenchyme Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Epithelium Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Immune Response
GO Term: Mesendoderm Migration -> Biodomain: Developmental Biology, Cell Motility, Cytoskeleton Organization, Cell Adhesion, Developmental Processes
GO Term: Cell Migration Involved In Mesendoderm Migration -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Actin Filament Branching -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Epithelial Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Synapse, Vasculature
GO Term: Regulation Of Actin Cytoskeleton Organization By Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Fission -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Membrane Fission -> Biodomain: Endolysosome, Autophagy, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Mitochondrial Membrane Fission -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Establishment Of Protein Localization To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Establishment Of Protein Localization To Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
