Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Protein Oligomerization -> Biodomain: Proteostasis, Apoptosis, Autophagy, Synapse, Structural Stabilization
GO Term: Negative Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Protein Homooligomerization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Golgi Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Endoplasmic Reticulum Calcium Ion Concentration -> Biodomain: Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Golgi Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Cytoplasmic Side Of Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Otolith Morphogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Otolith Formation -> Biodomain: Mineral Homeostasis, Structural Stabilization, Developmental Process, Ion Homeostasis, Cell Adhesion
GO Term: Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Heterotetrameric Polyprenyl Diphosphate Synthase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Type I Interferon Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Rab Protein Signal Transduction -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Rab Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Ral Protein Signal Transduction -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Ral Protein Signal Transduction -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Intracellular Transport, Cell Communication, Regulation of Cellular Processes
GO Term: Rap Protein Signal Transduction -> Biodomain: Synapse, Immune Response, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Rap Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Cdc42 Protein Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Synapse, Vasculature, Structural Stabilization
GO Term: Regulation Of Cdc42 Protein Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Detection Of Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Detection Of Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Response To Bacterial Lipoprotein -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Response To Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Lipopolysaccharide -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Detection Of Lipopolysaccharide -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Detection Of Muramyl Dipeptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Detection Of Peptidoglycan -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Muramyl Dipeptide Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Developmental Process -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Synapse, Autophagy
GO Term: Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Maintenance Of Protein Location In Cell -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Endosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, APP Metabolism
GO Term: Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Somite Rostral/Caudal Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Response To Retinoic Acid -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Protein Exit From Endoplasmic Reticulum -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Microvillus Organization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Regulation Of Microvillus Length -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Adhesion
GO Term: Regulation Of Microvillus Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Cellular Component Size -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Cell Projection Size -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Proteostasis
GO Term: Cortical Endoplasmic Reticulum -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sulfiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Translation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Curi Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Ribonucleoside Binding -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Ribonucleotide Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyrimidine Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Pyrimidine Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Adenyl Deoxyribonucleotide Binding -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Autophagy
GO Term: Adenyl Ribonucleotide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Guanyl Ribonucleotide Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle
GO Term: Datp Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Dgtp Binding -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Response To Progesterone -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Immune Response, Vasculature
GO Term: Response To Vitamin K -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 5'-3' Rna Helicase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Golgi Cisterna Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Er-Dependent Peroxisome Organization -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Growth Cone Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Multivesicular Body Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Ruffle Membrane -> Biodomain: Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Trans-Golgi Network Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Myelination
GO Term: Neuron Projection Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Dendrite Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Dendritic Spine Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Insulin-Responsive Compartment -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Protein Transport Into Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: B Cell Receptor Transport Into Membrane Raft -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse
GO Term: Chemokine Receptor Transport Out Of Membrane Raft -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Regulation Of Chemokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Innate Immunity, Cytokine Signaling, Cellular Stress Response, Viral Response
GO Term: Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Oxidative Stress
GO Term: Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Immune System Processes, Cell Signaling
GO Term: Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chemokine Production -> Biodomain: Immune Response, Cytokine Production, Inflammatory Response, Immune Regulation, Cell Signaling
GO Term: Negative Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Hepatocyte Growth Factor Production -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-11 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-27 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Interleukin-7 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Negative Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Chemokine Production -> Biodomain: Immune Response, Inflammation, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Connective Tissue Growth Factor Production -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Fractalkine Production -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Granulocyte Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interferon-Alpha Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Interferon-Beta Production -> Biodomain: Immune Response, Immune Response, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Type Ii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Interleukin-1 Alpha Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-1 Beta Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Interleukin-1 Production -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-10 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-12 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-13 Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Interleukin-15 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-16 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-17 Production -> Biodomain: Immune Response, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Interleukin-18 Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-2 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-21 Production -> Biodomain: Immune Response, Inflammatory Response, Cytokine Signaling, Cell Activation, Regulation of Immune System Process
GO Term: Positive Regulation Of Interleukin-22 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-23 Production -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Interleukin-3 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-4 Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-5 Production -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Interleukin-6 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Interleukin-8 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Trail Production -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Tumor Necrosis Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Lymphotoxin A Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mast Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Epigenetic, Apoptosis
GO Term: Copper-Dependent Protein Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Piccolo Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Atp-Dependent Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Super Elongation Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Regulation Of Dna-Templated Transcription Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Positive Regulation Of Dna-Templated Transcription, Elongation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Saturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Unsaturated Monocarboxylic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ribosome Disassembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Lead Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Creb Transcription Factor Activity -> Biodomain: Epigenetic, Synapse, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Gtpase Activating Protein Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Heterotrimeric G-Protein Binding -> Biodomain: Signal Transduction, Cell Communication, Cellular Signaling, GPCR Signaling, Molecular Binding
GO Term: Uropod Organization -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Synapse
GO Term: Smn Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Swi5-Sfr1 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Nuclear Structure
GO Term: Low-Density Lipoprotein Receptor Particle Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Vasculature, Apoptosis
GO Term: Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Low-Density Lipoprotein Particle Receptor Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Dna Ligase Iv Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Lacrimal Gland Development -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Autophagy
GO Term: Neuronal Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Sterol Response Element Binding -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Epinephrine Secretion -> Biodomain: Vasculature, Synapse, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Epinephrine Secretion -> Biodomain: Signaling, Stress Response, Neurotransmission, Endocrine, Cardiovascular
GO Term: Tumor Necrosis Factor Receptor Superfamily Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Synapse, Autophagy, Epigenetic, Mitochondrial Metabolism
GO Term: Positive Regulation Of Natural Killer Cell Activation -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Natural Killer Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Natural Killer Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
