Running with TEMP=0.9, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Negative Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Apoptosis
GO Term: Multiple Spine Synapse Organization, Single Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Amyloid-Beta Clearance By Transcytosis -> Biodomain: Vasculature, Endolysosome, APP Metabolism, Proteostasis, Immune Response
GO Term: Amyloid-Beta Clearance By Cellular Catabolic Process -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Glial Cell-Neuron Signaling -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Structural Stabilization
GO Term: Neuron-Glial Cell Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Microtubule Anchoring At Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Monocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Reactive Gliosis -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Regulation Of Transepithelial Transport -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Interleukin-37 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Cell-Cell Junction Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Negative Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Interleukin-34 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Regulation Of Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-32 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Extrasynaptic Signaling Via Gaba -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Poly-Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Fc Receptor-Mediated Immune Complex Endocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Glutathione Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Protein Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Protein De-2-Hydroxyisobutyrylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Nad-Dependent Protein Decrotonylase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Nad-Dependent Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, DNA Repair, Lipid Metabolism
GO Term: Ccacca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Apoptosis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Maternal-To-Zygotic Transition Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Sneeze Reflex -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Synapse, Autophagy
GO Term: Leydig Cell Proliferation -> Biodomain: Cell Cycle, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Sensory Perception Of Itch -> Biodomain: Synapse, Immune Response, Myelination, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Somatic Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Mitocytosis -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Neuropeptide Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Purine Nucleotide Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Sulfate:Chloride Antiporter Activity -> Biodomain: Endolysosome, Immune Response, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tmem240-Body -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Muramyl Dipeptide Kinase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Microfibril Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Macropinosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multi-Pass Transmembrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Multi-Pass Translocon Complex -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Surfactant Secretion -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Autophagy
GO Term: Ubiquitin Ligase Complex Scaffold Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Protein Degradation, Protein Processing, Autophagy
GO Term: Non-Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: G Protein-Coupled Glycine Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Iodide Channel Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Hypoxia-Inducible Factor-Proline Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Spermatid Cytoplasm Removal During Spermiation Of Flagellated Sperm -> Biodomain: Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Internal N(7)-Methylguanine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Internal Mrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Spliceosome-Depend Formation Of Circular Rna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Chordate Pharynx Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Trna (Guanine(10)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trna (Guanine(26)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna (Adenine(9)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna (Adenine(58)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Axonemal Microtubule Doublet Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Axonemal A Tubule Inner Sheath -> Biodomain: Structural Stabilization, Cytoskeleton Organization, Cellular Component Biogenesis, Organelle Organization, Macromolecular Complex Assembly
GO Term: Axonemal B Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Trna (Guanine(6)-N2)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: Trna (Guanine(7)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Bis(Monoacylglycero)Phosphate Synthase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Structural Constituent Of Nuclear Lamina -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Ph-Gated Sodium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Protein-Rna Covalent Cross-Linking Repair -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ph-Gated Monoatomic Ion Channel Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Protein-Dna Covalent Cross-Linking Activity -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Mrna Cap Methyltransferase Rnmt:Ramac Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Sperm Migration Through The Uterotubal Junction -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Bicarbonate Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Protein-Rna Sequence-Specific Adaptor Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Metal Binding and Homeostasis
GO Term: Phospholipase C-Activating Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Gdf15-Gfral Signaling Pathway -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Gdf15-Gfral Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Trna Pseudouridine(38-40) Synthase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna Pseudouridine(55) Synthase Activity -> Biodomain: Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Trna Pseudouridine(13) Synthase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Trna Pseudouridine(38/39) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Branched-Chain Alpha-Ketoacid Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cd27 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: S-Nitrosoglutathione Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Chromatin Looping -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: 2-Oxoadipate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxoadipate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Magnesium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Cellular Homeostasis, Organelle Biogenesis and Maintenance
GO Term: Dipeptide Uniporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Intestinal Iron Absorption -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Paracellular Transport -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Phospholipase C Activator Activity -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Paracellular Tight Junction Channel Activity -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Autophagosome-Dependent Secretion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Immune Response, Lipid Metabolism
GO Term: L-Lactate Dehydrogenase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Stereocilium Bundle Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Lipid Metabolism, Immune Response, Synapse, Vasculature, Cell Cycle
GO Term: Polyprenol Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Dolichal Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Polyprenal Reductase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Mitochondrial Disulfide Relay System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Mitochondrion-Mitochondrion Outer Membrane Tether Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Steroid Signaling, Receptor Signaling, Hormone Signaling, Cell Signaling, Transcription Regulation
GO Term: Glycine-Gated Cation Channel Activity -> Biodomain: Ion Channel, Synapse, Neurotransmission, Neuronal Signaling, Membrane Transport
GO Term: Beta-Arrestin-Dependent Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Endoplasmic Reticulum-Plasma Membrane Adaptor Activity -> Biodomain: Organelle Contact Sites, Lipid Metabolism, Molecular Function, Cellular Processes, Signaling
GO Term: Deacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Negative Regulation Of Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Rho-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: 3-Demethoxyubiquinone 3-Hydroxylase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: G-Quadruplex Unwinding Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Oligosaccharyltransferase Complex A -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Oligosaccharyltransferase Complex B -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Bile Acid-Gated Sodium Channel Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: U6 Snrna (Guanine-N(2))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Intac Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Integrator Complex Assembly -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Trna 5-Taurinomethyluridine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, RNA Spliceosome, Oxidative Stress
GO Term: Transcription Pausing By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Rna Polymerase Ii Transcription Initiation Surveillance -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Nadph-Iron-Sulfur [2Fe-2S] Protein Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Trna (Guanine(27)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle
GO Term: Complement Activation, Gzmk Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Stalled Ribosome Sensor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ankyrin-1 Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Ska Complex -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: L-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: L-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Proteinogenic Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Virus-Like Capsid -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Rna Ligase (Gtp) Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, DNA Repair
GO Term: Lysosome Fission -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Histone Methyltransferase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: S-Adenosyl-L-Methionine:S-Adenosyl-L-Homocysteine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S2 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, DNA Repair
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S7 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Broad Specificity Neutral L-Amino Acid:Basic L-Amino Acid Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Co-Transcriptional Mrna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Cytosolic Mrna Polyadenylation -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Co-Transcriptional Rna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleoside Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: K11-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Knl1/Spc105 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Membrane Bending Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: U6 Snrna 2'-O-Ribose Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Rqc-Trigger Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Immune Response
GO Term: Mitochondrial Small Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Inositol Phosphate Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Co-Transcriptional Lncrna 3' End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Lncrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Dol-P-Man:Glcn-Acyl-Pi Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Gpi Anchored Protein Biosynthesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Dolichol Phosphate Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Apoptosis
GO Term: Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Kinase C Activity -> Biodomain: Signaling, Kinase Signaling, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Proteostasis
