Running with TEMP=0.0, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 3500 to 3999
GO Term: Camp Response Element Binding Protein Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, APP Metabolism, Tau Homeostasis
GO Term: Procollagen-Lysine 5-Dioxygenase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature, Metal Binding and Homeostasis
GO Term: Protein-Tyrosine Sulfotransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Synapse, Endolysosome, Immune Response
GO Term: Pyridoxal Kinase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Tau Homeostasis
GO Term: Trna-Guanosine(34) Queuine Transglycosylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sarcosine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Sphingosine Kinase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Sulfite Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Sulfuric Ester Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Lipid Metabolism
GO Term: Diphosphoinositol-Polyphosphate Diphosphatase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Gamma-Glutamyl Carboxylase Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Udp-Galactose:Glucosylceramide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Tetracycline Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Translation Activator Activity -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Unknown, Autophagy
GO Term: Protoheme Ix Farnesyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: N-Acetyl-Beta-D-Glucosaminide Beta-(1,3)-Galactosyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Melatonin Receptor Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Tau Homeostasis
GO Term: Benzodiazepine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Unknown
GO Term: Monoamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Sucrose:Proton Symporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Sodium:Iodide Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Vasculature
GO Term: Bile Acid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Vasculature, Unknown
GO Term: Monoatomic Anion Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Sodium:Bicarbonate Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Vasculature
GO Term: Sodium:Potassium:Chloride Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Vasculature
GO Term: Secondary Active Organic Cation Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Organic Anion Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Folic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, DNA Repair, Epigenetic
GO Term: Folate:Monoatomic Anion Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Ammonium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: L-Ascorbate:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Acetyl-Coa Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Sodium-Dependent Multivitamin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Synapse
GO Term: Phosphatidylcholine Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Autophagy
GO Term: Phosphatidylinositol Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism, Synapse
GO Term: Taste Receptor Activity -> Biodomain: Unknown, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: G Protein-Coupled Peptide Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, APP Metabolism, Endolysosome
GO Term: Riboflavin Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: N-Acetyllactosaminide Beta-1,3-N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Oxidized Purine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Unknown, Epigenetic, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex Iv Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Proteasome Activator Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Proteasome Regulatory Particle, Base Subcomplex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Proteasome Regulatory Particle, Lid Subcomplex -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Visual Learning -> Biodomain: Synapse, Unknown, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Vasculature
GO Term: Epidermis Development -> Biodomain: Unknown, Immune Response, Vasculature, Epigenetic, Structural Stabilization
GO Term: Jun Kinase Kinase Activity -> Biodomain: Oxidative Stress, Tau Homeostasis, Apoptosis, Immune Response, Proteostasis
GO Term: P-Type Potassium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Abc-Type Xenobiotic Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Vasculature, Immune Response, Oxidative Stress
GO Term: Microtubule Severing Atpase Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Minus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Plus-End-Directed Microtubule Motor Activity -> Biodomain: Tau Homeostasis, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Jun Kinase Phosphatase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Regulation Of Synaptic Assembly At Neuromuscular Junction -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Male Gonad Development -> Biodomain: Unknown, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: Female Gonad Development -> Biodomain: Epigenetic,Cell Cycle,Endolysosome,Immune Response,Unknown
GO Term: Regulation Of Smoothened Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Endolysosome
GO Term: Regulation Of Toll Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Notch Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Photoreceptor Cell Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Anterior/Posterior Axis Specification, Embryo -> Biodomain: Unknown, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Regulator Activity -> Biodomain: Tau Homeostasis, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, APP Metabolism, Oxidative Stress
GO Term: Phosphorylase Kinase Regulator Activity -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Tau Homeostasis
GO Term: Alkylglycerone-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ether Lipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Myelination
GO Term: Peptidyl-Lysine Modification To Peptidyl-Hypusine -> Biodomain: Proteostasis, APP Metabolism, Synapse, Tau Homeostasis, Oxidative Stress
GO Term: Diuretic Hormone Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Pyridoxine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Guanosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Epsilon Dna Polymerase Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Chrac -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Granzyme-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Synapse
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Hormone-Mediated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Hormone Signaling, Signal Transduction, Oxidative Stress, Immune Response
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Apoptotic Mitochondrial Changes -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Ubiquitin-Like Modifier Activating Enzyme Activity -> Biodomain: Proteostasis, Tau Homeostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Carbohydrate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Hexose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: Rrna Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Unknown
GO Term: Rrna (Uridine-2'-O-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Unknown, RNA Spliceosome, Autophagy
GO Term: Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, APP Metabolism
GO Term: Lipopolysaccharide Metabolic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Phospholipid Biosynthetic Process -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Synapse
GO Term: Pyrimidine-Containing Compound Salvage -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: 2',3'-Cyclic-Nucleotide 2'-Phosphodiesterase Activity -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Unknown
GO Term: 2,4-Dienoyl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: 3-Demethoxyubiquinol 3-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Tau Homeostasis
GO Term: (R,S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Methionine Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Epigenetic
GO Term: 4-Phytase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Synapse
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Synapse, APP Metabolism
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Tau Homeostasis
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Lipid Metabolism, Synapse
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Unknown
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: APP Metabolism, Synapse, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Agmatinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: Arginine Decarboxylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Immune Response
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Unknown, APP Metabolism
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Unknown, Oxidative Stress
GO Term: Choline Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Apoptosis, Cell Cycle
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, APP Metabolism
GO Term: Datp Diphosphatase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Unknown, Proteostasis, APP Metabolism
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Glutamate Racemase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Autophagy
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, APP Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Guanine Deaminase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Endolysosome, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis, Endolysosome
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Tau Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Nitrate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Phosphopentomutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Synapse, Autophagy, Endolysosome
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Unknown
GO Term: Ribonuclease E Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Epigenetic, Synapse
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, APP Metabolism, Unknown, Proteostasis
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic,APP Metabolism,Tau Homeostasis,Immune Response,Proteostasis
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Thymidine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, APP Metabolism
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Oxidative Stress, Unknown
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, Unknown
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Catabolic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Tau Homeostasis
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metabolism, Proteostasis, Lipid Metabolism
GO Term: Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, APP Metabolism
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, APP Metabolism
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Methionine Catabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Glycoprotein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Endolysosome, Structural Stabilization
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
