Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Unknown, Proteostasis
GO Term: Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Oxidative Stress
GO Term: Ph Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Synapse, Immune Response
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Autophagy, Endolysosome, Proteostasis, APP Metabolism
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Mitochondrial Metabolism, Epigenetic, Vasculature, Oxidative Stress
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Circadian Rhythm, Sleep, Rhythmic Process, Behavior, Multicellular Organismal Process
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Synapse, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Synapse, Immune Response, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Eating Behavior -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Drinking Behavior -> Biodomain: Unknown, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Cell Cycle, Signal Transduction, Epigenetic, Proteostasis
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Trna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Autophagy, Unknown
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic,RNA Spliceosome,Cell Cycle,Proteostasis,DNA Repair
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: Epigenetic, RNA Spliceosome, Unknown, Cell Cycle, Proteostasis
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Unknown
GO Term: Fucose Binding -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Unknown
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Proteostasis, Cell Cycle
GO Term: Wnt Receptor Activity -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Immune Response, Autophagy
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pyridoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Tap Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Platelet Dense Granule -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Vasculature, Immune Response, Proteostasis
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Autophagy, Proteostasis
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Carbohydrate Metabolism, Lipid Metabolism, Small Molecule Metabolic Process, Metabolic Process
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Catabolic Process, Small Molecule Metabolic Process, Carboxylic Acid Metabolic Process
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Cysteine Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Amide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Tubulin Deacetylase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Tau Homeostasis
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Cell Cycle, Immune Response
GO Term: Xenobiotic Transport -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Epigenetic, Proteostasis
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Lipid Metabolism, Autophagy
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Neuromedin U Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Epigenetic
GO Term: Enterobactin Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Immune Response, Oxidative Stress, Proteostasis
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Immune Response, Oxidative Stress
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Dipeptide Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucoside Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Immune Response, Lipid Metabolism, Unknown
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Signal Transduction, Cell Surface Receptor, Regulation of Phosphorylation, Proteostasis
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism  
Proteostasis  
Tau Homeostasis  
Autophagy  
Endolysosome
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism  
Proteostasis  
Tau Homeostasis  
Endolysosome  
Synapse
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Unknown, Tau Homeostasis
GO Term: Cell Projection -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Vasculature
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Synapse, APP Metabolism, Endolysosome, Autophagy
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, APP Metabolism, Autophagy
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Vasculature, Lipid Metabolism, Synapse
GO Term: Neuron Projection -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, Myelination, Lipid Metabolism
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Structural Stabilization, Macromolecule Metabolism, Epigenetic, Primary Metabolism
GO Term: Atp-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Chordate Embryonic Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Camera-Type Eye Development -> Biodomain: Structural Stabilization, Unknown, Unknown, Unknown, Unknown
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Proteostasis, Synapse
GO Term: Gamma-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Nadph Oxidase Complex -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Ribosome Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism, Immune Response
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Neuronal Cell Body -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, RNA Spliceosome, Proteostasis
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Isoamylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Unknown
GO Term: Costamere -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Immune Response, Synapse, APP Metabolism
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Otic Placode Formation -> Biodomain: Structural Stabilization  
Developmental Process  
Synapse  
Cell Cycle  
Apoptosis
GO Term: Thermotaxis -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Unknown
GO Term: Extracellular Structure Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Intercellular Bridge Organization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Unknown
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, DNA Repair
GO Term: Germ Cell Nucleus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Structural Stabilization
GO Term: Megasporocyte Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Penile Erection -> Biodomain: Vasculature, Synapse, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Gtpase Activity -> Biodomain: Cell Cycle, Synapse, Immune Response, Endolysosome, Proteostasis
GO Term: Amino Acid Import -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, DNA Repair, Epigenetic
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Replication Fork Arrest -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Synapse, Immune Response, Autophagy, Endolysosome
GO Term: Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Neurotrophin Binding -> Biodomain: Synapse, Apoptosis, Growth Factor Signaling, Neuronal Survival, Neurogenesis
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Vasculature
GO Term: Surfactant Homeostasis -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown
GO Term: Erythrocyte Enucleation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Unknown, Unknown, Unknown, Unknown
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Oxidative Stress,Epigenetic,Mitochondrial Metabolism,Cell Cycle,Lipid Metabolism
GO Term: Acrosomal Matrix -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Acrosomal Lumen -> Biodomain: Secretory, Endolysosome, Vesicle Trafficking, Cell Adhesion, Golgi Apparatus
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Anion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism, Mitochondrial Metabolism
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, Autophagy
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Unknown
GO Term: Amine Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Epigenetic, Synapse
GO Term: Alcohol Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Unknown, Proteostasis, Endolysosome, Autophagy
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: P Granule -> Biodomain: Proteostasis, Autophagy, Synapse, Structural Stabilization, RNA Spliceosome
GO Term: H4/H2A Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
