Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Regulation Of Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Nuclear Cell Cycle Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Vascular Endothelial Growth Factor Production -> Biodomain: Vasculature, Immune Response, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Glutamine Secretion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Mirna Catabolic Process -> Biodomain: Autophagy, Endolysosome, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Cell Cycle, Vasculature
GO Term: Negative Regulation Of Lamellipodium Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Endothelial Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Macromolecule Metabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism, Epigenetic
GO Term: Positive Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Cytoplasmic Mrna Processing Body Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Post-Transcriptional Regulation Of Gene Expression -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Synapse
GO Term: Mrna Localization Resulting In Post-Transcriptional Regulation Of Gene Expression -> Biodomain: Synapse, Cell Cycle, Oxidative Stress, Myelination, Autophagy
GO Term: Regulation Of Mrna Stability Involved In Response To Stress -> Biodomain: Oxidative Stress, RNA Spliceosome, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Hypertrophy -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Transcription By Transcription Factor Localization -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Programmed Cell Death Involved In Cell Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Schwann Cell Proliferation -> Biodomain: Myelination  
Structural Stabilization  
Cell Cycle  
Synapse  
Immune Response
GO Term: Positive Regulation Of Gene Expression -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Epithelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization  
Cell Cycle  
Epigenetic  
Proteostasis  
Autophagy
GO Term: Positive Regulation Of Epithelial Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Mitochondrial Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Organelle Organization -> Biodomain: Autophagy, Endolysosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Cell Communication By Chemical Coupling -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Vasculature
GO Term: Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Communication -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Cell Communication -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Communication By Chemical Coupling -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Negative Regulation Of Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Striated Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress
GO Term: Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Cardiovascular, Cell Death, Regulation, Muscle Function
GO Term: Positive Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Ectodermal Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Cell Cycle
GO Term: Epithelial Structure Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Alkaline Phosphatase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Acetyltransferase Activator Activity -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Positive Regulation Of Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Meiotic Dna Double-Strand Break Processing Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Ganglioside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Membrane Lipid Dynamics, Glycolipid Metabolism, Sphingolipid Metabolism, Endolysosome
GO Term: Globoside Biosynthetic Process Via Lactosylceramide -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Structural Stabilization
GO Term: Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Negative Regulation Of Collagen Catabolic Process -> Biodomain: Structural Stabilization  
Proteostasis  
Vasculature  
Immune Response  
Endolysosome
GO Term: Regulation Of Collagen Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Epigenetic
GO Term: Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Negative Regulation Of Extracellular Matrix Disassembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Synapse
GO Term: Negative Regulation Of Cell Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Definitive Erythrocyte Differentiation -> Biodomain: Immune Response, Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Homeostatic Process
GO Term: Regulation Of Primitive Erythrocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Glutathionylation -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Serum Response Element Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein Kinase A Signaling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Protein Kinase A Signaling -> Biodomain: Signal Transduction, Kinase Signaling, Cell Signaling, Intracellular Signaling, Regulation of Signaling
GO Term: Positive Regulation Of Protein Kinase A Signaling -> Biodomain: Signal Transduction, Cellular Processes, Response to Stimulus, Regulation of Biological Process, Intracellular Signaling
GO Term: Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Macrophage Derived Foam Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Synapse, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nitric Oxide Mediated Signal Transduction -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Apoptosis
GO Term: Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Autophagy
GO Term: Positive Regulation Of Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cgmp-Mediated Signaling -> Biodomain: Proteostasis, Vasculature, Synapse, Oxidative Stress, Immune Response
GO Term: Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Protein Metabolic Process, Immune Response, Vasculature, Apoptosis
GO Term: Positive Regulation Of Plasminogen Activation -> Biodomain: Proteostasis  
APP Metabolism  
Vasculature  
Immune Response  
Structural Stabilization
GO Term: Negative Regulation Of Plasminogen Activation -> Biodomain: Proteostasis, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Fibroblast Migration -> Biodomain: Cell Motility, Cell Cycle, Structural Stabilization, Immune Response, Vasculature
GO Term: Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Fibroblast Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Fibroblast Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Myelination, Structural Stabilization
GO Term: Negative Regulation Of Sodium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Myelination, Structural Stabilization
GO Term: Meiotic Strand Invasion Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Meiotic Dna Double-Strand Break Formation Involved In Reciprocal Meiotic Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Meiotic Sister Chromatid Cohesion Involved In Meiosis I -> Biodomain: Cell Cycle, Chromosome Organization, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Dna Double-Strand Break Processing Involved In Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Regulation Of Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Peptidyl-Threonine Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Inflammation, Cell Survival, Signal Transduction
GO Term: Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Priming -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Positive Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Negative Regulation Of Cell-Substrate Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Neuropeptide Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Lipid Metabolism, Autophagy
GO Term: Substance P Catabolic Process -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Bradykinin Catabolic Process -> Biodomain: Proteostasis, Immune Response, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Calcitonin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Hormone Levels -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Cell Cycle
GO Term: T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Cell Motility, Regulation, Response to Stimuli, Adaptive Immunity
GO Term: Positive Regulation Of T Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Autophagy
GO Term: Regulation Of Mitochondrion Organization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Centrosome Duplication -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle  
Structural Stabilization  
Autophagy  
Proteostasis  
Apoptosis
GO Term: Negative Regulation Of Myotube Differentiation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Telomere Maintenance Via Telomere Lengthening -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Adp-Ribosylation -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Keratinocyte Proliferation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Epigenetic, Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Circadian Sleep/Wake Cycle, Wakefulness -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Retina Layer Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Myelination
GO Term: Recombination Hotspot Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Reciprocal Meiotic Recombination -> Biodomain: DNA Repair  
Cell Cycle  
Epigenetic  
Structural Stabilization  
Proteostasis
GO Term: Regulation Of Proton-Transporting Atpase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Adenylate Cyclase Regulator Activity -> Biodomain: Synapse, Immune Response, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Adenylate Cyclase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Autophagy
GO Term: Adenylate Cyclase Activator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Calcium-Dependent Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Synapse, Autophagy
GO Term: Calcium-Dependent Cysteine-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Cholesterol Efflux -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Structural Stabilization, Endolysosome
GO Term: Lipid Localization -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Lipid Transport Involved In Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Cholesterol Storage -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cholesterol Transport Involved In Cholesterol Storage -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion -> Biodomain: Muscle System, Metal Binding and Homeostasis, Intracellular Signaling, Muscle Contraction, Cardiovascular System
GO Term: Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, APP Metabolism, Myelination
GO Term: Negative Regulation Of Cholesterol Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lipid Storage -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Triglyceride Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Phosphatidylcholine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Autophagy
