Running with TEMP=0.1, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Neuroinflammatory Response -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Multiple Spine Synapse Organization, Single Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome
GO Term: Amyloid-Beta Clearance By Transcytosis -> Biodomain: Vasculature, APP Metabolism, Endolysosome, Proteostasis, Immune Response
GO Term: Amyloid-Beta Clearance By Cellular Catabolic Process -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Glial Cell-Neuron Signaling -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Neuron-Glial Cell Signaling -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Regulation Of Microtubule Anchoring At Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Negative Regulation Of Monocyte Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Reactive Gliosis -> Biodomain: Immune Response, Oxidative Stress, Structural Stabilization, Apoptosis, Autophagy
GO Term: Transport Across Blood-Brain Barrier -> Biodomain: Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis
GO Term: Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Cell-Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Regulation Of Transepithelial Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Cell-Substrate Junction Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Interleukin-33 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-37 Production -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Endolysosome
GO Term: Cell-Cell Junction Disassembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Interleukin-17A Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Interleukin-34 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Phosphatidylcholine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Phosphatidylethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Interleukin-32 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Extrasynaptic Signaling Via Gaba -> Biodomain: Synapse, Neurotransmission, Neuroprotection, Synaptic Plasticity, Excitation/Inhibition Balance
GO Term: Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Poly-Adp-D-Ribose Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Fc Receptor-Mediated Immune Complex Endocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Glutathione Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Protein Decrotonylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Histone Decrotonylase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein De-2-Hydroxyisobutyrylase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Nad-Dependent Protein Decrotonylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Nad-Dependent Histone Decrotonylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Ccacca Trna Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Ferroptosis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Maternal-To-Zygotic Transition Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Sneeze Reflex -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Leydig Cell Proliferation -> Biodomain: Steroid Metabolism, Cell Cycle, Gonadal, Reproductive, Development
GO Term: Sensory Perception Of Itch -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Inflammatory Response, Innate Immunity, Cell Death
GO Term: Somatic Sensory System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Mitocytosis -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Neuropeptide Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Purine Nucleotide Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Synapse, Endolysosome
GO Term: Sulfate:Chloride Antiporter Activity -> Biodomain: Endolysosome, Vasculature, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Tmem240-Body -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Muramyl Dipeptide Kinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cgas/Sting Signaling Pathway -> Biodomain: Immune Response, DNA Repair, Oxidative Stress, Autophagy, Proteostasis
GO Term: Microfibril Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Macropinosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multi-Pass Transmembrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Multi-Pass Translocon Complex -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Surfactant Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Ubiquitin Ligase Complex Scaffold Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Non-Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Non-Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Lipid Droplet Fusion -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: G Protein-Coupled Glycine Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Iodide Channel Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Hypoxia-Inducible Factor-Proline Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Spermatid Cytoplasm Removal During Spermiation Of Flagellated Sperm -> Biodomain: Autophagy, Proteostasis, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Internal N(7)-Methylguanine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Internal Mrna (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: Spliceosome-Depend Formation Of Circular Rna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Chordate Pharynx Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Trna (Guanine(10)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Trna (Guanine(26)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Trna (Adenine(9)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Trna (Adenine(58)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Axonemal Microtubule Doublet Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Tau Homeostasis, Cell Cycle
GO Term: Axonemal A Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy, Endolysosome
GO Term: Axonemal B Tubule Inner Sheath -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Trna (Guanine(6)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna (Guanine(7)-N2)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Bis(Monoacylglycero)Phosphate Synthase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Structural Constituent Of Nuclear Lamina -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Ph-Gated Sodium Channel Activity -> Biodomain: Endolysosome, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein-Rna Covalent Cross-Linking Repair -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Oxidative Stress
GO Term: Ph-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein-Dna Covalent Cross-Linking Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Mrna Cap Methyltransferase Rnmt:Ramac Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Immune Response
GO Term: Sperm Migration Through The Uterotubal Junction -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Bicarbonate Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Protein-Rna Sequence-Specific Adaptor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Phospholipase C-Activating Endothelin Receptor Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Gdf15-Gfral Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Gdf15-Gfral Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Trna Pseudouridine(38-40) Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna Pseudouridine(55) Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Trna Pseudouridine(13) Synthase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Epigenetic
GO Term: Trna Pseudouridine(38/39) Synthase Activity -> Biodomain: Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Branched-Chain Alpha-Ketoacid Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Cd27 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: S-Nitrosoglutathione Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Chromatin Looping -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: 2-Oxoadipate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxoadipate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Magnesium Ion Transport From Cytosol To Endoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Dipeptide Uniporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, APP Metabolism, Lipid Metabolism
GO Term: Intestinal Iron Absorption -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Vasculature, Oxidative Stress, Proteostasis
GO Term: Paracellular Transport -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Phospholipase C Activator Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Cell Signaling, Intracellular Signaling, Molecular Function
GO Term: Paracellular Tight Junction Channel Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Autophagosome-Dependent Secretion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: L-Lactate Dehydrogenase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Stereocilium Bundle Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Phospholipase C/Protein Kinase C Signal Transduction -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle, Vasculature
GO Term: Polyprenol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dolichal Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Polyprenal Reductase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Mitochondrial Disulfide Relay System -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Mitochondrion-Mitochondrion Outer Membrane Tether Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Androgen Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycine-Gated Cation Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Beta-Arrestin-Dependent Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum-Plasma Membrane Adaptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Deacylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein Lysine Delactylase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transcription Initiation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Pyruvate Decarboxylation To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Rho-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Lipid Metabolism
GO Term: 3-Demethoxyubiquinone 3-Hydroxylase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: G-Quadruplex Unwinding Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Oligosaccharyltransferase Complex A -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Oligosaccharyltransferase Complex B -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Bile Acid-Gated Sodium Channel Activity -> Biodomain: Lipid Metabolism, Ion Transport, Signaling, Digestion, Detoxification
GO Term: U6 Snrna (Guanine-N(2))-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Intac Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Integrator Complex Assembly -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Trna 5-Taurinomethyluridine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Transcription Pausing By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Ii Transcription Initiation Surveillance -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Nadph-Iron-Sulfur [2Fe-2S] Protein Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Trna (Guanine(27)-N2)-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Complement Activation, Gzmk Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Stalled Ribosome Sensor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Ankyrin-1 Complex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Ska Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: L-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Proteinogenic Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Virus-Like Capsid -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Structural Stabilization, APP Metabolism
GO Term: Rna Ligase (Gtp) Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Lysosome Fission -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Histone Methyltransferase Inhibitor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: S-Adenosyl-L-Methionine:S-Adenosyl-L-Homocysteine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S2 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, APP Metabolism
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S5 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Rna Polymerase Ii Ctd Heptapeptide Repeat S7 Phosphatase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization
GO Term: Broad Specificity Neutral L-Amino Acid:Basic L-Amino Acid Antiporter Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Co-Transcriptional Mrna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Cytosolic Mrna Polyadenylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Co-Transcriptional Rna 3'-End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Nucleoside Import Across Plasma Membrane -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Immune Response
GO Term: K11-Linked Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Knl1/Spc105 Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Membrane Bending Activity -> Biodomain: Endolysosome, Autophagy, Synapse, Immune Response, Lipid Metabolism
GO Term: U6 Snrna 2'-O-Ribose Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Rqc-Trigger Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, Endolysosome, Apoptosis
GO Term: Mitochondrial Small Ribosomal Subunit Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Inositol Phosphate Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Co-Transcriptional Lncrna 3' End Processing, Cleavage And Polyadenylation Pathway -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Lncrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Dol-P-Man:Glcn-Acyl-Pi Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Gpi Anchored Protein Biosynthesis -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Dolichol Phosphate Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Vasculature
GO Term: Positive Regulation Of Serine-Type Endopeptidase Activity -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Corticotropin-Releasing Hormone Receptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Epigenetic
GO Term: Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Endolysosome
GO Term: Negative Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Cytokine Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Kinase C Activity -> Biodomain: Signaling Pathways, Proteostasis, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Regulation Of Ruffle Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Autophagy, Proteostasis
