Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Myelination
GO Term: Oxidoreductase Activity, Acting On Ch-Oh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Malate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Oh Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: 4-Oxoproline Reductase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Hydroxypyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Ch Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Nad Or Nadp As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh2 Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Activity, Acting On The Ch-Nh Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Nad(P)H -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Heme Protein As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Quinone Or Similar Compound As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxidoreductase Activity, Acting On Other Nitrogenous Compounds As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Nad(P) As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Diphenols And Related Substances As Donors, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Peroxide As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Single Donors With Incorporation Of Molecular Oxygen, Incorporation Of Two Atoms Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: 2-Oxoglutarate-Dependent Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Nad(P)H As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Flavonoid 3'-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Pteridine As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Ascorbate As One Donor, And Incorporation Of One Atom Of Oxygen -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Oxidoreductase Activity, Acting On Paired Donors, With Oxidation Of A Pair Of Donors Resulting In The Reduction Of Molecular Oxygen To Two Molecules Of Water -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Nad Or Nadp As Acceptor -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Metal Ions, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Oxidoreductase Activity, Acting On Ch Or Ch2 Groups, Disulfide As Acceptor -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle
GO Term: Transferase Activity, Transferring One-Carbon Groups -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Carboxyl- Or Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Transketolase Or Transaldolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, DNA Repair, Metal Binding and Homeostasis
GO Term: Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Autophagy
GO Term: Aminoacyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Glycosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism, Autophagy
GO Term: Hexosyltransferase Activity -> Biodomain: Lipid Metabolism, Unknown, Proteostasis, Autophagy, Endolysosome
GO Term: Pentosyltransferase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Transferase Activity, Transferring Alkyl Or Aryl (Other Than Methyl) Groups -> Biodomain: DNA Repair, Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Spermine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Transferase Activity, Transferring Phosphorus-Containing Groups -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Phosphotransferase Activity, Alcohol Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle
GO Term: Phosphotransferase Activity, Phosphate Group As Acceptor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleotidyltransferase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Unknown
GO Term: Phosphotransferase Activity, For Other Substituted Phosphate Groups -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: 3-Mercaptopyruvate Sulfurtransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Hydrolase Activity, Acting On Ester Bonds -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Thiolester Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Triphosphoric Monoester Hydrolase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Glycosyl Bonds -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Hydrolase Activity, Hydrolyzing N-Glycosyl Compounds -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Epigenetic, Proteostasis
GO Term: Ether Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Dipeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cysteine-Type Carboxypeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amidines -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amidines -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Hydrolase Activity, Acting On Acid Anhydrides, In Phosphorus-Containing Anhydrides -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Lyase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome
GO Term: Carbon-Carbon Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Carboxy-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Aldehyde-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxo-Acid-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Hydro-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Carbon-Sulfur Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: 1-Aminocyclopropane-1-Carboxylate Synthase Activity -> Biodomain: Epigenetic, Unknown, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Phosphorus-Oxygen Lyase Activity -> Biodomain: Metal Binding and Homeostasis, DNA Repair, RNA Spliceosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Racemase And Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Intramolecular Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Intramolecular Oxidoreductase Activity, Transposing C=C Bonds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Intramolecular Transferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Intramolecular Phosphotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Unknown
GO Term: Ligase Activity -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Ligase Activity, Forming Carbon-Sulfur Bonds -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Acid-Thiol Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ligase Activity, Forming Carbon-Nitrogen Bonds -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Acid-Amino Acid Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Unknown
GO Term: Carbon-Nitrogen Ligase Activity, With Glutamine As Amido-N-Donor -> Biodomain: Mitochondrial Metabolism, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Ligase Activity, Forming Carbon-Carbon Bonds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Ligase Activity, Forming Phosphoric Ester Bonds -> Biodomain: DNA Repair, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Atp Hydrolysis Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Dna Endonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dna Endonuclease Activity, Producing 3'-Phosphomonoesters -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Rna Endonuclease Activity Producing 5'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Autophagy, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Rna Endonuclease Activity Producing 3'-Phosphomonoesters, Hydrolytic Mechanism -> Biodomain: RNA Spliceosome, Immune Response, Autophagy, Proteostasis, Endolysosome
GO Term: Rna Exonuclease Activity, Producing 5'-Phosphomonoesters -> Biodomain: RNA Spliceosome, Immune Response, Autophagy, Endolysosome, Proteostasis
GO Term: Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: G Protein-Coupled Acetylcholine Receptor Activity -> Biodomain: Synapse, Unknown, Immune Response, Vasculature, Proteostasis
GO Term: Follicle-Stimulating Hormone Activity -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Unknown, Apoptosis
GO Term: Follicle-Stimulating Hormone Complex -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Cell Cycle, Epigenetic
GO Term: Gaba Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Retinal Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pyroglutamyl-Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Tau Homeostasis
GO Term: Nuclear Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, Immune Response
GO Term: Protein Sumoylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Protein Desumoylation -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Desumoylase Activity -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Extracellularly Glycine-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Extracellularly Glycine-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Glycine-Gated Chloride Channel Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Galactoside Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Short-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Kinesin I Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Kinesin Ii Complex -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Natriuretic Peptide Receptor Activity -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Proteostasis, Apoptosis
GO Term: Insulin-Like Growth Factor Binding Protein Complex -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Apoptosis, Immune Response
GO Term: Alpha-2 Macroglobulin Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Immune Response, Apoptosis, Vasculature
GO Term: Flavin-Dependent Sulfhydryl Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Unknown
GO Term: Thiol Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Poly(A)+ Mrna Export From Nucleus -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Lipoate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Alpha-Sialidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Antibiotic Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Activin Receptor Activity -> Biodomain: Signaling, Cell Communication, Growth Factor, Cell Cycle, Developmental Processes
GO Term: Cytochrome Complex Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: 3'-Tyrosyl-Dna Phosphodiesterase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Map Kinase Tyrosine/Serine/Threonine Phosphatase Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Epigenetic
GO Term: Myosin Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Myosin Phosphatase Regulator Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Myosin Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Proteostasis
GO Term: Myosin I Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Tbp-Class Protein Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Protein Import -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: N-Acylsphingosine Amidohydrolase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Glycosylceramidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Corticotropin-Releasing Hormone Activity -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Peptide Hormone Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Transcription Repressor Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Cofactor 2 Complex -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Unknown
GO Term: Negative Regulation Of Rna Polymerase Ii Transcription Preinitiation Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, DNA Repair
GO Term: Structural Constituent Of Nuclear Pore -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Unknown, Epigenetic
GO Term: 6-Phosphogluconolactonase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Serine Palmitoyltransferase Complex -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: 3-Galactosyl-N-Acetylglucosaminide 4-Alpha-L-Fucosyltransferase Activity -> Biodomain: Glycosylation, Carbohydrate Metabolism, Glycobiology, Protein Modification, Proteostasis
GO Term: S-Methyl-5-Thioadenosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Fatty Acid Amide Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response
GO Term: Single-Strand Selective Uracil Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Snrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Unknown
GO Term: U6 Snrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: Intracellular Cyclic Nucleotide Activated Cation Channel Complex -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Vasculature, Endolysosome
GO Term: Syntaxin-1 Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Purine Nucleotide Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Oxidative Phosphorylation Uncoupler Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Sodium Channel Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Chloride Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Endolysosome, Proteostasis, Unknown
GO Term: 4-Galactosyl-N-Acetylglucosaminide 3-Alpha-L-Fucosyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Response To Insecticide -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Immune Response
GO Term: Mitochondrial Processing Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
