Running with TEMP=0.5, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Embryonic Heart Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Neural Crest Cell Migration Involved In Heart Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Outflow Tract Septum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Membranous Septum Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Muscular Septum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Epigenetic, Apoptosis
GO Term: Outflow Tract Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of Animal Organ Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Endocardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Endocardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Cardiac Conduction System Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Atrioventricular Node Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Synapse, Apoptosis
GO Term: Sinoatrial Node Development -> Biodomain: ERROR: Expecting value: line 10 column 1 (char 9)
GO Term: Purkinje Myocyte Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, DNA Repair
GO Term: Bundle Of His Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Atrioventricular Bundle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Purkinje Myocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Epigenetic, Proteostasis
GO Term: Coronary Vein Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Heart Valve Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Atrioventricular Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Sinoatrial Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Mitral Valve Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Tricuspid Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Aortic Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Immune Response
GO Term: Pulmonary Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Heart Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Aortic Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Atrioventricular Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Coronary Sinus Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Mitral Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Pulmonary Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Sinoatrial Valve Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Synapse
GO Term: Tricuspid Valve Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Aortic Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Atrioventricular Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mitral Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Pulmonary Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Tricuspid Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Endocardial Cushion Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Epigenetic
GO Term: Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Cardiac Chamber Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cardiac Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Muscle System, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiac Atrium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cardiac Atrium Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiac Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cardiac Right Atrium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Cardiac Left Ventricle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Cardiac Right Ventricle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Muscle System, Organ Morphogenesis, Cardiovascular Development
GO Term: Cardiac Left Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cardiac Right Ventricle Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Left Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Right Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Ventricular Trabecula Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Muscle Function, Developmental Biology, Anatomical Structure Morphogenesis, Cardiovascular System
GO Term: Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Right Ventricular Compact Myocardium Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Atrial Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Vasculature
GO Term: Ventricular Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cardiac Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Sinus Venosus Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Growth Involved In Heart Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Metal Binding and Homeostasis
GO Term: Cardiac Chamber Ballooning -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cardiac Muscle Tissue Growth Involved In Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Proliferation Involved In Heart Valve Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Synapse, Epigenetic
GO Term: Regulation Of Membrane Depolarization -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Cardioblast Anterior-Lateral Migration -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cardioblast Migration -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Notch Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Vasculature
GO Term: Smoothened Signaling Pathway Involved In Regulation Of Secondary Heart Field Cardioblast Proliferation -> Biodomain: Vasculature, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cell Migration Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Endocardial Cushion Fusion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Apoptotic Process Involved In Endocardial Cushion Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism
GO Term: Apoptotic Process Involved In Heart Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Cardiac Septum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Ventricular Septum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Atrial Septum Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Septum Primum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Septum Secundum Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Atrial Septum Primum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Atrial Septum Secundum Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Autophagy
GO Term: Atrial Ventricular Junction Remodeling -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cardiac Muscle Hypertrophy -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Wnt Signaling Pathway Involved In Heart Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: Type B Pancreatic Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Pancreatic A Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Endolysosome
GO Term: Pancreatic D Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Pancreatic A Cell Development -> Biodomain: Cell Cycle, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Type B Pancreatic Cell Development -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Pancreatic A Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Structural Stabilization
GO Term: Type B Pancreatic Cell Fate Commitment -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pancreatic Pp Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Extracellular Matrix Constituent Secretion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Epigenetic
GO Term: Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Proteostasis, Endolysosome
GO Term: Keratinocyte Development -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Corneocyte Development -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Corneocyte Desquamation -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Developmental Biology, Cell Differentiation, Organogenesis, Morphogenesis, Tissue Development
GO Term: Cilium Movement -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Proepicardium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Proepicardium Cell Migration Involved In Pericardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Pulmonary Myocardium Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism
GO Term: Epithelial Cilium Movement Involved In Extracellular Fluid Movement -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Cilium Movement -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Cilium Beat Frequency -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Noradrenergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Noradrenergic Neuron Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Noradrenergic Neuron Fate Commitment -> Biodomain: Epigenetic, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Brainstem Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Lamellipodium Assembly Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Establishment Of Cell Polarity Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Cell-Matrix Adhesion Involved In Ameboidal Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Autophagy
GO Term: Sphingosine-1-Phosphate Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Epithelial Cell Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Apical Constriction -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Copii Vesicle Coating -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Axis Elongation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Optic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Epigenetic
GO Term: Retinal Pigment Epithelium Development -> Biodomain: Visual System, Endolysosome, Phototransduction, Vasculature, Structural Stabilization
GO Term: Neural Retina Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Optic Cup Formation Involved In Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Optic Cup Structural Organization -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Proteostasis, Synapse
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity Involved In Camera-Type Eye Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Vasculature, Mitochondrial Metabolism
GO Term: Chondrocyte Differentiation Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Chondrocyte Hypertrophy -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Epigenetic
GO Term: Endochondral Bone Growth -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Growth Plate Cartilage Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Growth Plate Cartilage Axis Specification -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Growth Plate Cartilage Chondrocyte Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Growth Plate Cartilage Chondrocyte Growth -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Growth Plate Cartilage Chondrocyte Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Chondrocyte Development Involved In Endochondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Molecular Function -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nucleic Acid Binding -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Cell Cycle, Immune Response
GO Term: Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Mitochondrial Metabolism
GO Term: Minor Groove Of Adenine-Thymine-Rich Dna Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Bent Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Chromatin Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Damaged Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Replication Origin Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Clamp Loader Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Double-Stranded Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Double-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Left-Handed Z-Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Satellite Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Single-Stranded Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Dna-Binding Transcription Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Nuclear Steroid Receptor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Transcription Elongation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Transcription Coregulator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Transcription Coactivator Activity -> Biodomain: Epigenetic, Transcriptional Regulation, Chromatin Organization, DNA Repair, Cell Cycle
GO Term: Transcription Corepressor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Telomerase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Rna Helicase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Double-Stranded Rna Binding -> Biodomain: Immune Response, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Double-Stranded Rna Adenosine Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Single-Stranded Rna Binding -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Synapse
GO Term: Mrna 3'-Utr Binding -> Biodomain: RNA Spliceosome, Immune Response, Cell Cycle, Proteostasis, Epigenetic
GO Term: Structural Constituent Of Ribosome -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Translation Initiation Factor Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Translation Elongation Factor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Translation Release Factor Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Endolysosome, Apoptosis
GO Term: Peptidyl-Prolyl Cis-Trans Isomerase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Structural Stabilization
GO Term: Protein Disulfide Isomerase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cytoskeletal Motor Activity -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Cell Cycle, Autophagy
GO Term: Microtubule Motor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Synapse
GO Term: Actin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Actin Monomer Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Actin Monomer Sequestering Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Lysozyme Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Protein-Glutamine Gamma-Glutamyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Vasculature
GO Term: Antigen Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Catalytic Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Alpha-N-Acetylneuraminate Alpha-2,8-Sialyltransferase Activity -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Myelination
GO Term: Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Glycosylation, Post-Translational Modification, Structural Stabilization, Immune Response
GO Term: Beta-1,4-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Beta-N-Acetylglucosaminylglycopeptide Beta-1,4-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, APP Metabolism
GO Term: Beta-Carotene 15,15'-Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Beta-Galactoside Alpha-2,6-Sialyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Vasculature, Endolysosome
