Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 5500 to 5999
GO Term: Dibenzo-P-Dioxin Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Apoptosis
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Endolysosome, Autophagy
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Epigenetic, Endolysosome
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Epigenetic, Endolysosome, Autophagy, Synapse
GO Term: Sumo Transferase Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Synapse, Proteostasis
GO Term: Polyamine Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Spermidine Binding -> Biodomain: Synapse, Autophagy, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Putrescine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Oxygen Binding -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Stem Cell Population Maintenance -> Biodomain: Epigenetic, Cell Cycle, Autophagy, DNA Repair, Proteostasis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: Cytolysis -> Biodomain: Apoptosis, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Epigenetic
GO Term: Vitamin Binding -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Rrna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Proteostasis, Synapse, Epigenetic, Mitochondrial Metabolism, Cell Cycle
GO Term: Cytosine Metabolic Process -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Ige Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis, Autophagy
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Protein Kinase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Kinesin Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Extrinsic Component Of Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Enzyme Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Kinase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Kinase Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Apoptosis
GO Term: Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Protein Phosphatase Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Protein Domain Specific Binding -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, DNA Repair
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Synapse, Epigenetic, Apoptosis
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Structural Stabilization
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Epigenetic
GO Term: Cgmp-Mediated Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Oxidative Stress
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Oxidative Stress
GO Term: Sexual Reproduction -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Autophagy, Proteostasis
GO Term: Chemokine Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Signal Transduction, Neuroinflammation, Synapse, Cytokine Signaling
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Hemoglobin Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Prechordal Plate Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Neural Fold Elevation Formation -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Neural Fold Bending -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Floor Plate Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Roof Plate Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Autophagy
GO Term: Spinal Cord Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Epigenetic
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Ventral Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Developmental Process, Cell Differentiation, Neurogenesis, Anatomical Structure Development
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Epigenetic
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Rhombomere Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Pons Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Proteostasis
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Endolysosome
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Immune Response, Epigenetic
GO Term: Rhombomere 2 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 4 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 5 Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 6 Development -> Biodomain: Synapse, Structural Stabilization, Hindbrain Development, Nervous System Development, Developmental Process
GO Term: Hindbrain Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Cerebellum Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Autophagy
GO Term: Cerebellum Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellum Structural Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Endolysosome, Epigenetic
GO Term: Fourth Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Proteostasis
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Sensory Perception, Neurogenesis
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Olfactory Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Optic Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Nervous System Development, Cell Adhesion, Myelination
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Autophagy
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Endolysosome
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Rhombomere 3 Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Myelination, Cell Cycle
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Lateral Ventricle Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Neurogenesis, Cell Adhesion
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Myelination
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Developmental Maturation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Endolysosome
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Proteostasis
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Developmental Biology, Neurogenesis, Myelination
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Putamen Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Endolysosome
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Endolysosome, Cell Cycle
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Cell Cycle
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Mammillary Body Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Neural Development
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Endolysosome
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Neurogenesis, Cell Differentiation, Epigenetic, Axon Guidance
