Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Trna 5'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Rna Polymerase Ii C-Terminal Domain Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Somato-Dendritic Dopamine Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Mitochondrial [2Fe-2S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Estrogen Binding -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Presynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Extrinsic Component Of Postsynaptic Density Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Regulation Of Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Postsynaptic Specialization Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynaptic Density Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Serotonergic Synapse -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Recycling Endosome Localization Within Postsynapse -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Modification Of Postsynaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Regulation Of Presynaptic Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Synaptic Signaling By Nitric Oxide -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Postsynaptic Specialization Membrane Of Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Postsynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Presynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Presynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Postsynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Presynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Postsynapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Retrograde Trans-Synaptic Signaling By Endocanabinoid -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Synaptic Membrane Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Zinc Ion Import Into Synaptic Vesicle -> Biodomain: Synapse, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Structural Constituent Of Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Presynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Structural Constituent Of Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Postsynaptic Intermediate Filament Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Structural Constituent Of Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Presynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Postsynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Postsynaptic Spectrin-Associated Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Trans-Synaptic Signaling By Bdnf -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cerebellar Golgi Cell To Granule Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Unknown, Endolysosome, Proteostasis
GO Term: Extrinsic Component Of Synaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Caveola Neck -> Biodomain: Structural Stabilization, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Vesicle Fusion To Plasma Membrane -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Immune Response
GO Term: Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Secretory Vesicle -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Synaptic Vesicle Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Supramolecular Fiber -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Vasculature, Unknown
GO Term: Polymeric Cytoskeletal Fiber -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Vesicle Cytoskeletal Trafficking -> Biodomain: Endolysosome, Autophagy, Synapse, Tau Homeostasis, Lipid Metabolism
GO Term: Dense Core Granule Cytoskeletal Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Presynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: Postsynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Presynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Structural Stabilization, Cell Cycle
GO Term: G Protein-Coupled Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Synaptic Vesicle Endosomal Processing -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Presynaptic Cytosolic Calcium Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Calcium Ion Binding Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Synaptic Signaling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trans-Synaptic Signaling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Synaptic Signaling Via Neuropeptide -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Perisynaptic Space -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Trans-Synaptic Signaling By Trans-Synaptic Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Trans-Synaptic Signaling, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trans-Synaptic Signaling By Trans-Synaptic Complex, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Maintenance Of Synapse Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Synaptic Membrane Adhesion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell-Cell Adhesion, Unknown
GO Term: Maintenance Of Postsynaptic Density Structure -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: Modification Of Synaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Chemical Synaptic Transmission, Postsynaptic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome
GO Term: Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Calcium Ion Binding Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Glutamatergic Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Protein Catabolic Process At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Regulation Of Protein Catabolic Process At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Regulation Of Translation At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Regulation Of Translation At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Serotonin Receptor Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Neurotransmitter Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Neurotransmitter Receptor Regulator Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Lipid Metabolism
GO Term: Ligand-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Action Potential Firing Rate -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Microtubule Plus-End Directed Mitotic Chromosome Migration -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Unknown
GO Term: Regulation Of Action Potential Firing Pattern -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Microtubule Lateral Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Tau Homeostasis
GO Term: Action Potential Initiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Regulation Of Action Potential Firing Threshold -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Protein Localization To Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Matrix Side Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Postsynaptic Specialization Of Symmetric Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Postsynaptic Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Postsynaptic Specialization Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Neurotransmitter Receptor Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Immune Response
GO Term: Neurotransmitter Receptor Transport, Endosome To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Anterograde Axonal Protein Transport -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Retrograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Cell Cortex Region -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Regulation Of Skeletal Muscle Contraction By Action Potential -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ficolin-1-Rich Granule Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Cytolytic Granule Membrane -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Deubiquitinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Epigenetic
GO Term: Protein Histidine Phosphatase Activity -> Biodomain: Proteostasis, Epigenetic, Phosphorylation, Cell Cycle, Autophagy
GO Term: Nucleolar Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Estrogen 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Estrogen 2-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Autophagy
GO Term: Protein Folding Chaperone Complex -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Acyl-L-Homoserine-Lactone Lactonohydrolase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Proline Dipeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Nadh-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: Beta,Beta-Carotene-9',10'-Cleaving Oxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Homocarnosine Synthase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Heparan Sulfate N-Deacetylase Activity -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Sulfation Pathway, Cell Adhesion and Migration, Proteoglycan Metabolism
GO Term: Dermatan 2-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Vasculature, Endolysosome, Unknown
GO Term: Farnesylcysteine Lyase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Very-Long-Chain (3R)-3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Lipid Metabolism, Unknown, Oxidative Stress, Endolysosome, Proteostasis
GO Term: 3-Beta-Hydroxysteroid Dehydrogenase (Nad+)/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-Ribulosamine 3-Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Protein-Fructosamine 3-Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cortisol Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Trna-Dihydrouridine16 Synthase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Trna-Dihydrouridine17 Synthase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, RNA Spliceosome
GO Term: Trna-Dihydrouridine20 Synthase Activity -> Biodomain: Oxidative Stress, Proteostasis, Epigenetic, Unknown, Mitochondrial Metabolism
GO Term: Trna-Dihydrouridine47 Synthase Activity -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Metal Binding and Homeostasis, Unknown
GO Term: Trna-Dihydrouridine20A Synthase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Trna-Dihydrouridine20B Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization, Unknown, Metal Binding and Homeostasis
GO Term: 1,8-Cineole 2-Exo-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: 11-Cis-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Polyprenol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Mycophenolic Acid Acyl-Glucuronide Esterase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Decanoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Trna-4-Demethylwyosine Synthase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Trna 4-Demethylwyosine Alpha-Amino-Alpha-Carboxypropyltransferase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Trna(Phe) (7-(3-Amino-3-Carboxypropyl)Wyosine37-C2)-Hydroxylase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Unknown, Mitochondrial Metabolism
GO Term: Peptide Chain Release Factor N(5)-Glutamine Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Unknown, Metal Binding and Homeostasis
GO Term: [Protein]-3-O-(N-Acetyl-D-Glucosaminyl)-L-Serine/L-Threonine O-N-Acetyl-Alpha-D-Glucosaminase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Gdp-Man:Man(2)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Nadph Phosphatase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, DNA Repair
GO Term: Very-Long-Chain Enoyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Myelination, Oxidative Stress, Autophagy, Endolysosome
GO Term: Sphingolipid C4-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Alcohol-Forming Long-Chain Fatty Acyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: 16-Hydroxypalmitate Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Trna-Uridine 2-Sulfurtransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Itpase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Fructose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Leukotriene C4 Gamma-Glutamyl Transferase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Unknown
GO Term: 17-Hydroxyprogesterone 21-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Intestinal Hexose Absorption -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Mcrd-Mediated Mrna Stability Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Amyloid-Beta Complex -> Biodomain: APP Metabolism, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Trna (Guanine-N7)-Methylation -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Rna 5'-Cap (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, DNA Repair, Unknown
GO Term: Cytoskeletal Protein-Membrane Anchor Activity -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Vasculature
GO Term: 2-Oxoglutaramate Amidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: (4S)-4-Hydroxy-2-Oxoglutarate Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Inflammatory Response To Wounding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Phosphatidylinositol-3,5-Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Vesicle Docking -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Gly-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Unknown, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Neuron Projection Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neuron Projection Retraction -> Biodomain: Synapse, Tau Homeostasis, Autophagy, Proteostasis, Endolysosome
GO Term: Trna Pseudouridine Synthase Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Structural Stabilization, Epigenetic, Unknown
GO Term: Neuron Projection Fasciculation -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Unknown
GO Term: Regulation Of Gaba-A Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Guanine Deglycation -> Biodomain: DNA Repair, Glycation, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Guanine Deglycation, Methylglyoxal Removal -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Guanine Deglycation, Glyoxal Removal -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Polyamine Deacetylation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
