Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Endolysosome
GO Term: Sperm Ejaculation -> Biodomain: Reproductive System, Genitourinary System, Behavioral Neuroscience, Physiology, Neurophysiology
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Metal Binding and Homeostasis
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Fibrinolysis -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Ph Domain Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Circadian Rhythm, Neurotransmission, Synapse, Proteostasis, Epigenetic
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Myelination, Epigenetic, APP Metabolism, Autophagy
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Circadian Rhythm, Sleep, Neurophysiology, Behavioral Neuroscience, Biological Rhythms
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Lipid Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Epigenetic, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Autophagy, Lipid Metabolism, Synapse, Proteostasis
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Autophagy, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Eating Behavior -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Autophagy, Epigenetic
GO Term: Drinking Behavior -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Myelination, Mitochondrial Metabolism
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Trna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Mitochondrial Metabolism
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Tau Homeostasis, Apoptosis, Epigenetic
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Cell Cycle
GO Term: Fucose Binding -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Vasculature, Synapse
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Wnt Receptor Activity -> Biodomain: Signal Transduction, Developmental Biology, Cell Adhesion/Migration, Transcriptional Regulation, Cell Cycle
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Pyridoxal Metabolic Process -> Biodomain: Vitamin Metabolic Process, Small Molecule Metabolic Process, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Tau Homeostasis, Lipid Metabolism
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Tap Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Platelet Dense Granule -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Vasculature, Immune Response, Proteostasis
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Cysteine Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Amide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Tubulin Deacetylase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Tau Homeostasis
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Xenobiotic Transport -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Structural Stabilization
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Neuromedin U Binding -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Enterobactin Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Dipeptide Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Amino Acid Transport, Carboxylic Acid Transport, Organic Acid Transport, Transmembrane Transport
GO Term: Glucoside Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Oxidative Stress
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Synapse, Autophagy
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Endolysosome
GO Term: Cell Projection -> Biodomain: Synapse, Structural Stabilization, Myelination, APP Metabolism, Tau Homeostasis
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Lipid Metabolism
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Vasculature, APP Metabolism
GO Term: Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Atp-Dependent Protein Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Chordate Embryonic Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, DNA Repair, Immune Response
GO Term: Camera-Type Eye Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Reproductive Process, Membrane Organization, Regulation of Cellular Component Organization, Cell Adhesion, Signal Transduction
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Gamma-Tubulin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Nadph Oxidase Complex -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Autophagy, Epigenetic
GO Term: Ribosome Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, Protein-containing Complex Binding, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
GO Term: Neuronal Cell Body -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Isoamylase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Costamere -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, APP Metabolism
GO Term: Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Autophagy
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Otic Placode Formation -> Biodomain: Sensory Organ Development, Developmental Biology, Epithelial Development, Embryonic Development, Organ Development
GO Term: Thermotaxis -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, Reproductive Process, Chromosome Organization, DNA Organization, Genomic Stability
GO Term: Extracellular Structure Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Intercellular Bridge Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Germ Cell Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Structural Stabilization
GO Term: Megasporocyte Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Gtpase Activity -> Biodomain: Structural Stabilization, Immune Response, Synapse, Endolysosome, Autophagy
GO Term: Amino Acid Import -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Replication Fork Arrest -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Immune Response, Apoptosis, Autophagy
GO Term: Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Neurotrophin Binding -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Receptor Signaling, Cell Surface Interactions, Growth Factor Signaling, Protein-Protein Interactions, Intracellular Signaling
GO Term: Surfactant Homeostasis -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Erythrocyte Enucleation -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Vasculature, Apoptosis
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, DNA Repair
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Proteostasis
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, ATP-dependent Activity, Metal Binding and Homeostasis
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Response to Stimulus, Circadian Rhythm, Regulation of Biological Process, Photoperiodism, Rhythmic Process
GO Term: Acrosomal Matrix -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Acrosomal Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Protein Catabolism, Proteasome
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Anion Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Synapse, Vasculature
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, DNA Repair, RNA Spliceosome
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Amine Binding -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Apoptosis
GO Term: Alcohol Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Neurotransmission, Cell Communication, Signaling Pathways, Neuronal Excitability
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Signaling Pathways, Endothelial Function, Cytokine Signaling, Cell Surface Receptor Interactions
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
