Running with TEMP=0.5, sub_array_index=4
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 1500 to 1999
GO Term: Alcohol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Hexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Synapse
GO Term: Histidine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Histidine Decarboxylase Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Histone Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, DNA Repair
GO Term: Histone Deacetylase Activity -> Biodomain: Epigenetic, Tau Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Holocytochrome-C Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Homogentisate 1,2-Dioxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hyalurononglucosaminidase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Hydroxyacylglutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Hydroxymethylbilane Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Hydroxymethylglutaryl-Coa Lyase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Reductase (Nadph) Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydroxymethylglutaryl-Coa Synthase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Hypoxanthine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Iduronate-2-Sulfatase Activity -> Biodomain: APP Metabolism, Endolysosome, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Inorganic Diphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: 1-Phosphatidylinositol 4-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Phosphatidylinositol-4,5-Bisphosphate Phospholipase C Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Phosphatidylinositol-3-Phosphate Phosphatase Activity -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, APP Metabolism
GO Term: Phosphatidylinositol-4,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Inositol-1,4-Bisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, APP Metabolism
GO Term: Inositol-Polyphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, APP Metabolism
GO Term: Inositol-Hexakisphosphate Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Synapse, Proteostasis, Metal Binding and Homeostasis
GO Term: Iodide Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: Isocitrate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Isocitrate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Isopentenyl-Diphosphate Delta-Isomerase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Ketohexokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Lactate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Tau Homeostasis
GO Term: D-Lactate Dehydrogenase (Cytochrome) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: L-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Synapse
GO Term: Lactose Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Lactoylglutathione Lyase Activity -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Mitochondrial Metabolism
GO Term: Leukotriene-A4 Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Leukotriene-C4 Synthase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipoprotein Lipase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Vasculature
GO Term: Long-Chain Fatty Acyl-Coa Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: L-Lysine N-Acetyltransferase Activity, Acting On Acetyl Phosphate As Donor -> Biodomain: Tau Homeostasis, APP Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Malic Enzyme Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Malate Dehydrogenase (Decarboxylating) (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Malate Dehydrogenase (Decarboxylating) (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Malate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mannose-1-Phosphate Guanylyltransferase (Gtp) Activity -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Mannose-6-Phosphate Isomerase Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, APP Metabolism
GO Term: Methenyltetrahydrofolate Cyclohydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Epigenetic
GO Term: Methionine Adenosyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Methionyl-Trna Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy
GO Term: Mrna 5'-Cap (Guanine-N7-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Methyltransferase Cap1 Activity -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, Tau Homeostasis, Synapse
GO Term: Mrna Guanylyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Methylcrotonoyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Methylenetetrahydrofolate Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Vasculature, Proteostasis
GO Term: Methylenetetrahydrofolate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Methylglutaconyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Methylmalonate-Semialdehyde Dehydrogenase (Acylating, Nad) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: APP Metabolism, Immune Response, Oxidative Stress, Synapse, Autophagy
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, APP Metabolism
GO Term: Tyrosinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Oxidative Stress, Synapse, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, DNA Repair
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Rna Endonuclease Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ribonuclease A Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Apoptosis
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Epigenetic, Apoptosis
GO Term: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Immune Response, Endolysosome
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Endolysosome, Autophagy, Apoptosis, Epigenetic
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Phosphodiesterase I Activity -> Biodomain: Proteostasis, Synapse, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: Apoptosis, Endolysosome, Autophagy, Immune Response, DNA Repair
GO Term: Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, APP Metabolism
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Synapse
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Alpha-Amylase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress, Vasculature
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Alpha-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Tau Homeostasis, Autophagy, Immune Response
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Beta-Galactosidase Activity -> Biodomain: APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Beta-Mannosidase Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Chitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy, Immune Response
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Immune Response
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Endolysosome, APP Metabolism
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Tau Homeostasis
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Proteostasis, Autophagy
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Apoptosis
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, APP Metabolism
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Immune Response
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phosphomannomutase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Oxidative Stress, Endolysosome
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: APP Metabolism, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Immune Response, Endolysosome
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Synapse
GO Term: Phospholipase C Activity -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Lipid Metabolism
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Autophagy, Oxidative Stress
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Cell Cycle, Proteostasis
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Cell Cycle
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: Oxidative Stress, Proteostasis, DNA Repair, Mitochondrial Metabolism, Apoptosis
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Synapse
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Proteostasis, Vasculature, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Prenyltransferase Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Farnesyltransferase Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Tau Homeostasis, Mitochondrial Metabolism
