Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Maternal Behavior -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Sperm Ejaculation -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Mitochondrial Intermembrane Space Protein Transporter Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Mitochondrial Inner Membrane Peptidase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Tim22 Mitochondrial Import Inner Membrane Insertion Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Thiamine-Containing Compound Metabolic Process -> Biodomain: Mitochondrial Metabolism, Vitamin Binding and Metabolism, Coenzyme Metabolism, Oxidative Stress, Metabolism
GO Term: Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Ph Domain Binding -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response
GO Term: D-Xylose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Unknown
GO Term: Embryonic Digit Morphogenesis -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Epigenetic
GO Term: Presynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Defense Response To Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Hydrogen Peroxide Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, DNA Repair, Autophagy
GO Term: Hydrogen Peroxide Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Circadian Sleep/Wake Cycle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Circadian Sleep/Wake Cycle, Rem Sleep -> Biodomain: Synapse, Epigenetic, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Synapse
GO Term: Regulation Of Circadian Sleep/Wake Cycle -> Biodomain: Epigenetic, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Circadian Rhythm -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Circadian Rhythm -> Biodomain: Epigenetic, Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Eating Behavior -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Drinking Behavior -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Long-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Very Long-Chain Fatty Acid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Gpi-Anchor Transamidase Complex -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Signal Transduction In Response To Dna Damage -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dna Damage Response, Signal Transduction Resulting In Transcription -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Atp Synthesis Coupled Electron Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Proton Motive Force-Driven Mitochondrial Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: 3'-Trna Processing Endoribonuclease Activity -> Biodomain: RNA Spliceosome, Unknown, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Mrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Unknown
GO Term: Nucleolar Large Rrna Transcription By Rna Polymerase I -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: 5S Class Rrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Unknown, Cell Cycle
GO Term: Snrna Transcription By Rna Polymerase Iii -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Trna Transcription By Rna Polymerase Iii -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Histone H4K20 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K4 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Identical Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Unknown
GO Term: Protein Homodimerization Activity -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Actinin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Fucose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Endolysosome, Autophagy
GO Term: Nuclear Vitamin D Receptor Binding -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Cell Cycle, Unknown
GO Term: Wnt Receptor Activity -> Biodomain: Signaling Pathway, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Vitamin B6 Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Pyridoxal Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pyridoxamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Vitamin Metabolism, Metabolism, Cofactor Metabolism, Metabolic Process
GO Term: Pyridoxal Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyridoxal Phosphate Biosynthetic Process -> Biodomain: Vitamin B6 Metabolism, Cofactor Biosynthesis, Mitochondrial Metabolism, Metabolism, Enzyme Activity
GO Term: Mhc Class I Peptide Loading Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Tap Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Histone Deacetylase Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Platelet Dense Granule -> Biodomain: Vasculature, Endolysosome, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: Defense Response To Protozoan -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Peptidoglycan Binding -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Bre Binding -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, DNA Repair, Cell Cycle
GO Term: D-Glucuronate Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: D-Xylose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: L-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Alanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Unknown
GO Term: Pyruvate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyruvate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Glucuronate Transmembrane Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Unknown
GO Term: D-Glucuronate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cysteine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Amide Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Amide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature, Proteostasis
GO Term: Tubulin Deacetylase Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Tau Homeostasis
GO Term: 9-Cis-Retinoic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Xenobiotic Transport -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Xenobiotic Transmembrane Transporter Activity -> Biodomain: Endolysosome, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neuropeptide Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Neuromedin U Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Enterobactin Transport -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Enterobactin Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Tripeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dipeptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: D-Alanine Transmembrane Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: D-Serine Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Glucoside Transport -> Biodomain: Carbohydrate Metabolism, Metabolic Processes, Membrane Transport, Cellular Transport, Glycosylation
GO Term: Glucoside Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Unknown
GO Term: Lipoprotein Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Nuclear Retinoic Acid Receptor Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Peroxisome Proliferator Activated Receptor Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Activation Of Janus Kinase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ornithine Decarboxylase Activator Activity -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Amyloid Precursor Protein Metabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Tau Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Amyloid Precursor Protein Biosynthetic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Tau Homeostasis, Lipid Metabolism
GO Term: Amyloid Precursor Protein Catabolic Process -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: X11-Like Protein Binding -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Endolysosome, APP Metabolism
GO Term: Cell Projection -> Biodomain: Synapse, Structural Stabilization, Myelination, Immune Response, Vasculature
GO Term: Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Golgi To Plasma Membrane Protein Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Neuron Projection -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Maintenance Of Rdna -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Atp-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Chordate Embryonic Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Camera-Type Eye Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Unknown, Proteostasis
GO Term: Myeloid Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Cell Cycle
GO Term: Regulation Of Fusion Of Sperm To Egg Plasma Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Alpha-Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Proteostasis
GO Term: Gamma-Tubulin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Unknown, Tau Homeostasis
GO Term: Nadph Oxidase Complex -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Ribonucleoprotein Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Autophagy, Epigenetic
GO Term: Ribosome Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Ribosomal Large Subunit Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Unknown, Structural Stabilization, Cell Cycle
GO Term: Ribosomal Small Subunit Binding -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Neuronal Cell Body -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, RNA Spliceosome, APP Metabolism
GO Term: Cysteine-Type Endopeptidase Inhibitor Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cysteine-Type Endopeptidase Regulator Activity Involved In Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: T Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Macrophage Activation -> Biodomain: Immune Response, Inflammation, Proteostasis, Vasculature, Apoptosis
GO Term: Negative Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Macrophage Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Isoamylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Costamere -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Chromatin Insulator Sequence Binding -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Unknown
GO Term: Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Amino Acid Activation For Nonribosomal Peptide Biosynthetic Process -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Unknown
GO Term: Peptide Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Epigenetic Programming Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Single-Stranded Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Dolichyl Monophosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Otic Placode Formation -> Biodomain: Unknown, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Thermotaxis -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Meiotic Metaphase I Homologous Chromosome Alignment -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Unknown
GO Term: Extracellular Structure Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Intercellular Bridge Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Unknown
GO Term: Positive Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Negative Regulation Of Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Programmed Cell Death -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Germ Cell Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Megasporocyte Nucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Vasculature
GO Term: Penile Erection -> Biodomain: Vasculature, Structural Stabilization, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Amino Acid Import -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Cell Cycle
GO Term: Pyrimidine Nucleoside Salvage -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Oxidative Stress, Unknown
GO Term: Purine-Containing Compound Salvage -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Apoptosis
GO Term: Hypoxanthine Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Replication Fork Arrest -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Receptor Metabolic Process -> Biodomain: Proteostasis, Immune Response, Endolysosome, Apoptosis, Epigenetic
GO Term: Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Regulation Of Vascular Permeability -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Vascular Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Tumor Necrosis Factor Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammatory Pathways, Apoptosis, Cell Death
GO Term: Neurotrophin Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Erbb-3 Class Receptor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Unknown
GO Term: Surfactant Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Ubiquitin Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Erythrocyte Enucleation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Nad Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Hindgut Contraction -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Glycerol-3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Dna Replication, Removal Of Rna Primer -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: 3'-5' Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: 5'-3' Dna Helicase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Translation By Machinery Localization -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Induction Of Bacterial Agglutination -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Entrainment Of Circadian Clock By Photoperiod -> Biodomain: Epigenetic, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Acrosomal Matrix -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Acrosomal Lumen -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Tau Homeostasis
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Tau Homeostasis, Apoptosis
GO Term: Cell Envelope Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Immune Response
GO Term: Anion Binding -> Biodomain: Oxidative Stress, Endolysosome, Vasculature, Synapse, Metal Binding and Homeostasis
GO Term: Cation Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Endolysosome, Epigenetic
GO Term: Macromolecule Metabolic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, RNA Spliceosome
GO Term: Peptide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Nucleoside Salvage -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Rna Polymerase Core Enzyme Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Amine Binding -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Alcohol Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Rhythmic Excitation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Vacuolar Sequestering -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor 1 Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Epigenetic, Unknown
GO Term: Vascular Endothelial Growth Factor Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Vascular Endothelial Growth Factor Receptor 3 Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
