Running with TEMP=0.0, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 2000 to 2499
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Immune Response, Apoptosis
GO Term: Calcium-Activated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Intracellular Sodium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Intracellularly Calcium-Gated Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Tau Homeostasis
GO Term: Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Extracellularly Glutamate-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Gap Junction Channel Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Voltage-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Calcium Channel Regulator Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Voltage-Gated Chloride Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown
GO Term: Voltage-Gated Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: A-Type (Transient Outward) Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Open Rectifier Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Monoatomic Anion Channel Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Vasculature
GO Term: Intracellularly Atp-Gated Chloride Channel Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy
GO Term: Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Sodium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Amine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Acetylcholine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Endolysosome, Unknown
GO Term: Acetylcholine:Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Amino Acid:Proton Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: High-Affinity Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Synapse
GO Term: High-Affinity L-Arginine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Histidine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Tau Homeostasis, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: High-Affinity Lysine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Neutral L-Amino Acid:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Proline:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Proline:Sodium Symporter Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: L-Tyrosine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, Endolysosome
GO Term: L-Valine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Choline:Sodium Symporter Activity -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Creatine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Creatine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Dicarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: High-Affinity L-Glutamate Transmembrane Transporter Activity -> Biodomain: Synapse, Tau Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Tau Homeostasis, Proteostasis, Metal Binding and Homeostasis
GO Term: High-Affinity Phosphate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Tau Homeostasis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Myelination, Autophagy, Endolysosome, Immune Response
GO Term: Long-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Neurotransmitter Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Neurotransmitter:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dopamine:Sodium Symporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Gamma-Aminobutyric Acid:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Norepinephrine:Sodium Symporter Activity -> Biodomain: Synapse,Metal Binding and Homeostasis,Unknown,Unknown,Unknown
GO Term: Serotonin:Sodium:Chloride Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Unknown
GO Term: Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Organic Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Organic Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Metal Binding and Homeostasis
GO Term: Oxygen Carrier Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Proteostasis, Immune Response
GO Term: Purine Nucleobase Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Atp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Pyrimidine Nucleobase Transmembrane Transporter Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Carbohydrate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Fructose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Galactose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism
GO Term: D-Glucose:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Low-Affinity D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Myo-Inositol Transmembrane Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: Myo-Inositol:Proton Symporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Myo-Inositol:Sodium Symporter Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Taurine Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Taurine:Sodium Symporter Activity -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Water Transmembrane Transporter Activity -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Copper Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Endolysosome
GO Term: Iron Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Manganese Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Tau Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Zinc Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: P-Type Calcium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Apoptosis
GO Term: P-Type Sodium:Potassium-Exchanging Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Carbohydrate:Monoatomic Cation Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: D-Glucose:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress
GO Term: Nucleoside:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Proton-Dependent Oligopeptide Secondary Active Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Calcium:Sodium Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Tau Homeostasis
GO Term: Sodium:Phosphate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Solute:Inorganic Anion Antiporter Activity -> Biodomain: Endolysosome, Synapse, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Gdp-Fucose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Gdp-Mannose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Udp-Galactose Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism, Synapse
GO Term: Udp-Glucose Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Udp-Glucuronate Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Udp-N-Acetylglucosamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, APP Metabolism
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transporter Activity -> Biodomain: APP Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Udp-Xylose Transmembrane Transporter Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Synapse, Lipid Metabolism
GO Term: Atp:Adp Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Carnitine:O-Acyl-L-Carnitine Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyruvate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Soluble Nsf Attachment Protein Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Snap Receptor Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Steroid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Androgen Binding -> Biodomain: Unknown, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Vitamin D Binding -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Retinoid Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Membrane & Cell Structure, Oxidative Stress, Proteostasis
GO Term: 11-Cis Retinal Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: All-Trans Retinal Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Fatty Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Myelination, APP Metabolism
GO Term: Iron Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism
GO Term: Copper Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, APP Metabolism, Proteostasis, Endolysosome
GO Term: Calcium Ion Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Detection Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Protein Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Synapse, Immune Response
GO Term: Calmodulin Binding -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Oxidative Stress, APP Metabolism
GO Term: Collagen Binding -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Cytoskeletal Regulatory Protein Binding -> Biodomain: Tau Homeostasis, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Insulin-Like Growth Factor Binding -> Biodomain: APP Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Lamin Binding -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Apoptosis, DNA Repair
GO Term: Profilin Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Tropomyosin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Atp Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Tau Homeostasis
GO Term: Gtp Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Macrolide Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Fk506 Binding -> Biodomain: Proteostasis, Immune Response, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Galactose Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: D-Glucose Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: D-Mannose Binding -> Biodomain: Glycosylation, Proteostasis, Endolysosome, APP Metabolism, Immune Response
GO Term: Glycosaminoglycan Binding -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Immune Response, Oxidative Stress
GO Term: Hyaluronic Acid Binding -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Folic Acid Binding -> Biodomain: Oxidative Stress, DNA Repair, Vasculature, Epigenetic, Proteostasis
GO Term: Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Autophagy, Proteostasis
GO Term: Calcium-Dependent Phospholipid Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: 1-Phosphatidylinositol Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Phosphatidylinositol-4,5-Bisphosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate Binding -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Phospholipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Odorant Binding -> Biodomain: Unknown, Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Pheromone Binding -> Biodomain: Unknown, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Vasculature
GO Term: Cellular Component -> Biodomain: Unknown, Proteostasis, Synapse, Endolysosome, Structural Stabilization
GO Term: Extracellular Region -> Biodomain: APP Metabolism, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Fibrinogen Complex -> Biodomain: Vasculature, Immune Response, Proteostasis, APP Metabolism, Endolysosome
GO Term: Membrane Attack Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, APP Metabolism
GO Term: Collagen Type Xv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Fibrillar Collagen Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type I Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Ii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Unknown
GO Term: Collagen Type Iii Trimer -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Proteostasis
GO Term: Collagen Type Iv Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type V Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Vi Trimer -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Collagen Type Vii Trimer -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Collagen Type Viii Trimer -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Collagen Type Xi Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Collagen Type Ix Trimer -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Unknown, Proteostasis
GO Term: Collagen Type Xii Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Unknown
GO Term: Collagen Type Xiv Trimer -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Collagen Type Xvi Trimer -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Collagen Type X Trimer -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Collagen Type Xiii Trimer -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Classical-Complement-Pathway C3/C5 Convertase Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Complement Component C1 Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Basement Membrane -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Laminin-1 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Laminin-2 Complex -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Laminin-3 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Laminin-5 Complex -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Interstitial Matrix -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Extracellular Space -> Biodomain: APP Metabolism, Immune Response, Tau Homeostasis, Vasculature, Proteostasis
GO Term: Nucleus -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Apoptosis, Cell Cycle
GO Term: Nuclear Envelope -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Nuclear Inner Membrane -> Biodomain: Epigenetic,DNA Repair,Proteostasis,Structural Stabilization,Endolysosome
GO Term: Lamin Filament -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Tau Homeostasis, Apoptosis
GO Term: Nuclear Outer Membrane -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Nuclear Envelope Lumen -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Structural Stabilization, Unknown
GO Term: Annulate Lamellae -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Nuclear Pore -> Biodomain: Tau Homeostasis, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Nuclear Lamina -> Biodomain: Tau Homeostasis, Proteostasis, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Nucleoplasm -> Biodomain: DNA Repair, Epigenetic, APP Metabolism, Proteostasis, Apoptosis
GO Term: Nucleolar Ribonuclease P Complex -> Biodomain: Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Nuclear Pre-Replicative Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Unknown
GO Term: Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Alpha Dna Polymerase:Primase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Dna Replication Factor A Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Dna Replication Factor C Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: Nuclear Origin Of Replication Recognition Complex -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Unknown
GO Term: Rna Polymerase Ii, Core Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Synapse, Oxidative Stress
GO Term: Rna Polymerase Iii Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Unknown
GO Term: Transcription Regulator Complex -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, Immune Response
GO Term: Rna Polymerase Transcription Factor Sl1 Complex -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, DNA Repair, Cell Cycle
GO Term: Transcription Factor Tfiid Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Immune Response
GO Term: Transcription Factor Tfiia Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Transcription Factor Tfiie Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Immune Response, Cell Cycle
GO Term: Transcription Factor Tfiif Complex -> Biodomain: Epigenetic,APP Metabolism,Tau Homeostasis,Proteostasis,DNA Repair
GO Term: Transcription Factor Tfiih Holo Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Chromatin Silencing Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Anaphase-Promoting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis, Autophagy
GO Term: Spliceosomal Complex -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, Unknown
GO Term: U5 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Epigenetic, Apoptosis
GO Term: U7 Snrnp -> Biodomain: RNA Spliceosome, APP Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: U2-Type Spliceosomal Complex -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Synapse, Endolysosome
GO Term: U1 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: U2 Snrnp -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Unknown
GO Term: U4 Snrnp -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Autophagy, Synapse
