Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Arachidonate 15-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Glyceryl-Ether Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Imidazolonepropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Arachidonate Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Intramolecular Hydroxytransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hyaluronan Synthase Activity -> Biodomain: Carbohydrate Biosynthesis and Metabolism, Glycosylation, Extracellular Matrix Organization, Cell Adhesion and Migration, Structural Stabilization
GO Term: Glucuronosyl-N-Acetylglucosaminyl-Proteoglycan 4-Alpha-N-Acetylglucosaminyltransferase Activity -> Biodomain: Glycosaminoglycan Metabolism, Extracellular Matrix Organization, Enzyme Activity, Cell Surface Receptor Signaling, Biosynthesis
GO Term: N-Acetylglucosaminyl-Proteoglycan 4-Beta-Glucuronosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: N-Acetylgalactosaminyl-Proteoglycan 3-Beta-Glucuronosyltransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Lactosylceramide 4-Alpha-Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Acyloxyacyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Arachidonate Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Aspartate-Trna(Asn) Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Glutamate-Trna(Gln) Ligase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Epigenetic
GO Term: Glutaminyl-Trna Synthase (Glutamine-Hydrolyzing) Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein-Glutamine Glutaminase Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: 1,5-Anhydro-D-Fructose Reductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Gdp-L-Fucose Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: 4-Hydroxymandelate Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Quinine 3-Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Methylarsonate Reductase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Autophagy
GO Term: Delta14-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Delta24-Sterol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Propionyl-Coa C2-Trimethyltridecanoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Acetyl-Coa C-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: 5-Oxo-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: 5-Hydroxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: 5(S)-Hydroxyperoxy-6E,8Z,11Z,14Z-Icosatetraenoic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Testosterone 6-Beta-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Chondroitin Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Lipid Metabolism
GO Term: Dermatan Sulfate Proteoglycan Biosynthetic Process -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Chondroitin Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Dermatan Sulfate Proteoglycan Metabolic Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: 3'-Phosphoadenosine 5'-Phosphosulfate Binding -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Rna Transport -> Biodomain: RNA Spliceosome, Synapse, Autophagy, Myelination, Proteostasis
GO Term: N-Acetylgalactosamine 4-Sulfate 6-O-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Vasculature, Immune Response
GO Term: Flavin Adenine Dinucleotide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Nadp Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Oxidoreductase Activity, Acting On Nad(P)H, Oxygen As Acceptor -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hydrogen Peroxide Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, DNA Repair
GO Term: Regulation Of Homocysteine Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Homocysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Negative Regulation Of Lymphocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism
GO Term: Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Urothelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, RNA Spliceosome
GO Term: Negative Regulation Of Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Nuclear Androgen Receptor Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Af-2 Domain Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Af-1 Domain Binding -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Regulation Of Mrna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Defense Response To Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Proteostasis
GO Term: Dna Binding Domain Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Lbd Domain Binding -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Galactose 3-O-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Proteoglycan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Lipid Metabolism
GO Term: Ww Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Epigenetic, Synapse
GO Term: Card Domain Binding -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Protein Secretion -> Biodomain: Proteostasis, Immune Response, Synapse, Endolysosome, Vasculature
GO Term: Negative Regulation Of Protein Secretion -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Protein Secretion -> Biodomain: Proteostasis, Immune Response, Vasculature, Autophagy, Lipid Metabolism
GO Term: Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Vasculature
GO Term: Positive Regulation Of Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Signal Transduction, Cell Signaling, Kinase Activity, Protein Modification, Cell Communication
GO Term: Positive Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Immune Response, Cell Cycle, Synapse, Vasculature, Apoptosis
GO Term: Negative Regulation Of Peptidyl-Tyrosine Phosphorylation -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Autophagy
GO Term: Rs Domain Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, DNA Repair
GO Term: Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Low-Density Lipoprotein Particle Receptor Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Oxidative Stress
GO Term: Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Phagocytosis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Phagocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Neurogenesis -> Biodomain: Cell Cycle, Epigenetic, Autophagy, RNA Spliceosome, Lipid Metabolism
GO Term: Negative Regulation Of Neurogenesis -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Immune Response, Proteostasis
GO Term: Positive Regulation Of Neurogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Negative Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Axonogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendrite Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendrite Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Immune Response -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Rna Destabilization -> Biodomain: RNA Spliceosome, RNA Processing, Epigenetic, Autophagy, Immune Response
GO Term: Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cocaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Advanced Glycation End-Product Receptor Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Rage Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Detoxification Of Mercury Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Catalytic Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Viral Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Developmental Process -> Biodomain: Developmental Process, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Regulation Of Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Monoatomic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Synapse Structure Or Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Transmission -> Biodomain: Synapse, Neurotransmitter, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Synapse Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gaba Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Acyl-Coa Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphoserine Residue Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Autophagy, DNA Repair
GO Term: Phosphothreonine Residue Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Coagulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Coagulation -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Coagulation -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Protein Stabilization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Peptide Antigen Stabilization -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Defense Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Defense Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Defense Response To Fungus -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Pyruvate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cell Adhesion Molecule Binding -> Biodomain: Structural Stabilization, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Extracellular Matrix Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Immune Response
GO Term: Progesterone Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Immune Response
GO Term: Regulation Of Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Calcium-Mediated Signaling -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Calcium-Mediated Signaling -> Biodomain: Synapse, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Synapse
GO Term: Positive Regulation Of B Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of T Cell Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of T Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cell Activation -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Endolysosome
GO Term: Positive Regulation Of B Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Epigenetic
GO Term: White Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Structural Stabilization
GO Term: Brown Fat Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Nervous System Process -> Biodomain: Synapse, Myelination, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Body Fluid Levels -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Musculoskeletal Movement -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Voluntary Musculoskeletal Movement -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Musculoskeletal Movement, Spinal Reflex Action -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Neuromuscular Process Controlling Posture -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neuromuscular Process Controlling Balance -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Myelination, Proteostasis
GO Term: Cognition -> Biodomain: Synapse, Epigenetic, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Multicellular Organismal-Level Water Homeostasis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Intestinal Absorption -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Sensory Processing -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Determination Of Affect -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Autophagy
GO Term: Cobalt Ion Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Leukocyte Tethering Or Rolling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Leukocyte Adhesive Activation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Diapedesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Neuromuscular Process -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Myelination
GO Term: Detection Of Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception -> Biodomain: Synapse, Myelination, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Detection Of Light Stimulus Involved In Visual Perception -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sensory Perception Of Taste -> Biodomain: Synapse, Signal Transduction, Sensory Perception, Neurogenesis, Cell Differentiation
GO Term: Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Sensory Perception Of Bitter Taste -> Biodomain: Synapse, Proteostasis, Signal Transduction, Structural Stabilization, Endolysosome
GO Term: Sensory Perception Of Salty Taste -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Sensory Perception Of Sour Taste -> Biodomain: Synapse, Proteostasis, Myelination, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Sensory Perception Of Sweet Taste -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Sensory Perception Of Umami Taste -> Biodomain: Synapse, Sensory Processing, Signal Transduction, Neurotransmission, Ion Channel Activity
GO Term: Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Negative Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Autophagy
GO Term: Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Negative Regulation Of Positive Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Cell Cycle
GO Term: Induction Of Negative Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Autophagy
GO Term: Induction Of Positive Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Synapse
GO Term: Pigment Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Pigment Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Oxidative Stress
GO Term: Sensory Perception Of Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
